Povopiirta Ögretvote	Boosting Immunity	Vahvistetaan vastustuskykyä
Toksmosi, ögrova mosi, tobeepte, alkmo teo a päräjmosi riip ali a ögretvote. 	Toksiinit, haitalliset aineet, tupakointi, alkoholin käyttö ja huumeet vähentävät myös vastustuskykyä.	Toxins, harmful substances, smoking, alcohol consumption and drugs reduce also resistance.
Oo oonen culitesi a emvaotosi, kosi voo paysrii yrtuute of ögrova mosi ur bodev. 	On olemassa menetelmiä ja ruokavalioita, jotka voivat tehostaa haitallisten aineiden poistumista kehosta.	There are methods and diets, which can enhance the elimination of harmful substances from the body.
Culitesi, kosi oo dariilen vy si autduteeva däva dakasi a davofisi, voota aphakaa. 	Menetelmät, jotka on todistettu useilla toistuvilla tieteellisillä tutkimuksilla ja kokemuksilla, voidaan valita.	 Methods which have been proven by multiple repeated scientific studies and experience can be selected.
Oo ali si ylhasaaen culitesi, kosi öjo forfää.	On myös monia ylistettyjä menetelmiä, joita joku markkinoi.	 There are also many over-praised methods which someone are marketing.
Ögretlijär ylsitevao voo oo hoahriskva a ylfiretva ysoksi voo oo ögrova.	Immuunijärjestelmän yliaktiivisuus voi olla hengenvaarallinen ja allergiset reaktiot voivat olla haitallisia.	 Immune system overactivity can be life threatening and allergic reactions can be harmful.
Termoepsi a eonidtosi, kosi oof mosi, kosi pirpaa ögretvote.	Lääkekasvit ja elintarvikkeet, joilla on aineita, jotka lisäävät immuniteettia.	 Medicinal herbs and foods, which have substances boosting immunity
Deva oo rutupa tu lurik of termova terepsi, fiemsi ali li eonidtosi (vi nitva), kosi  pirpaa ögretvote. Aj aphakaaen ut dabes, ko aj oo viaapen for ajof öfva teo. 	Seuraava on linkki luetteloon lääkinnällisistä yrteistä, mausteista, myös elintarvikkeina (lihavoituina), jotka lisäävät immuniteettia. Valitsin tietokannasta, jonka olen koonnut omaan käyttööni.	 Next is link to list of medicinal herbs, spices, also as foods (with bold) boosting immunity, which I picked from the database, which I have composed for my own use.
Täin oo simoso for dakaajosi, termosi, roempirobsi a roeemte deevjosi. 	Tässä on aineistoa tutkijoille, lääkkeisiin, ravintolisiin ja ravitsemuksen kehittäjille.	 Here’s the material for researchers, drugs, supplements and nutrition developers.
Pir epsi oo voafna ut tua sorssi. 	Lisää kasveja on saatavana muista lähteistä.	More plants are available from other sources.
Lurik inoof erisli epsi, ob kosi finva ersasi oo autkeesen.	Luettelossa on vain kasveja, joista suomenkieliset nimet ovat löytyneet.	 The list contains only plants, which Finnish names have been found.
RISKSA! Resiva emsi a fiemsi voo teoo midliva tetoriipjo, mut toksmova epsi voo erisli teoo termotralösi. 	VAROITUS! Normaaliruokia ja mausteita voi käyttää keskivertokuluttaja, mutta myrkyllisiä kasveja voivat käyttää vain lääkeyritykset.	 WARNING! The normal foods and spices can be used by the average consumer, but poisonous plants can only be used by pharmaceutical companies.
Ej ja sivotraa ö, ifej ja kavodaa ep a itof sidyssi edkali vi tua termosi.	Älä kokeile mitään, ellet tunne kasvia ja sen sivuvaikutuksia esim. muiden lääkkeiden kanssa.	 Do not try anything unless you know the plant and its side effects eg with other medicines.

