"Vosa";"VosaParts";"Finnish";"English";"SL"
"alvosva";"al-vos-va";"murteellinen";"dialectal";"A"
"alylvat";"al-yl-vat";"aluspaita";"camisole";"S"
"alylvat";"al-yl-vat";"aluspaita";"undershirt";"S"
"am";"am";"maammo";"mother";"S"
"am";"am";"mamma";"mom";"S"
"am";"am";"äiti";"mam";"S"
"am";"am";"äiti";"mama";"S"
"am";"am";"äiti";"mammy";"S"
"am";"am";"äiti";"mom";"S"
"am";"am";"äiti";"momma";"S"
"am";"am";"äiti";"mommy";"S"
"am";"am";"äiti";"mother";"S"
"am";"am";"äiti";"mum";"S"
"amalgammo";"amalgam-mo";"amalgaami";"amalgam";"S"
"amepe";"ame-pe";"ameeba";"amoeba";"S"
"amerjo";"amer-jo";"amerikkalainen";"American";"S"
"amerjosi";"amer-jo-si";"amerikkalaiset";"Americans";"S"
"Amerlo";"amer-lo";"Amerikka";"America";"S"
"amertuvebol";"amer-tu-ve-bol";"rugby";"rugby";"S"
"amerva";"amer-va";"amerikkalainen";"American";"A"
"amerva tuvebol";"amer-va tu-ve-bol";"amerikkalainen jalkapallo";"American football";"S"
"amervao";"amer-va-o";"amerikkalaisuus";"Americanism";"S"
"ametistmo";"ametist-mo";"ametisti";"amethyst";"S"
"amfetaminmo";"amfetamin-mo";"amfetamiini";"amphetamine";"S"
"ami-";"ami";"amino-";"amino";"S"
"amidmo";"amid-mo";"amidi";"amide";"S"
"amihapmo";"ami-hap-mo";"aminohappo";"amino acid";"S"
"aminmo";"amin-mo";"amiini";"amine";"S"
"amleito";"am-lei-to";"emolevy";"mainboard";"S"
"amleito";"am-lei-to";"emolevy";"motherboard";"S"
"amlisalo";"am-li-sa-lo";"neuvola";"maternity clinic";"S"
"amliva";"am-li-va";"äidillinen";"motherly";"A"
"amlivao";"am-li-va-o";"äidillisyys";"motherhood";"S"
"ammoniamo";"ammonia-mo";"ammoniakki";"ammonia";"S"
"amof";"am-of";"äidin";"maternal";"S"
"amof";"am-of";"äidin";"mother's";"S"
"amof bajson";"am-of ba-j-son";"eno";"maternal uncle";"S"
"amof bajson";"am-of ba-j-son";"eno";"uncle";"S"
"amofson";"am-of-son";"mammanpoika";"crybaby";"S"
"amofson";"am-of-son";"mammanpoika";"mama's boy";"S"
"ampoulvo";"am-poul-vo";"ampulli";"ampoule";"S"
"ampri";"amp-ri";"ampeeri";"ampere";"S"
"amprivö";"amp-ri-vö";"ampeerimittari";"ammeter";"S"
"amra";"am-ra";"äidin rakkaus";"maternal love";"S"
"amröhpe";"am-röh-pe";"emakko";"female pig";"S"
"amröhpe";"am-röh-pe";"emakko";"sow";"S"
"amsi";"am-si";"äidit";"moms";"S"
"amsi";"am-si";"äidit";"mothers";"S"
"amsi";"am-si";"äidit";"mums";"S"
"amsid";"am-sid";"äitipuoli";"stepmother";"S"
"Amsitan";"Am-si-tan";"äitienpäivä";"Mother's Day";"S"
"amut";"a-mut";"kuitenkin";"and yet";"K"
"amut";"a-mut";"kuitenkin";"anyway";"K"
"amut";"a-mut";"kuitenkin";"however";"K"
"amut";"a-mut";"kuitenkin";"nevertheless";"K"
"amut";"a-mut";"kuitenkin";"nonetheless";"K"
"amut";"a-mut";"kuitenkin";"yet";"K"
"amut";"a-mut";"kumminkin";"anyway";"K"
"amut";"a-mut";"kumminkin";"in spite of the fact";"K"
"amut ej";"a-mut ej";"kuitenkaan";"however, no";"K"
"amut it";"a-mut it";"siitä huolimatta";"despite the fact";"K"
"amuu";"amuu";"ammua";"low";"V"
"amuu";"amuu";"ammua";"moo";"V"
"amuupe";"amuu-pe";"nauta";"bovine";"S"
"amuupemit";"amuu-pe-mit";"naudanliha";"beef";"S"
"amuupetol";"amuu-pe-tol";"navetta";"barn";"S"
"amuupetol";"amuu-pe-tol";"navetta";"barnyard";"S"
"amuupetol";"amuu-pe-tol";"navetta";"cowbarn";"S"
"amuupetol";"amuu-pe-tol";"navetta";"cowshed";"S"
"amuusirope";"amuu-si-ro-pe";"nautakarja";"cattle";"S"
"amvao";"am-va-o";"äitiys";"maternity";"S"
"amvao";"am-va-o";"äitiys";"motherhood";"S"
"amvao lisalo";"am-va-o li-sa-lo";"äitiysneuvola";"maternity clinic";"S"
"amvao urtöno";"am-va-o ur-tö-no";"äitiysloma";"maternity leave";"S"
"amylmo";"amyl-mo";"amyyli";"amyl";"S"
"anakondpe";"anakond-pe";"anakonda";"anaconda";"S"
"ananhed";"anan-hed";"ananas";"pineapple";"S"
"Andisi";"Andi-si";"Andit";"Andes";"S"
"anen";"a-nen";"taas";"again";"D"
"anen a";"a-nen a";"taasen";"again";"D"
"anglikanusva";"anglikan-us-va";"anglikaaninen";"Anglican";"A"
"anhydridmo";"anhydrid-mo";"anhydridi";"anhydride";"S"
"anilinmo";"anilin-mo";"aniliini";"aniline";"S"
"anisep";"anis-ep";"anis";"anise";"S"
"anisep";"anis-ep";"anis";"aniseed";"S"
"anisep sem";"anis-ep sem";"aniksen siemen";"anise seed";"S"
"antilpe";"antil-pe";"antilooppi";"antelope";"S"
"antrasitmo";"antrasit-mo";"antrasiitti";"anthracite";"S"
"aoh";"aoh";"ah";"ah";"I"
"aohka";"aoh-ka";"kas";"now";"I"
"ap";"ap";"otto";"intake";"S"
"ap";"ap";"otto";"taking";"S"
"apdaav";"ap-daav";"opiskella";"study";"V"
"apdaaven";"ap-daav-en";"opiskellut";"studied";"V"
"apdaavjo";"ap-daav-jo";"opiskelija";"student";"S"
"apdaavjo auttefuul";"ap-daav-jo aut-te-fuul";"opiskelija valmistuu";"student graduates";"V"
"apdav";"ap-dav";"opiskelu";"study";"S"
"apdav";"ap-dav";"opiskelu";"studying";"S"
"apdavkasoto";"ap-dav-ka-so-to";"opintosuunnitelma";"study plan";"S"
"apdavprog";"ap-dav-prog";"opinto-ohjelma";"curricula";"S"
"apdavreituo";"ap-dav-rei-tuo";"opintolinja";"field of study";"S"
"apdavsi";"ap-dav-si";"opinnot";"studies";"S"
"apdavtekato";"ap-dav-te-ka-to";"opinnäyte";"thesis";"S"
"apdavtekatotö";"ap-dav-te-ka-to-tö";"opinnäytetyö";"thesis";"S"
"apdavtudiirjo";"ap-dav-tu-diir-jo";"opinto-ohjaaja";"tutor";"S"
"aphakavo";"ap-ha-ka-vo";"valitsin";"chooser";"S"
"apilep";"apil-ep";"apila";"clover";"S"
"apkaa";"ap-kaa";"valita";"choose";"V"
"apkaa";"ap-kaa";"valita";"elect";"V"
"apkaa";"ap-kaa";"valita";"opt";"V"
"apkaa";"ap-kaa";"valita";"pick";"V"
"apkaa";"ap-kaa";"valita";"pick out";"V"
"apkaa";"ap-kaa";"valita";"prefer";"V"
"apkaa";"ap-kaa";"valita";"select";"V"
"apkaa ja";"ap-kaa ja";"valitse";"choose";"V"
"apkaa ja";"ap-kaa ja";"valitse";"select";"V"
"apkaaen";"ap-kaa-en";"valikoitu";"selected";"V"
"apkaaen";"ap-kaa-en";"valinnut";"chose";"V"
"apkaaen";"ap-kaa-en";"valinnut";"opted";"V"
"apkaaen";"ap-kaa-en";"valitsi";"chose";"V"
"apkaaen";"ap-kaa-en";"valitsi";"selected";"V"
"apkaaen";"ap-kaa-en";"valitsivat";"chose";"V"
"apkaaen";"ap-kaa-en";"valittu";"chosen";"V"
"apkaaen";"ap-kaa-en";"valittu";"elected";"V"
"apkaaen";"ap-kaa-en";"valittu";"selected";"V"
"apkaajo";"ap-kaa-jo";"valitsija";"elector";"S"
"apkaajo";"ap-kaa-jo";"valitsija";"selector";"S"
"apkaajo";"ap-kaa-jo";"valitsija";"voter";"S"
"apkaate";"ap-kaa-te";"valinta";"choosing";"S"
"apkaavoli";"ap-kaa-vo-li";"valinnaisesti";"optionally";"D"
"apkaavova";"ap-kaa-vo-va";"valinnainen";"elective";"A"
"apkaavova";"ap-kaa-vo-va";"valinnainen";"optional";"A"
"apkafrivao";"ap-ka-fri-va-o";"valinnanvapaus";"freedom of choice";"S"
"apkajosio";"ap-ka-jo-si-o";"valitsijakunta";"constituency";"S"
"apkajosio";"ap-ka-jo-si-o";"valitsijakunta";"electorate";"S"
"apkamä";"ap-ka-mä";"valitsijamies";"elector";"S"
"apkao";"ap-ka-o";"valinta";"choice";"S"
"apkao";"ap-ka-o";"valinta";"selection";"S"
"apkaob";"ap-ka-ob";"menu";"menu";"S"
"apkaob";"ap-ka-ob";"valikko";"menu";"S"
"apkaores";"ap-ka-o-res";"valinnanvara";"good choice";"S"
"apkapifäflo";"ap-ka-pi-fäf-lo";"valintamyymälä";"supermarket";"S"
"apkavo";"ap-ka-vo";"valitsin";"dial";"S"
"apkavo";"ap-ka-vo";"valitsin";"selector";"S"
"apnoejli";"ap-no-ej-li";"viipymättä";"forthwith";"D"
"apnoejli";"ap-no-ej-li";"viipymättä";"promptly";"D"
"apnoejli";"ap-no-ej-li";"viipymättä";"without delay";"D"
"apnoo";"ap-noo";"viipyä";"be late";"V"
"apnoo";"ap-noo";"viipyä";"bide";"V"
"apnoo";"ap-noo";"viipyä";"linger";"V"
"apnoo";"ap-noo";"viipyä";"stay";"V"
"apnori";"ap-no-ri";"viipymä";"delay";"S"
"apnori";"ap-no-ri";"viive";"delay";"S"
"apnori";"ap-no-ri";"viive";"lag";"S"
"aprikhed";"aprik-hed";"aprikoosi";"apricot";"S"
"apring";"ap-ring";"raksi";"loop";"S"
"apring";"ap-ring";"raksi";"strap";"S"
"apring";"ap-ring";"raksi";"tab";"S"
"apsi";"ap-si";"otot";"takings";"S"
"apsio";"ap-si-o";"sikermä";"cluster";"S"
"apsio";"ap-si-o";"sikermä";"group";"S"
"apsio";"ap-si-o";"sikermä";"medley";"S"
"apsio";"ap-si-o";"sikermä";"potpourri";"S"
"apsopna";"ap-sop-na";"otolliseen aikaan";"at a convenient time";"P"
"apsopva";"ap-sop-va";"otollinen";"acceptable";"A"
"apsopva";"ap-sop-va";"otollinen";"opportune";"A"
"apsopva tu Hajo";"ap-sop-va tu Ha-jo";"otollinen Jumalalle";"acceptable to God";"S"
"apsopvao";"ap-sop-va-o";"otollisuus";"convenience";"S"
"aptaart";"ap-taart";"tarttua";"grab";"V"
"aptaart";"ap-taart";"tarttua";"grasp";"V"
"aptaartva";"ap-taart-va";"tarttuva";"gripping";"A"
"aptap";"ap-tap";"nuppi";"head";"S"
"aptap";"ap-tap";"nuppi";"knob";"S"
"aptap";"ap-tap";"nuppi";"noddle";"S"
"apte";"ap-te";"otos";"sample";"S"
"apte";"ap-te";"otos";"take";"S"
"apvo";"ap-vo";"kahva";"handgrip";"S"
"apvo";"ap-vo";"kahva";"handle";"S"
"apvo";"ap-vo";"kahva";"hilt";"S"
"apvo";"ap-vo";"ripa";"handle";"S"
"ar";"ar";"viha";"anger";"S"
"ar";"ar";"viha";"hate";"S"
"ar";"ar";"viha";"hatred";"S"
"ar";"ar";"viha";"hostility";"S"
"ar";"ar";"viha";"ire";"S"
"ar";"ar";"viha";"wrath";"S"
"arab";"arab";"arabia";"Arabic";"S"
"arab";"arab";"arabian kieli";"Arabic";"S"
"arabjo";"arab-jo";"arabi";"Arab";"S"
"Arablo";"arab-lo";"Arabia";"Arabian";"S"
"arabva";"arab-va";"arabialainen";"Arabian";"A"
"arabva";"arab-va";"arabialainen";"Arabic";"A"
"arahmimuo";"ar-ah-mi-mu-o";"närkästys";"indignation";"S"
"arahmimuu";"ar-ah-mi-muu";"närkästyä";"get irritated";"V"
"arahmimuuen";"ar-ah-mi-muu-en";"närkästynyt";"indignant";"V"
"arameva";"arame-va";"aramealainen";"Aramaic";"A"
"ararjo";"ar-ar-jo";"äkäpussi";"virago";"S"
"ararjo";"ar-ar-jo";"äkäpussi";"vixen";"S"
"arculi";"ar-cu-li";"aggressiivisesti";"aggressively";"D"
"arcumiva";"ar-cu-mi-va";"jörö";"grumpy";"A"
"arcuo";"ar-cuo";"aggressio";"aggression";"S"
"arcuva";"ar-cu-va";"aggressiivinen";"aggressive";"A"
"arcuva";"ar-cu-va";"nyreä";"glum";"A"
"arcuva";"ar-cu-va";"nyreä";"sulky";"A"
"arcuva";"ar-cu-va";"nyreä";"sullen";"A"
"arcuva";"ar-cu-va";"tuikea";"stern";"A"
"arcuva";"ar-cu-va";"tuima";"fierce";"A"
"arcuva";"ar-cu-va";"tuima";"hard";"A"
"arcuva";"ar-cu-va";"tuima";"stern";"A"
"arcuva";"ar-cu-va";"yrmeä";"sullen";"A"
"arcuvao";"ar-cu-va-o";"aggressiivisuus";"aggressiveness";"S"
"arcuvao";"ar-cu-va-o";"tuimuus";"asperity";"S"
"arcuögva";"ar-cu-ög-va";"äksy";"bad-tempered";"A"
"arcuögva";"ar-cu-ög-va";"äksy";"cranky";"A"
"arcuögva";"ar-cu-ög-va";"äksy";"crotchety";"A"
"arcuögva";"ar-cu-ög-va";"äksy";"ill-tempered";"A"
"arcuögva";"ar-cu-ög-va";"äksy";"moody";"A"
"argentjo";"argent-jo";"argentiinalainen";"Argentine";"S"
"arginmo";"argin-mo";"arginiini";"arginine";"S"
"arhö";"ar-hö";"murahdus";"grunt";"S"
"arhö";"ar-hö";"murahdus";"snarl";"S"
"arhöö";"ar-höö";"öristä";"growl";"V"
"arjaljo";"arjal-jo";"arjalainen";"Aryan";"S"
"arkli";"ark-li";"arasti";"shyly";"D"
"arkli";"ark-li";"arasti";"timidly";"D"
"arkliva";"ark-li-va";"arkaluonteinen";"sensitive";"A"
"arkliva";"ark-li-va";"arkaluontoinen";"sensitive";"A"
"arkva";"ark-va";"arka";"cautious";"A"
"arkva";"ark-va";"arka";"chary";"A"
"arkva";"ark-va";"arka";"diffident";"A"
"arkva";"ark-va";"arka";"easily hurt";"A"
"arkva";"ark-va";"arka";"faint";"A"
"arkva";"ark-va";"arka";"mousy";"A"
"arkva";"ark-va";"arka";"sensitive";"A"
"arkva";"ark-va";"arka";"shy";"A"
"arkva";"ark-va";"arka";"sore";"A"
"arkva";"ark-va";"arka";"tender";"A"
"arkva";"ark-va";"arka";"timid";"A"
"arkva";"ark-va";"arka";"timorous";"A"
"arkva";"ark-va";"arka";"touchy";"A"
"arkvao";"ark-va-o";"arkuus";"soreness";"S"
"arkvao";"ark-va-o";"arkuus";"tenderness";"S"
"arkvao";"ark-va-o";"arkuus";"timidity";"S"
"arli";"ar-li";"vihaisesti";"angrily";"D"
"arlikaa";"ar-li-kaa";"katsoa vihaisesti";"scowl";"V"
"arlymioo";"ar-ly-mi-oo";"jurottaa";"mope";"V"
"arlymioova";"ar-ly-mi-oo-va";"juro";"sullen";"A"
"armili";"ar-mi-li";"vihamielisesti";"hatefully";"D"
"armiva";"ar-mi-va";"vihamielinen";"aggressive";"A"
"armiva";"ar-mi-va";"vihamielinen";"antagonistic";"A"
"armiva";"ar-mi-va";"vihamielinen";"hateful";"A"
"armiva";"ar-mi-va";"vihamielinen";"hostile";"A"
"armiva";"ar-mi-va";"vihamielinen";"inimical";"A"
"armivao";"ar-mi-va-o";"vihamielisyys";"aggression";"S"
"armivao";"ar-mi-va-o";"vihamielisyys";"belligerence";"S"
"armivao";"ar-mi-va-o";"vihamielisyys";"enmity";"S"
"armivao";"ar-mi-va-o";"vihamielisyys";"hostility";"S"
"armuo";"ar-mu-o";"suuttumus";"anger";"S"
"armuo";"ar-mu-o";"suuttumus";"dudgeon";"S"
"armuu";"ar-muu";"kimpaantua";"flare up";"V"
"armuu";"ar-muu";"kimpaantua";"get angry";"V"
"armuu";"ar-muu";"menettää malttinsa";"lose one's temper";"V"
"armuu";"ar-muu";"suivaantua";"become angry";"V"
"armuu";"ar-muu";"suivaantua";"get angry";"V"
"armuu";"ar-muu";"suuttua";"be offended";"V"
"armuu";"ar-muu";"suuttua";"boil";"V"
"armuu";"ar-muu";"suuttua";"get angry";"V"
"armuu";"ar-muu";"suuttua";"get indignant";"V"
"armuu";"ar-muu";"tuohtua";"be indignant";"V"
"armuu";"ar-muu";"vihastua";"get angry";"V"
"armuu";"ar-muu";"ärtyä";"become irritated";"V"
"armuu";"ar-muu";"ärtyä";"get annoyed";"V"
"armuuen";"ar-muu-en";"suuttunut";"angered";"V"
"armuuen";"ar-muu-en";"suuttunut";"angry";"V"
"armuuen";"ar-muu-en";"suuttunut";"exasperated";"V"
"armuuen";"ar-muu-en";"suuttunut";"incensed";"V"
"armuuen";"ar-muu-en";"suuttunut";"mad";"V"
"armuuen";"ar-muu-en";"suuttunut";"outraged";"V"
"armuuen";"ar-muu-en";"tuohtunut";"indignant";"V"
"armuuen";"ar-muu-en";"ärtynyt";"irritated";"V"
"armuuen";"ar-muu-en";"ärtynyt";"overwrought";"V"
"armuuli";"ar-muu-li";"ärtyneesti";"irritably";"D"
"armuunen";"ar-muu-nen";"suutuksissa";"angrily";"V"
"armuunen";"ar-muu-nen";"suutuksissa";"in anger";"V"
"armuute";"ar-muu-te";"ärtymys";"exasperation";"S"
"armuute";"ar-muu-te";"ärtymys";"irritation";"S"
"armuuvao";"ar-muu-va-o";"ärtyneisyys";"irritability";"S"
"arpao";"ar-pa-o";"vihanpito";"feud";"S"
"arpao";"ar-pa-o";"vihanpito";"hostilities";"S"
"arpihöö";"ar-pi-höö";"pauhata";"rant";"V"
"arpikysva";"ar-pik-ys-va";"ärhäkkä";"waspish";"A"
"arriip";"ar-riip";"lepyttää";"appease";"V"
"arriip";"ar-riip";"lepyttää";"mollify";"V"
"arriip";"ar-riip";"lepyttää";"placate";"V"
"arriip";"ar-riip";"lepyttää";"propitiate";"V"
"arsasa";"ar-sa-sa";"vihapuhe";"hate speech";"S"
"arsava";"ar-sa-va";"äreä";"crusty";"A"
"arsava";"ar-sa-va";"äreä";"irritable";"A"
"arsava";"ar-sa-va";"äreä";"morose";"A"
"arsava";"ar-sa-va";"äreä";"surly";"A"
"arsava";"ar-sa-va";"äreä";"testy";"A"
"arsää";"ar-sää";"karjua";"bellow";"V"
"arsää";"ar-sää";"karjua";"roar";"V"
"arsää";"ar-sää";"karjua";"shout";"V"
"arsää";"ar-sää";"karjua";"yell";"V"
"arsää";"ar-sää";"äristä";"growl";"V"
"arsää";"ar-sää";"ärjyä";"roar";"V"
"arsääte";"ar-sää-te";"karjunta";"bellow";"S"
"arsääte";"ar-sää-te";"karjunta";"bellowing";"S"
"arsääte";"ar-sää-te";"karjunta";"roar";"S"
"arsääte";"ar-sää-te";"ärjyntä";"roar";"S"
"artisokep";"artisok-ep";"artisokka";"artichoke";"S"
"arva";"ar-va";"vihainen";"angry";"A"
"arva";"ar-va";"vihainen";"annoyed";"A"
"arva";"ar-va";"vihainen";"huffy";"A"
"arva";"ar-va";"vihainen";"pissed off";"A"
"arva";"ar-va";"äkeä";"angry";"A"
"arvijo";"ar-vi-jo";"vihollinen";"enemy";"S"
"arvijo";"ar-vi-jo";"vihollinen";"foe";"S"
"arvijo leilo";"ar-vi-jo lei-lo";"vihollisalue";"enemy territory";"S"
"arvijovao";"ar-vi-jo-va-o";"vihollisuus";"feud";"S"
"arvijovaosi";"ar-vi-jo-va-o-si";"vihollisuudet";"hostilities";"S"
"arys";"ar-ys";"ärsyke";"irritant";"S"
"arys";"ar-ys";"ärsyke";"stimulant";"S"
"arys";"ar-ys";"ärsyke";"stimulus";"S"
"arysva";"ar-ys-va";"ärtyinen";"fractious";"A"
"arysva";"ar-ys-va";"ärtyisä";"cranky";"A"
"arysva";"ar-ys-va";"ärtyisä";"edgy";"A"
"arysva";"ar-ys-va";"ärtyisä";"irritable";"A"
"arysva";"ar-ys-va";"ärtyisä";"peevish";"A"
"aryys";"ar-yys";"ottaa päähän";"irritate";"V"
"aryys";"ar-yys";"ärsyttää";"annoy";"V"
"aryys";"ar-yys";"ärsyttää";"disgruntle";"V"
"aryys";"ar-yys";"ärsyttää";"irritate";"V"
"aryys";"ar-yys";"ärsyttää";"peeve";"V"
"aryys";"ar-yys";"ärsyttää";"stimulate";"V"
"aryyste";"ar-yys-te";"ärsytys";"annoyance";"S"
"aryyste";"ar-yys-te";"ärsytys";"irritation";"S"
"aryyste";"ar-yys-te";"ärsytys";"vexation";"S"
"aryysva";"ar-yys-va";"ärsyttävä";"annoying";"A"
"aryysva";"ar-yys-va";"ärsyttävä";"exasperating";"A"
"aryysva";"ar-yys-va";"ärsyttävä";"galling";"A"
"aryysva";"ar-yys-va";"ärsyttävä";"irritant";"A"
"aryysva";"ar-yys-va";"ärsyttävä";"irritating";"A"
"aryysva";"ar-yys-va";"ärsyttävä";"pesky";"A"
"aryysva";"ar-yys-va";"ärsyttävä";"vexatious";"A"
"aryysva";"ar-yys-va";"ärsyttävä";"vexing";"A"
"aryysvao";"ar-yys-va-o";"ärsyttävyys";"annoyance";"S"
"aröbsaa";"ar-öb-saa";"jurnuttaa";"peck";"V"
"aröbsaa";"ar-öb-saa";"motkottaa";"nag";"V"
"aröbsaa";"ar-öb-saa";"mäkättää";"bleat";"V"
"asa";"a-sa";"konjunktio";"conjunction";"S"
"asa";"a-sa";"konjunktio";"connective";"S"
"asa";"a-sa";"sidesana";"conjunction";"S"
"asa";"a-sa";"sidesana";"conjunctive";"S"
"asbestmo";"asbest-mo";"asbesti";"asbestos";"S"
"asepu";"ase-pu";"haapa";"aspen";"S"
"asetatmo";"asetat-mo";"asetaatti";"acetate";"S"
"asetonmo";"aseton-mo";"asetoni";"acetone";"S"
"asetylenmo";"asetylen-mo";"asetyleeni";"acetylene";"S"
"Asialo";"Asia-lo";"Aasia";"Asia";"S"
"asiava";"asia-va";"aasialainen";"Asian";"A"
"aspartamo";"asparta-mo";"aspartaami";"aspartame";"S"
"aspe";"as-pe";"aasi";"ass";"S"
"aspe";"as-pe";"aasi";"donkey";"S"
"aspeliva";"as-pe-li-va";"aasimainen";"asinine";"A"
"aspeliva";"as-pe-li-va";"aasimainen";"ass-like";"A"
"aspirinmo";"aspirin-mo";"aspiriini";"aspirin";"S"
"assyrdä";"assyr-dä";"assyriologia";"assyriology";"S"
"assyrdäjo";"assyr-dä-jo";"assyriologi";"assyriologist";"S"
"asterkuk";"aster-kuk";"asteri";"aster";"S"
"Atenlo";"Aten-lo";"Ateena";"Athens";"S"
"ati.";"ati.";"yms.";"etc.";"K"
"Atlant";"Atlant";"Atlantti";"Atlantic";"S"
"Atlant-";"Atlant-";"Atlantin";"Atlantic";"S"
"atserbjo";"atserb-jo";"azerbaidžani";"Azerbaijan";"S"
"atserbjo";"atserb-jo";"azerbaidžani";"Azerbaijani";"S"
"atstekjo";"atstek-jo";"atsteekki";"Aztec";"S"
"atua";"a-tua";"ynnä muuta";"et cetera";"K"
"atuaitva";"a-tua-it-va";"ja vastaavat";"and the like";"A"
"atuaitva";"a-tua-it-va";"ynnämuuta sellaista";"and the like";"A"
"audiit";"audiit";"auditoida";"audit";"V"
"aurlo";"aur-lo";"aurinko";"sun";"S"
"aurlo-";"aur-lo";"aurinko-";"solar";"S"
"aurloaap";"aur-lo-aap";"ottaa aurinkoa";"sunbathe";"V"
"aurloap";"aur-lo-ap";"auringonotto";"sunbath";"S"
"aurlobrauu";"aur-lo-brauu";"päivettyä";"get sunburnt";"V"
"aurlobrauu";"aur-lo-brauu";"päivettyä";"tan";"V"
"aurlobrauute";"aur-lo-brauu-te";"päivetys";"sunburn";"S"
"aurlobrauute";"aur-lo-brauu-te";"päivetys";"tan";"S"
"aurloböönenob";"aur-lo-böön-en-ob";"auringonpolttama";"sunburn";"S"
"aurloejva";"aur-lo-ej-va";"auringoton";"sunless";"A"
"aurloglasi";"aur-lo-gla-si";"aurinkolasit";"sunglasses";"S"
"aurlokadiprivö";"aur-lo-ka-dip-ri-vö";"aurinkoluotain";"solar probe";"S"
"aurlokat";"aur-lo-kat";"auringonvalo";"sunlight";"S"
"aurlokatik";"aur-lo-kat-ik";"auringonsäde";"sunbeam";"S"
"aurlokatik";"aur-lo-kat-ik";"päivänsäde";"sunbeam";"S"
"aurlokatik";"aur-lo-kat-ik";"päivänsäde";"sunray";"S"
"aurlokatyv";"aur-lo-kat-yv";"auringonvarjo";"parasol";"S"
"aurlokatyvvo";"aur-lo-kat-yv-vo";"auringonvarjo";"umbrella";"S"
"aurlokayvtak";"aur-lo-ka-yv-tak";"auringonpimennys";"eclipse";"S"
"aurlokayvtak";"aur-lo-ka-yv-tak";"auringonpimennys";"eclipse of the sun";"S"
"aurlokayvtak";"aur-lo-ka-yv-tak";"auringonpimennys";"solar eclipse";"S"
"aurlokliirte";"aur-lo-kliir-te";"auringonpaiste";"sunshine";"S"
"aurlokliirte";"aur-lo-kliir-te";"päivänpaiste";"sunshine";"S"
"aurlokuk";"aur-lo-kuk";"auringonkukka";"sunflower";"S"
"aurlolao";"aur-lo-la-o";"aurinkopaneeli";"solar array";"S"
"aurlolao";"aur-lo-la-o";"aurinkopaneeli";"sun panel";"S"
"aurlolijär";"aur-lo-li-jär";"aurinkokunta";"solar system";"S"
"aurlolyyte";"aur-lo-lyy-te";"auringonlasku";"sundown";"S"
"aurlolyyte";"aur-lo-lyy-te";"auringonlasku";"sunset";"S"
"aurlomidva";"aur-lo-mid-va";"aurinkokeskinen";"heliocentric";"A"
"aurlomidva";"aur-lo-mid-va";"heliosentrinen";"heliocentric";"A"
"aurlonovo";"aur-lo-no-vo";"aurinkokello";"sundial";"S"
"aurlo-oilpamo";"aur-lo-oil-pa-mo";"aurinkovoide";"sunscreen";"S"
"aurlopikpa";"aur-lo-pik-pa";"auringonpistos";"sunstroke";"S"
"aurlopohou";"aur-lo-po-ho-u";"aurinkomyrsky";"solar storm";"S"
"aurlopori";"aur-lo-po-ri";"aurinkoenergia";"solar energy";"S"
"aurlosefto";"aur-lo-sef-to";"markiisi";"awning";"S"
"aurlosähpo";"aur-lo-säh-po";"aurinkosähkö";"photovoltaic";"S"
"aurlova";"aur-lo-va";"aurinkoinen";"bright";"A"
"aurlova";"aur-lo-va";"aurinkoinen";"shining";"A"
"aurlova";"aur-lo-va";"aurinkoinen";"shiny";"A"
"aurlova";"aur-lo-va";"aurinkoinen";"sunlit";"A"
"aurlova";"aur-lo-va";"aurinkoinen";"sunny";"A"
"aurlova";"aur-lo-va";"aurinkoinen";"sunshiny";"A"
"aurloyylte";"aur-lo-yyl-te";"auringonnousu";"break of the day";"S"
"aurloyylte";"aur-lo-yyl-te";"auringonnousu";"dawn";"S"
"aurloyylte";"aur-lo-yyl-te";"auringonnousu";"dawning";"S"
"aurloyylte";"aur-lo-yyl-te";"auringonnousu";"daybreak";"S"
"aurloyylte";"aur-lo-yyl-te";"auringonnousu";"dayspring";"S"
"aurloyylte";"aur-lo-yyl-te";"auringonnousu";"first light";"S"
"aurloyylte";"aur-lo-yyl-te";"auringonnousu";"sunrise";"S"
"aurloyylte";"aur-lo-yyl-te";"auringonnousu";"sunup";"S"
"Auslo";"Aus-lo";"Itävalta";"Austria";"S"
"austenitmo";"austenit-mo";"austeniitti";"austenite";"S"
"ausva";"aus-va";"itävaltalainen";"Austrian";"A"
"aut";"aut";"itse";"personally";"PR"
"aut";"aut";"itse";"self";"PR"
"autaheap";"aut-ah-e-ap";"itsemurha";"suicide";"S"
"autahfitee";"aut-ah-fi-tee";"sattua";"hurt";"V"
"autahfulaaf";"aut-ah-ful-aaf";"kyllästyä";"get tired";"V"
"autahhiir";"aut-ah-hiir";"tyrmistyä";"be dismayed";"V"
"autahhiir";"aut-ah-hiir";"tyrmistyä";"be shocked";"V"
"autahhiiren";"aut-ah-hiir-en";"tyrmistynyt";"appalled";"V"
"autahhiiren";"aut-ah-hiir-en";"tyrmistynyt";"dismayed";"V"
"autahhiiren";"aut-ah-hiir-en";"tyrmistynyt";"shocked";"V"
"autahhiiren";"aut-ah-hiir-en";"tyrmistynyt";"stunned";"V"
"autahhiiren";"aut-ah-hiir-en";"tyrmistynyt";"thunderstruck";"V"
