VosaPart	Vosa	Finnish	English
mool	tumoolte	maihinnousu	landing
mold	mold	home	mold
miilk	miilk	lypsää	milk
miid	autmiid	keskittyä	focus
lääk	lääk	kuumentaa	heat
loot	loot	purkaa	demolish
log	logrisova	logaritminen	logarithmic
lem	suklem	suklaa	chocolate
laur	silaurepto	laakeriseppele	laurel wreath
latin	latin	latina	Latin
kroon	kroon	kruunata	crown
lap	Laplo	Lappi	Lapland
paf	paf	pahvi	cardboard
göö	göö	puoltaa	advocate
ryp	ryp	ryppy	wrinkle
knoot	knoot	solmia	tie
Rome	Rome	Rooma	Rome
pär	äplpäralkvem	siideri	cider
pur	purem	puuro	porridge
ruj	ruj	latva	top
Pb	moPbejva	lyijytön	unleaded
mosp	mosp	sammal	moss
paapr	varmpaapren	sinetöity	sealed
oop	vomoop	laimentaa	dilute
onj	onjep	sipuli	onion
niiv	niiv	hävitä	lose
nem	entanem	eine	breakfast
mur	murongsaa	nurista	murmur
poos	sipoos	riidellä	quarrel
Co	moNaduCOtre	sooda	soda
hellen	hellenva	hellenistinen	Hellenistic
fas	faside	fasismi	fascism
esp	esp	espanjan kieli	Spanish
egyp	Egyplo	Egypti	Egypt
deriv	deriv	johdos	derivative
gög	vigög	kesken	among
cöyyh	cöyyh	sointua	chord
hei	hukheiteafvo	harppuuna	harpoon
brit	Britlo	Britannia	Britain
beton	betonmo	betoni	concrete
bens	bensmo	bensiini	gas
baal	tubaalte	kotiuttaminen	repatriation
arab	arab	arabia	Arabic
saliiv	saliiv	sylkeä	spit
def	def	määrite	qualifier
hyt	hytpeg	itikka	mosquito
keisar	keisarjo	keisari	emperor
jäät	emikjäätte	ulostaminen	defecation
jee	rorijee	kuitata	acknowledge
its	its	kutka	itch
ink	inkpä	kyynärpää	elbow
flu	fluret	flunssa	cold
hyy	hyy	kiitää	speed
kirs	kirsber	kirsikka	cherry
hylj	hyljpe	hylje	seal
huo	huo	lento	flight
hoo	hohhoo	hohottaa	laugh
hol	hol	hollannin kieli	Dutch
hip	vamtuhippe	virtahepo	hippopotamus
hind	hindusva	hindulainen	Hindu
ind	Indlo	Intia	India
välv	välv	venttiili	valve
saat	saat	sattua	happen
äpl	äplhed	omena	apple
vääl	tuovääl	askeltaa	pace
tärk	tärkmo-ofva	tärkkelyspitoinen	starchy
turk	Turklo	Turkki	Turkey
tsis	tsisem	juusto	cheese
tseel	milktseel	juoksettaa	curdle
tiisl	tiisl	tislata	distill
serf	serfva	tunkkainen	musty
yök	yök	yök	yuck
terv	tervmo	terva	tar
saah	saah	sahata	saw
saliv	salivmo	sylki	spit
sin	sincuri	sini	sine
sköt	skötvat	hame	dress
sälm	sälmfis	lohi	salmon
taav	taav	riisua	undress
taiip	islytaiipte	mätkähdys	flop
posl	poslmo	posliini	porcelain
räb	pulräbpe	jänis	rabbit
reed	vitreed	kalventaa	fade
puol	Puollo	Puola	Poland
päsk	päsksif	pääskynen	swallow
rah	rahhö	rahina	rasp
pot	potem	peruna	potato
reum	reumva	reumaattinen	rheumatic
riing	riing	rengastaa	ring
rup	rupretva	rupinen	scabbed
ryn	ryn	ryyni	hulled grain
poor	poor	porata	drill
muut	isautvomuut	purskahtaa	gush
ruum	teruum	kiinteyttää	tone up
ply	plyva	nöyrä	humble
plast	plastmo	kipsi	gypsum
pih	pihhööva	pihisevä	hissing
pers	persva	persialainen	Persian
parbol	parbol	paraabeli	parabola
paal	rovpaal	tilittää	account
ortod	ortodusva	ortodoksinen	orthodox
nis	fivhynis tan	vappu	mayday
same	same	saamen kieli	Sami language
nats	natside	natsismi	Nazism
svän	svänsif	joutsen	swan
mong	Monglo	Mongolia	Mongolia
mes	mesmo	hunaja	honey
neil	neilkuk	neilikka	carnation
traut	trautfis	taimen	trout
ääng	sikvaäängte	taulukointi	tabulation
yöök	emyöök	oksentaa	puke
yyt	yytva	sakea	dense
vuo	mävuope	pukki	goat
vris	vrisve	ranne	wrist
vhiip	vhiip	suomia	lash
veps	veps	vepsän kieli	Veps
velv	velvvatmova	samettinen	velvety
vees	stoveeste	tankkaus	refill
USA	USAlo	Yhdysvallat	USA
tääf	auttääf	laihtua	slim
suh	suhhö	suhina	whoosh
tsig	tsigtsägtuo	pujottelu	slalom
sap	sapevmova	sapekas	full of gall
tisl	tislvo	tislain	distiller
tiih	yrtetiihte	dekompressio	decompression
tuns	Tunslo	Tunisia	Tunis
suj	sujli	noin	about
makar	nauhmakarem	nuudeli	noodle
stork	storksif	haikara	stork
sneet	hösneet	lonksua	rattle
skand	skandva	skandinaavinen	Scandinavian
sitrun	sitrun	sitruuna-	citric
siid	siid	sivuta	touch on
shit	shit	arkki	sheet
shes	shesple	sakki	chess
tsäg	tsigtsägtuo	pujottelu	slalom
dap	obdap	päätelmä	conclusion
heed	nöheedte	hedelmöitys	conception
hebr	hebr	heprea	Hebrew
hauuk	hauukte	haukotus	yawn
hauu	hauu	haukkua	bark
has	has	haaste	challenge
harp	harphöv	harppu	harp
golf	golfple	golf	golf
gi	gihehee	kikattaa	giggle
fig	figpu	viikunapuu	fig tree
etylen	etylenmo	eteeni	ethylene
est	est	eesti	estonian
heev	teheevva	raskauttava	aggravating
dio	rokliirdiodi	loistediodi	fluorescent diode
Asia	Asialo	Aasia	Asia
daap	obdaap	päätellä	reason
daaf	öbdaaf	tiedustella	inquire
bääg	tinbäägte	pussitus	bagging
bot	bot	botti	bot
bootl	bootl	pullottaa	bottle
bool	tuvebooljo	jalkapalloilija	footballer
beek	beek	leipoa	bake
baar	yvbaar	teljetä	shut
as	aspe	aasi	donkey
aalt	aalt	vuorotella	alternate
mais	maisvil	maissi	corn
ung	ung	unkarin kieli	hungarian
doot	terodootte	pisteitys	scoring
kiö	progikkiö	ohjelmamoduuli	program module
afr	afrva	afrikkalainen	African
liv	livev	maksa	liver
luther	lutherusva	luterilainen	Lutheran
kääd	kääd	mainostaa	advertise
kurk	kurkep	kurkku	cucumber
kran	kransutto	kranaatti	shell
kos	koscuri	kosini	cos
hym	hymhösaa	hyräillä	hum
koh	kohhö	kohina	noise
lestad	unlilestadus	vanhoillislestadiolaisuus	conservative laestadianism
kiid	kiid	kiteyttää	crystallize
läp	läp	läppä	flap
kiek	kiekhöö	kiekua	crow
ire	Irelo	Irlanti	Ireland
ideaa	ideaa	ideoida	brainstorm
komj	komjideva	kommunistinen	communist
hyyj	yltehyyjte	ylikansoitus	overpopulation
kes	kesob	löytö	find
ieer	ieer	mutkistaa	complicate
ion	ion	ioni	ion
idyl	idyl	idylli	idyll
islam	islamusva	islamilainen	Islamic
isr	Isrlo	Israel	Israel
ita	ita	italia	italian
jap	jap	japanin kieli	Japanese
katol	katolusva	katolinen	Catholic
keih	keihmo	sora	gravel
iil	leipaiil	läjätä	pile up
per	poperapve	kavio	hoof
pil	pil	pilleri	pill
pihl	pihlpu	pihlaja	rowan
pest	pestret	rutto	pestilence
past	pastem	pasta	pasta
pars	parskäpep	parsakaali	broccoli
pamp	pampvo	pumppu	pump
palm	palmpu	palmu	palm
pagaat	pagaat	postittaa	post
paamp	paamp	pumpata	pump
Pakistan	Pakistanlo	Pakistan	Pakistan
ping	pingsif	pingviini	penguin
plant	tolleiplantep	piharatamo	plantain
plas	plasmo	plasma	plasm
pomeg	pomeghedpu	granaattiomenapuu	pomegranate tree
poon	poonli	vitkaan	slowly
Portug	portug	portugalin kieli	Portuguese
Prus	Pruslo	Preussi	Prussia
pulm	pulmsif	pulmunen	snow bunting
punk	punkpeg	punkki	mite
puu	suppuu	pönkittää	underpin
pyrit	pyritkam	kiisu	pyrite
mor	morjo	mauri	Moor
pänkr	pänkrevretbön	haimatulehdus	pancreatitis
pöts	pötsfis	ahven	perch
puul	tepuulte	metsitys	reforestation
metod	metodusjo	metodisti	Methodist
London	London	Lontoo	London
Lät	Lätlo	Latvia	Latvia
syanid	syanidmo	syanidi	cyanide
rab	rabmo	hierre	refined mechanical pulp
mand	mandkin	mandariinikiina	Mandarin Chinese
mar	marrov	markka	mark
Maria	Maria tan	Marian päivä	St. Mary's Day
marks	marksidejo	marxilainen	Marxist
Mars	Marslo	Mars	Mars
Meks	Mekslo	Meksiko	Mexico
melon	vammelonep	vesimeloni	watermelon
nees	nees	niistää	blow one' nose
Messias	Messias	Messias	Messiah
ouuk	ouuk	kovertaa	scoop
muslim	muslimusjo	muslimi	Muslim
nii	teniite	ulkoistaminen	outsourcing
niip	niip	nipistää	tweak
niit	rauniitte	kiekkoilu	hockey
Nil	Nil	Niili	Nile
nitr	nitrtermo	nitro	nitro
noa	noa	no	well
nuu	sitönuu	vääntelehtiä	squirm
nuul	nuul	nollata	zero
Ost	Ostlo	Australia	Australia
ouh	ouh	ai	oh
outs	outsep	kaura	oats
mer	simermo	polymeeri	polymer
turn	turnep	nauris	turnip
taa	teapaves	teekannu	teapot
taak	uttetaak dasi	pimittää tietoja	withhold information
targ	targfiem	rakuuna	tarragon
teer	lirteerte	puoskarointi	quackery
tennis	tennisple	tennis	tennis
teosof	teosofusva	teosofinen	theosophical
Thai	Thailo	Thaimaa	Thailand
tiitr	tiitr	titrata	titrate
tof	tofsuitem	toffee	toffee
toma	tomaep	tomaatti	tomato
trol	troljo	peikko	hobgoblin
sur	surhöö	surista	buzz
tsin	tsinharvat	farkut	jeans
stoa	stoava	stoalainen	stoic
Uoh	Uohva Fovamlo	Tyyni Valtameri	Pacific
vanil	vanilepvilaem	vaniljakastike	vanilla custard
varp	varpsif	varpunen	sparrow
vas	vaspeg	ampiainen	wasp
viisl	viisl	viheltää	whistle
viit	teviitte	valkaisu	bleach
vyv	ravyva	aulis	willing
vää	ylvääte	sublimaatio	sublimation
äs	äsääste	supina	whispering
Lith	Lithlo	Liettua	Lithuania
Ukrain	Ukrainlo	Ukraina	Ukraine
Tsek	tsekjo	tsekki	Czech
Seel	Novva Seello	Uusi-Seelanti	New Zealand
rast	rast	rakkain	dearest
retis	tivretisep	retikka	black radish
rif	rif	riutta	reef
Rom	romva	romanialainen	Romanian
roman	romanjo	mustalainen	Gypsy
rouup	rouup	köyttää	rope
ruut	hatusaa teruuten	toivottaa tervetulleeksi	welcome
ruuv	ruuv	ruuvata	screw
ryj	ryjli	loivasti	gently
rym	rymhöö	rymistä	rumble
ryy	ryy vö	laittaa päälle laite	put on the device
särk	särkfis	särki	roach
sal	salep	salaatti	lettuce
Svit	Svitlo	Sveitsi	Switzerland
Serb	Serblo	Serbia	Serbia
shil	shilrov	shillinki	shilling
sih	sihhöö	sähistä	fizz
sim	simvem	sima	mead
sinfon	sinfon	sinfonia	symphony
siren	sirenkuk	sireenin kukka	siren flower
sitr	sitr	sitrus	citrus
slav	slavva	slaavilainen	slavic
slov	slovjo	slovakki	Slovak
soup	soup	saippua	soap
stiik	pistiik vuvo	sauvoa venettä	punt boat
ras	sirashöö	rasahdella	rustle
saad	kasaaden	yllättynyt	surprised
glas	houglas	tuulilasi	windscreen
Cl	moClmoFmoCmoH	kloorifluorihiilivety	chlorofluorocarbon
Cr	moCrpaa	kromata	chromate
dia	diamo	timantti	diamond
diesel	dieselpo	diesel	diesel
dill	dillep	tilli	dill
dur	durvilep	durra	sorghum
eid	eidsifhieheörva	haahkanuntuva	eiderdown
estr	siestrmo	polyesteri	polyester
filt	pifiltvo	seula	screen
flan	flanvatva	flanellinen	flannel
flem	flemva	flaamilainen	Flemish
ifr	nopifrtuu	vilistää	scurry
foks	fokspe	kettu	fox
bult	bult	pultti	bolt
glyserin	nitrglyserinmo	nitroglyseriini	nitroglycerine
goth	gothva	goottilainen	gothic
grek	Greklo	Kreikka	Greece
haah	tecuhaah	moralisoida	moralize
hao	mihao	mielihyvä	gratification
heej	haheejte	hyvästely	saying goodbye
homeopat	homeopatva	homeopaattinen	homeopathic
hoon	ejcuhoonva	epäkunnioittava	disrespectful
hor	hormo	hormoni	hormone
hup	hupsif	harjalintu	hoopoe
hydrat	moChydratmo	hiilihydraatti	carbohydrate
fliip	sifliip	räpyttää	flap
assyr	assyrdäjo	assyriologi	assyriologist
lisk	liskpe	lisko	lizard
val	valfis	valas	whale
aal	koaal	kyseenalaistaa	question
aark	aark	arastaa	shy
acet	acetmo	etikka	vinegar
afgan	Afganlo	Afganistan	Afghanistan
alban	albanva	albanialainen	Albanian
ald	aldpu	leppä	alder
ami	amihapmo	aminohappo	amino acid
amp	amprivö	ampeerimittari	ammeter
anis	anisep sem	aniksen siemen	anise seed
buu	buu	buuata	boo
apil	vampulapilep	raate	marsh trefoil
bur	burhöö	hurista	buzz
Aus	Auslo	Itävalta	Austria
bac	bachö	basso	bass
bamp	bamp	kuhmu	bump
bask	baskhät	baskeri	beret
Belg	Belglo	Belgia	Belgium
biljard	biljardplestik	biljardimaila	pool cue
Botn	botnva	pohjalainen	Ostrobothnian
boul	boulves	malja	goblet
Brasil	Brasillo	Brasilia	Brazil
budha	budhausva	buddhalainen	Buddhist
Bulgar	Bulgarlo	Bulgaria	Bulgaria
baat	baat	kylpeä	bathe
aoh	aoh	ah	ah
Kub	Kublo	Kuuba	Cuba
kol	kolkodfis	kolja	haddock
kom	kom	komin kieli	Komi
konj	konjalkvem	konjakki	brandy
koor	nukkoorte	kuorsaus	snoring
koot	kotkootte	kotkotus	cackle
kor	korhöö	korista	wheeze
Korea	Korealo	Korea	Korea
korint	korintva	korinttilainen	corinthian
koron	koron	korona	corona
koukou	koukou	kaakao	cocoa
krak	kraksif	varis	crow
kok	koknutoilmo	kookosöljy	coconut oil
kron	kron	kruunu	crown
krypt	krypt	krypto	crypto
kuov	pikuovsif	isokuovi	curlew
kuuk	kuuk	kukkia	flower
kvant	kvant	kvantti	quantum
kärs	röhkärsep	siankärsämö	yarrow
laion	laionpe	leijona	lion
leep	autleepejva	leppymätön	implacable
leg	legsipsio	legioona	legion
lentil	lentilep kuem	linssikeitto	lentil soup
ig	igsif	kotka	eagle
Atlant	Atlant	Atlantti	Atlantic
lil	lilkuk	lilja	lily
lihn	lihnep	jäkälä	lichen
kroket	kroketple häkvo	krokettimaila	croquet racket
jist	jist	hiiva	yeast
ini	isinisaa	ynähtää	whine
ioon	teioonvö	ionisaattori	ionizer
ing	ingfiem	inkivääri	ginger
iin	vamiinen	vettynyt	waterlogged
koil	koil	kerä	ball
Irak	Iraklo	Irak	Iraq
Iran	Iranlo	Iran	Iran
Ise	Iselo	Islanti	Iceland
jea	jea	jopa	even
Ir	moIr	iridium	iridium
Jugslav	Jugslavlo	Jugoslavia	Yugoslavia
juur	tejuur	juurruttaa	instill
jym	jymhö	jymy	roar
jyrn	jyrnhö	jyrinä	rumble
kans	vipökansjo	liittokansleri	chancellor
kelt	keltva	kelttiläinen	Celtic
katk	katkep	katko	hemlock
jak	jakrovat	jakkupuku	jacket suit
kit	kithövjo	kitaristi	guitarist
Karel	Karello	Karjala	Karelia
Kiov	Kiov	Kiova	Kiev
kapr	mäkaprpe	uroskauris	roebuck
kanel	kanelfiempu	kanelipuu	cassia
Kanad	Kanadlo	Kanada	Canada
kaln	kalnhöö	kalahtaa	clang
knost	knostusva	gnostilainen	gnostic
kah	kahhö	kahina	rustling
perlit	perlitmo	perliitti	perlite
PBB	PBB-vimo	PBB-yhdiste	PBB compound
Pd	moPd	palladium	palladium
pek	peknut	pekaanipähkinä	pecan
paund	paundrov	punta	sterling
parsn	parsnep	palsternakka	parsnip
penisil	penisilmo	penisilliini	penicillin
PBDE	PBDE-vimo	PBDE-yhdiste	PBDE compound
peparmint	peparmintep	piparminttu	peppermint
perklorat	perkloratmo	perkloraatti	perchlorate
piete	pieteönnukus	pietismi	Pietism
pern	pernev	perna-	splenic
Parkinson	Parkinsonret	Parkinsonin tauti	Parkinson's disease
persilj	persiljep	persilja	parsley
pion	pionep	pioni	peony
persim	persimhed	persimoni	persimmon
Peru	Perulo	Peru	Peru
peptid	peptidmo	peptidi	peptide
närh	närhsif	närhi	jay
noro	norovir	norovirus	norovirus
Np	moNp	neptunium	neptunium
nyn	nynva	nynny	wimp
raps	rapsep	rapsi	rape
plak	plak	plakki	plaque
okr	okrep	okra	ochre
oktan	oktanmo	oktaani	octane
olymp	olymphäp	olympialaiset	Olympics
opo	oporätpe	opossumi	possum
opiu	opiumo	oopiumi	opium
Paris	Paris	Pariisi	Paris
oregan	oreganep	oregano	oregano
orkid	orkidep	orkidea	orchid
oul	oulsif	pöllö	owl
paats	paatsep	paatsama	buckthorn
Palestin	Palestinlo	Palestiina	Palestine
pand	pandbiörpe	panda	panda
pant	pantpe	pantteri	panther
parafin	parafinmo	parafiini	paraffin
oong	tesioong	monimutkaistaa	complicate
riits	autriits	rikastua	make a fortune
rahk	rahkmosp vampul	rahkasuo	peat moss
päs	päspe	päästäinen	shrew
rad	radängrio	radiaani	radian
rag	ragva	rosoinen	jagged
rapar	raparep	raparperi	rhubarb
rastafr	rastafrussi	rastafarit	Rastafarians
Rb	moRb	rubidium	rubidium
retr	retrvir	retrovirus	retrovirus
pyram	pyramtol	pyramidi	pyramid
riboflav	riboflavmo	riboflaviini	riboflavin
purs	vampulpursep	suopursu	marsh tea
fibrin	fibrinmo	fibriini	fibrin
Rn	moRn	radon	radon
RNA	RNA	RNA	RNA
rock	rockjo	rokkari	rocker
rokok	rokoktyl	rokokoo	rococo
rosmar	rosmarep	rosmariini	rosemary
noos	yrvisemejnoos	riistää neitsyys	deflower
mad	madfis	made	burbot
Rh	moRh	rodium	rhodium
prolin	prolinmo	proliini	proline
plum	plumhed	luumu	plum
Pm	moPm	prometium	promethium
poh	poh	pyh	pooh
hokpok	hokpok	hokkuspokkus	abracadabra
pokr	pokrple	pokeri	poker
polaris	polariste	polarisaatio	polarization
polio	polioret	polio	polio
pop	popep	poppeli	poplar
pyök	pyökpu	pyökki	beech
pouv	lytalipouv	lattialuukku	floor hatch
plasm	plasmjö	plasmidi	plasmid
propan	propanmo	propaani	propane
propanol	propanolmo	propanoli	propanol
propylen	sipropylenmo	polypropeeni	polypropylene
psor	psorret	psoriaasi	psoriasis
Pt	moPt	platina	platinum
ptruu	ptruu	ptruu	whoa
puh	puh	puh	pooh
puj	pujhep	pujo	mugwort
pouul	pikpouul	seivästää	impale
majon	majonem	majoneesi	mayonnaise
mail	mail	maili 1609 m	mile 1609 m
Lr	moLr	lawrencium	lawrencium
luo	kaikluova	raitainen	striped
lupin	lupinkuk	lupiini	lupin
lyr	lyrhöv	lyyra	lyre
lysin	lysinmo	lysiini	lysine
maat	pamaat	matottaa	carpet
Singapor	Singaporlo	Singapore	Singapore
lisent	lisentdavro	lisensiaatti	licentiate
rou	rou	urheilu	sports
lipid	lipidmo	lipidi	lipid
Makedon	Makedonlo	Makedonia	Macedonia
makril	makrilfis	makrilli	mackerel
malar	malarret	horkka	malaria
Males	Maleslo	Malesia	Malaysia
mandol	mandolhöv	mandoliini	mandolin
marihuan	marihuan päräjmo	marihuana	marijuana
mast	hödavömast	radiomasto	radio mast
Md	moMd	mendelevium	mendelevium
mahog	mahogpu	mahonki	mahogany
lark	larksif	kiuru	lark
ky	kyierpe	kyy	viper
Kypr	Kyprlo	Kypros	Cyprus
kyril	kyrilva	kyrillinen	cyrillic
kys	kyskäpep	kyssäkaali	kohlrabi
kyst	kystkuopinäp	kysta	cyst
kystein	n-asetylkysteinmo	n-asetyylikysteiini	n-acetylcysteine
käämp	autkäämp	leiriytyä	camp
lahan	lahanfis	lahna	bream
lobstö	lobstöpe	hummeri	lobster
lamb	delamb	peppu	buttocks
mesim	mesimpup	kuusama	honeysuckle
laser	laserkatik	laser	laser
lavent	laventep	laventeli	lavender
leopard	leopardpe	leopardi	leopard
liek	liekep	lieko	club-moss
lign	lignmo	ligniini	lignin
liif	liif	lehtiä	leaf
lila	lilapup	syreeni	lilac
lind	lindpu	lehmus	linden
lakr	lakrsuitem	laku	liquorice
nee	neeva	tuleva	prospective
mysk	myskmo	myski	musk
mäk	mäkhytpeg	mäkäräinen	black-fly
määsh	määsh	soseuttaa	puree
naat	ylnaat	yöpyä	bunk
naft	naftoilmo	nafta	naphtha
nars	narskuk	narsissi	narcissus
narsk	narskhöö	narskua	grate
Nato	NATO	NATO	NATO
Mek	Meklo	Mekka	Mecca
Nd	moNd	neodyymi	neodymium
murat	muratep	muratti	ivy
neek	vaminneek	kurlata	gargle
neet	autvineette	verkottuminen	networking
nier	niersälmfis	rautu	brown trout
nikotin	nikotinmo	nikotiini	nicotine
nilv	nilv	nilviäinen	mollusk
nip	nipriva	hyppysellinen	pinch
nitrit	nitritmo	nitriitti	nitrite
Njuu	Njuu Jook	New York	New York
Nb	moNb	niobium	niobium
Mn	moMn	mangaani	manganese
nobel	nobeljo	nobelisti	Nobel laureate
methan	methanmo	metaani	methane
methanol	methanolmo	metanoli	methanol
Mg	moMg	magnesium	magnesium
miisl	miislrokret	tuhkarokko	measles
miit	iklumiitte	fileointi	filleting
mink	minkpe	minkki	mink
mint	mintep	minttu	mint
musk	musknut	muskottipähkinä	nutmeg
miuu	miuu	naukua	meow
murs	murspe	mursu	walrus
Mohamed	Mohamedus	muhamettilaisuus	Mohammedanism
moold	autmoold	homeentua	get moldy
mops	mopshaupe	mopsi	pug
morfin	morfinmo	morfiini	morphine
morm	mormus	mormoni	Mormon
Moses	Isva Mosesof kirto	Ensimmäinen Mooseksen kirja	Genesis
Moskov	Moskov	Moskova	Moscow
mul	mulpe	muuli	mule
melaton	melatonmo	melatoniini	melatonin
mirh	mirhmo	mirhami	myrrh
träp	träproup	paula	snare
tofu	tofuem	tofu	tofu
Tokio	Tokio	Tokio	Tokyo
toluen	toluenmo	tolueeni	toluene
Tonav	Tonav	Tonava	Danube
tons	tonsve	nielurisa	tonsil
topas	topaskammo	topaasi	topaz
torak	torakpeg	torakka	cockroach
sinap	sinapfiem	sinappi	mustard
troj	trojjo	troijalainen	Trojan
tit	titsif	tiainen	tit
ts	ts	z	z
tseremis	tseremisjo	tšeremissi	Cheremiss
Tsr	moTsr	zirkonium	zirconium
tsö	tsövilep	kirveli	chervil
tulp	tulpkuk	tulppaani	tulip
tun	tunfis	tonnikala	tuna
tunik	tunikvat	tunika	tunic
tupak	raupatupak	sätkä	hand-rolled cigarette
trik	trikmae	trikiini	trichinella spiralis
Tib	Tiblo	Tiibet	Tibet
tao	taoeovisus	taolaisuus	Taoism
Tapan	Tapanof tan	tapaninpäivä	St. Stephen's Day
tatar	tatarjo	tataari	Tatar
tav	tavsif	tavi	teal
Tb	moTb	terbium	terbium
Tc	moTc	teknetium	technetium
telk	telksif	telkkä	goldeneye
testosteron	testosteronmo	testosteroni	testosterone
Tm	moTm	tulium	thulium
tiak	tiakpu	tiikki	teak
Tl	moTl	tallium	thallium
tigr	tigrpe	tiikeri	tiger
tiin	kätiinmo	tinneri	paint thinner
tiiv	tiiv	mustata	melanise
tim	timhep	timotei	timothy
timj	timjep	timjami	thyme
tint	tintsif	talitiainen	great tit
tist	tistpikahup	ohdake	thistle
tyrist	tyristvo	tyristori	thyristor
Th	moTh	torium	thorium
voi	voi	voi	woe
turm	turmep	kurkuma	turmeric
VH	VH	YK	UN
viiriä	viiriäsif	viiriäinen	quail
viking	vikingjo	viikinki	viking
viktor	viktorva	Viktoriaaninen	Victorian
vink	vinkhöö	vinkua	wheeze
vinl	vinlmo	vinyyli	vinyl
viskos	viskosmo	viskoosi	viscose
Venus	Venuslo	Venus	Venus
vof	vofbekem	vohveli	wafer
Venets	Venetslo	Venetsia	Venice
vulv	vulvev	häpy	vulva
Y	moY	yttrium	yttrium
Yb	moYb	ytterbium	ytterbium
yppyy	yppyy	hypätä	jump
yylp	siyylp	ylpeillä	boast
äse	äse	ässä	ace
kvas	kvas	kvasi	quasi
Foinik	foinikjo	foinikialainen	Phoenician
vod	vodalkvem	vodka	vodka
urr	urrhöö	urista	growl
taaj	taajte	disjunktio	disjunction
tyrn	tyrnep	tyrni	buckthorn
tyyl	sityyl	tyylitellä	stylize
tärp	tärpmo	tärpätti	turpentine
tök	töksif	kalkkuna	turkey
udmurt	udmurtjo	udmurtti	Udmurt
ugr	ugrva	ugrilainen	Ugric
uik	uiksif	uikku	grebe
veto	veto-rataf	veto-oikeus	right of veto
ups	ups	öh	uh
tym	tymev	kateenkorva	thymus
UUV	UUV ultulva veivsi	ULA ultralyhyet aallot	USW ultra short waves
vad	vadber	vadelma	raspberry
vag	vagev	emätin	vagina
vaht	vahtpu	vaahtera	maple
vak	vakhöö	vaakkua	caw
vals	valsrytmheu	valssi	waltz
vau	vau	vau	wow
vend	vendfis	muikku	vendace
uns	unsri	unssi	ounce
Sc	moSc	skandium	scandium
sesam	sesamep	seesami	sesame
sampan	sampanvem	samppanja	champagne
santel	santelpu	santelipuu	sandalwood
sard	sardfis	sardiini	sardine
sarh	sarhep	sara	sedge
sas	saslo	sanavarasto	vocabulary
saslik	saslikem	saslikki	saslik
sats	satshed	satsuma	satsuma
samar	samarjo	samarialainen	Samaritan
Sb	moSb	antimoni	antimony
salv	salvep	salvia	sage
Sea	Sealo	Seelanti	Zealand
Sebaot	Romä Sebaot	Herra Sebaot	Lord of Hosts
seit	seitfis	seiti	saithe
seler	selerep	selleri	celery
selofan	selofanmo	sellofaani	cellophane
seluloid	seluloidmo	selluloidi	celluloid
sepr	seprpe	seepra	zebra
talv	talvep	talvio	periwinkle
saud	saudjo	saudi	Saudi
räkon	räkonhaupe	supikoira	raccoon dog
rubl	rublrokret	vihurirokko	rubella
rulet	ruletple	ruletti	roulette
ruo	tihruo	tiivistys	sealing
rurt	rurt	rusto	cartilage
Rv	Rv	Oy	Ltd
ry	ry (kat, vö)	päällä (valo, laite)	on (light, device)
ryps	rypsep	rypsi	rape
äsh	äshpu	saarni	ash
samp	sampfis	sampi	sturgeon
räk	räkhöö	räkättää	chatter
setr	setrpainpu	setri	cedar
rätl	rätlierpe	kalkkarokäärme	rattlesnake
rööh	rööh	röhkiä	grunt
safr	safrväkam	safiiri	sapphire
sahron	sahronep	sahrami	saffron
sakal	sakalpe	sakaali	jackal
sakarin	sakarinmo	sakariini	saccharin
salm	salmmo	salmiakki	salmiac
salmon	salmonbakt	salmonella	salmonella
ryyj	ryyj	loiventaa	flattening out
insul	insulmo	insuliini	insulin
seroton	serotonmo	serotoniini	serotonin
soov	tesoovvö	adapteri	adapter
sprat	spratfis	kilohaili	sprat
Sr	moSr	strontium	strontium
Stalin	Stalinide	Stalinismi	Stalinism
stao	ahstao	ahdistus	oppression
steroid	steroidmo	steroidi	steroid
strut	strutsif	strutsi	ostrich
sont	sonthöövto	sonaatti	sonata
suiit	sisuiit	makeilla	blarney
somal	somaljo	somali	Somali
sulfid	sulfidmo	sulfidi	sulfide
sultan	sultanjo	sulttaani	sultan
svik	sviksaa	vikistä	squeak
syfil	syfilret	kuppa	syphilis
sypr	syprpu	sypressi	cypress
sääh	tesäähva	sähköistävä	galvanic
sönk	sönksaa	sönköttää	gabble
rub	rubredva	rubiini	ruby
styren	sistyrenmo	polystyreeni	polystyrene
Sinderel	Sindereljo	Tuhkimo	Cinderella
shaman	shamanjo	shamaani	shaman
shekl	sheklrov	sekeli	shekel
shint	shintus	shintolaisuus	Shintoism
shu	shu-s	suhu-s	suhu-s
Siber	Siberlo	Siperia	Siberia
sifon	sifonvat	sifonki	chiffon
siih	issiih	sihauttaa	bath for
siir	fissiir	suomustaa	scale
soon	bajsoon	veljeillä	fraternize
silikon	silikonmo	silikoni	silicone
talk	talkmo	talkki	talc
sirk	jelsirksif	keltasirkku	bunting
sirp	sirphö	siritys	chirp
sko	skodurauvö	skootteri	scooter
skolast	skolastva	skolastinen	scholastic
skorp	skorppe	skorpioni	scorpion
sloven	sloven	sloveeni	Slovene
Sm	moSm	samarium	samarium
soi	soibinep	soija	soy
sikur	sikurep	sikuri	chicory
dib	dib	suku (biologia)	family
Cf	moCf	kalifornium	californium
