Vosa	VosaParts	Finsi	Engsi
fouute	fouu-te	taittaminen; taitto	folding
tefouute	te-fouu-te	taivutus	bending
vofouute	vo-fouu-te	taipuminen	deflection
hiektehouute	hiek-te-ho-uu-te	hiekkapuhallus	sandblasting
louute	lo-uu-te	siirtyminen	transition
dalouute	da-lo-uu-te	tiedonsiirto	data transfer
telouute	te-lo-uu-te	siirto; siirtäminen	conveyance; move; relocation; removal; shift; transfer; transference; transferring; transmission
fitelouute	fi-te-lo-uu-te	transferenssi	transference
moltelouute	mol-te-lo-uu-te	maansiirto	earthmoving
potelouute	po-te-lo-uu-te	voimansiirto	power transmission
rovlötelouute	rov-lö-te-lo-uu-te	pankkisiirto	bank transfer
turouute	tu-ro-uu-te	lenkkeily	jogging
lumkutpuute	lum-kut-puu-te	lumilautailu	snowboarding
ruute	ruu-te	kiinnitys	fixture; mount; fixation; fastening; clamping; attachment; affixing; mooring
tihruute	tih-ruu-te	tiivistäminen	compacting
auttihruute	aut-tih-ruu-te	tiivistyminen	compression; condensation; contraction
auträjruute	aut-räj-ruu-te	sotkeutuminen	entanglement
roruute	ro-ruu-te	kiinnitys	mortgage
metruute	met-ruu-te	hitsaus	welding; weld
knitruute	knit-ruu-te	tikkaus; ompelu	sewing; quilting
suute	suu-te	epäily	suspicion; misgiving
obsuute	ob-suu-te	epäröinti	hesitation; hesitance
autkatuute	aut-ka-tuu-te	ajautuminen	drift
yrpatuute	yr-pa-tuu-te	karkottaminen; karkotus	expulsion; banishment; deportation; expatriation
obtuute	ob-tuu-te	kohtaaminen	meeting; encountering; encounter
edtuute	ed-tuu-te	eteneminen	advance; propagation; progression; headway; progress
sidtuute	sid-tuu-te	ohittaminen	overtaking
lapopetuute	la-po-pe-tuu-te	ratsastaminen	riding; horse riding
ejretuute	ej-re-tuu-te	poikkeaminen	deviation; digression
yllituute	yl-li-tuu-te	ylittäminen	crossing over; overcrossing
vomnituute	vom-ni-tuu-te	vuotaminen	leakage
sähiksituute	säh-ik-si-tuu-te	elektrolyysi	electrolysis
silotuute	si-lo-tuu-te	hajaantuminen	dispersal; divergence
erlotuute	er-lo-tuu-te	muuttaminen	moving
rotuute	ro-tuu-te	matkanteko; matkustaminen; matkustus	travel; traveling; travelling
sirotuute	si-ro-tuu-te	matkustelu	tripping
ponoptuute	po-nop-tuu-te	ryntäys	onrush; rush
siponoptuute	si-po-nop-tuu-te	ryntäily	scramble
pirtuute	pir-tuu-te	jatkaminen	continuation; resumption
autpirtuute	aut-pir-tuu-te	jatkuminen	continuation
urtuute	ur-tuu-te	lähteminen	leaving
oburtuute	ob-ur-tuu-te	väistäminen	evasion
hammoupurtuute	ham-moup-ur-tuu-te	röyhtäily	belching
yrtuute	yr-tuu-te	poistuminen	exit
rautuute	rau-tuu-te	kiertäminen	circumvention
siheutuute	si-heu-tuu-te	hoipertelu	stagger
rutuute	ru-tuu-te	liittyminen	acceding; accession; joining
virutuute	vi-ru-tuu-te	yhteenliittyminen	joining together
tötuute	tö-tuu-te	prosessointi	processing
vuute	vuu-te	uinti; uiminen	bathing; swimming; swim
käbvuute	käb-vuu-te	rintauinti	breaststroke
räjvuute	räj-vuu-te	sekauinti	medley
bäkvuute	bäk-vuu-te	selkäuinti	backstroke
fritylvuute	fri-tyl-vuu-te	vapaauinti	freestyle swimming
krosvuute	kros-vuu-te	risteily	cruise
houvuute	ho-u-vuu-te	purjehdus	sailing; yachting
yllyhöuute	yl-ly-hö-uu-te	mylvintä	roar; bellowing
daavte	daav-te	oppiminen	learning
usidepadaavte	us-ide-pa-daav-te	uskonnonopetus	religious education
novlipadaavte	nov-li-pa-daav-te	uudelleenkoulutus	retraining
davvisoptopadaavte	dav-vi-sop-to-pa-daav-te	oppisopimuskoulutus	apprenticeship training
bespadaavte	bes-pa-daav-te	peruskoulutus	basic training
siapdaavte	si-ap-daav-te	opettelu	learning
farapdaavte	far-ap-daav-te	etäopiskelu	distance learning
dipdaavte	dip-daav-te	syväoppiminen	deep learning
tudaavte	tu-daav-te	opastus	advice; guidance; tutorial
vödaavte	vö-daav-te	koneoppiminen	machine learning
deevte	deev-te	kehittäminen	developing
sideevte	si-deev-te	kehittely	evolution
seneevte	sen-eev-te	aistimus; aistihavainto; aistiminen	sensing; sensation; sense perception
tarobseneevte	tar-ob-sen-eev-te	harha-aistimus	hallucination
tarseneevte	tar-sen-eev-te	hallusinaatio	hallucination
vohöseneevte	vo-hö-sen-eev-te	kuuloaistimus	auditory sensation
veiivte	veiiv-te	aaltoilu	heave; surge
fovamlo veiivte	fo-vam-lo veiiv-te	meren aaltoilu	waves of the sea
teveiivte	te-veiiv-te	aallotus	corrugation
fovamveiivte	fo-vam-veiiv-te	merenkäynti	swell of the sea
deriivte	deriiv-te	johtaminen	derivation; deriving
erderiivte	er-deriiv-te	derivointi	differentiation
hehsiivte	heh-siiv-te	hupsutus	funniness
sinohsiivte	si-noh-siiv-te	hölmöily	tomfoolery
viivte	viiv-te	kutominen; kudonta	weaving
katoviivte	ka-to-viiv-te	kuvakudos	tapestry
knotviivte	knot-viiv-te	virkkaus	crocheting
hehsivte	heh-siv-te	pelleily	fooling; joking; clowning
novte	nov-te	luonti	creation
noovte	noov-te	uusinta; uusiminen	redo; relapse; renewal; renewing; repeat; replay; reprise; rerun
tenoovte	te-noov-te	uudistaminen	renewal; renovation; reform; redevelopment
autnoovte	aut-noov-te	uudistuminen; uusiutuminen	regeneration; relapse
roovte	roov-te	rahoitus	funding; financing
ennaylikroovte	en-na-yl-ik-roov-te	diskonttaus	discounting
sioroovte	si-o-roov-te	joukkorahoitus	crowdfunding
suproovte	sup-roov-te	subventointi	subvention
pitroovte	pit-roov-te	veloitus	charge; charging
pöroovte	pö-roov-te	verotus	taxation
töroovte	tö-roov-te	palkkaus	engaging; hiring; salary
toovte	toov-te	kuivaus	drying
eotoovte	e-o-toov-te	kuihtuminen	withering; wilting
auttoovte	aut-toov-te	kuivuminen	dehydration
neervte	neerv-te	hermoilu	nervousness
yyvte	yyv-te	estäminen	debarment; interference; obstruction; prevention
päkayyvte	pä-ka-yyv-te	naamiointi	camouflage; masking
edyyvte	ed-yyv-te	profylaksi; ehkäisy; ehkäiseminen	prevention; prophylaxis
nöe edyyvte	nö-e ed-yyv-te	syntymän ehkäisy	birth control
ennaedyyvte	en-na-ed-yyv-te	ennaltaehkäisy	prevention
nöe-edyyvte	nö-e-ed-yyv-te	raskauden ehkäisy	contraception
homögyyvte	hom-ög-yyv-te	ilmatorjunta	anti aircraft
voögyyvte	vo-ög-yyv-te	torjuminen; torjunta	defense; parry; prevention; suppression
miyyvte	mi-yyv-te	esto	mental block
siyyvte	si-yyv-te	estely	excuse
homyyvte	hom-yyv-te	tukahduttaminen	suppression
authomyyvte	aut-hom-yyv-te	tukehtuminen	choking; suffocation
ipyyvte	ip-yyv-te	hillintä	control
katyyvte	kat-yyv-te	varjostus	shading; shadowing
autyyvte	aut-yyv-te	estyminen	obstruction; suppression
cuyyvte	cu-yyv-te	häirintä	harassment; interference; jamming
sicuyyvte	si-cu-yyv-te	häiriköinti	harassment
häävte	hääv-te	hävittäminen; hävitys	destruction; disposal; disposing
pulhäävte	pul-hääv-te	metsien hävittäminen	deforestation
lukäävte	lu-kääv-te	uurtaminen	furrowing
höövte	hööv-te	soitto	playing; ring
vitehöövte	vi-te-hööv-te	säestys	accompaniment
nötehöövte	nö-te-hööv-te	alkusoitto; preludi	prelude; overture
belhöövte	bel-hööv-te	kellojensoitto	chime; ringing of bells
välhöövte	väl-hööv-te	välisoitto	interlude
dramhöövte	dram-hööv-te	rummutus	beating of drums; drumming
lyyte	lyy-te	lasku; laskeutuminen	falling; landing; descent; decline
palyyte	pa-lyy-te	pudottaminen	dropping; relegation
molelyyte	mo-le-lyy-te	saostus	precipitation
vomiklyyte	vom-ik-lyy-te	tippuminen	dripping
vällyyte	väl-lyy-te	välilasku	intermediate landing
aurlolyyte	aur-lo-lyy-te	auringonlasku	sundown; sunset
polyyte	po-lyy-te	painaminen	compressing; pressing
kapolyyte	ka-po-lyy-te	painaminen	printing
ögkapolyyte	ög-ka-po-lyy-te	vastapaino	offset
rolyyte	ro-lyy-te	arvonalennus	depreciation
teplyyte	te-plyy-te	nöyryytys	humiliation
tediplyyte	te-dip-lyy-te	upottaminen	embedding; imbedding; submersion
autlyyte	aut-lyy-te	putoaminen	falling
alpölyyte	al-pö-lyy-te	alistaminen; alistus	submission; subordination; subjection; feeding
autalpölyyte	aut-al-pö-lyy-te	alistuminen	submission; subservience
yppyyte	yp-pyy-te	hyppäys	jumpiness
syyte	syy-te	aiheuttaminen	causing; infliction
sialsyyte	si-al-syy-te	argumentointi	argumentation
bessyyte	bes-syy-te	perustelu	argument; reasoning; justification; rationale
tusyyte	tu-syy-te	vetoaminen; vetoomus	plea; appeal
tyyte	tyy-te	juoksu	running; run
hemotyyte	hemo-tyy-te	verenjuoksu	blood flow
ögvotyyte	ög-vo-tyy-te	kestävyysjuoksu	endurance run
limostyyte	lim-os-tyy-te	aitajuoksu	hurdles
yvtyyte	yv-tyy-te	estejuoksu	steeplechase
vyyte	vyy-te	auttaminen	helping
obtevyyte	ob-te-vyy-te	provokaatio; provosointi	provocation
hovyyte	ho-vyy-te	pelastus	salvation; rescue; redemption; deliverance
sorvyyte	sor-vyy-te	lohdutus; lohduttaminen	comforting; solacement; solace; consolation
gövyyte	gö-vyy-te	kannustaminen; kannustus	cheering; encouragement; encouraging; stimulation
fääte	fää-te	myyminen; myynti	turnover; merchandising; vending; sale; sales; selling
ennafääte	en-na-fää-te	ennakkomyynti	advance sale; advance selling; prior sale
reifääte	rei-fää-te	suoramyynti	direct sales
iprifääte	ip-ri-fää-te	vähittäismyynti	retail
lylyrovrifääte	ly-ly-rov-ri-fää-te	dumppaus; polkumyynti	dumping
önfääte	ön-fää-te	loppuunmyynti	clearance sale; realisation
pirfääte	pir-fää-te	lisämyynti	upsell
forfääte	for-fää-te	markkinoiminen; markkinointi	marketing; merchandising
pagatfääte	pagat-fää-te	postimyynti	mail-order
lytufääte	ly-tu-fää-te	alasmyynti	downsell
rovfaaejli tejääte	rov-faa-ej-li te-jää-te	maksamatta jättäminen	failure to pay
eolijääte	e-o-li-jää-te	eloonjääminen	survival
yrjääte	yr-jää-te	poisjäänti	staying away
autjääte	aut-jää-te	jättäytyminen	slowdown
kääte	kää-te	väritys	coloring; colouring; coloration
obkääte	ob-kää-te	värjäys	dyeing; staining
ipkääte	ip-kää-te	sävytys	tint; tinting; toning
sääte	sää-te	huutaminen; huutelu	shouting; yelling
ylongsääte	yl-ong-sää-te	ulvonta	howling
ylahsääte	yl-ah-sää-te	poru	bawling
arsääte	ar-sää-te	ärjyntä; karjunta	roar; bellowing; bellow
isarsääte	is-ar-sää-te	karjahdus; karjaisu	yowl; roar; bellowing
ylhösääte	yl-hö-sää-te	kiljunta	scream; screaming; screeching; shriek
ylvääte	yl-vää-te	sublimaatio	sublimation
pögöte	pö-gö-te	politiikka	policy; politics
rostapögöte	ro-sta-pö-gö-te	talouspolitiikka	economic policy
töfaripögöte	tö-fa-ri-pö-gö-te	työllisyyspolitiikka	employment policy
molpögöte	mol-pö-gö-te	geopolitiikka	geopolitics
nihylpögöte	ni-hy-l-pö-gö-te	ulkopolitiikka	foreign policy
popögöte	po-pö-gö-te	voimapolitiikka	power politics
turpögöte	tur-pö-gö-te	turvallisuuspolitiikka	security policy
sospögöte	sos-pö-gö-te	sosiaalipolitiikka	social policy
rovpögöte	rov-pö-gö-te	finanssipolitiikka	fiscal policy
utrovpögöte	ut-rov-pö-gö-te	tulopolitiikka	incomes policy
pörovpögöte	pö-rov-pö-gö-te	veropolitiikka	fiscal policy; tax policy
pöte	pö-te	hallinto	administration; executive; governance; government
rostapöte	ro-sta-pö-te	taloushallinto	financial management
dihpöte	dih-pö-te	julkishallinto	public administration
rorekpöte	ro-rek-pö-te	konkurssihallinto	receivership
ustolpöte	us-tol-pö-te	kirkon hallinto	church administration
hojosiopöte	ho-jo-si-o-pö-te	henkilöstöhallinto	human resource management; personnel administration
leilopöte	lei-lo-pö-te	aluehallinto	regional administration; regional government
ahpopöte	ah-po-pö-te	terrori	terror
autpöte	aut-pö-te	itsehallinto	self-rule; self-government; autonomy
töte	tö-te	työnteko	working
gööte	göö-te	kannatus	indorsement
sahööte	sa-höö-te	lausuminen; lausunta; ääntäminen; ääntämys	pronunciation
pisahööte	pi-sa-höö-te	paasaus	harangue; rant; ranting
sisahööte	si-sa-höö-te	ääntely	vocalization; voicing
klirsahööte	klir-sa-höö-te	lausunta selvästi	enunciation
tehööte	te-höö-te	mekastus	romp
joahhööte	jo-ah-höö-te	metelöinti	commotion
dihhööte	dih-höö-te	toitotus	toot
markdihhööte	mark-dih-höö-te	fanfaari	fanfare
pihööte	pi-höö-te	pauhina; pauhu	roar; rumble; thunder; bluster
vohööte	vo-höö-te	kuuleminen	hearing
bithööte	bit-höö-te	kirskunta	rasp; grating sound; grinding sound
utduhööte	ut-du-höö-te	kaiunta	reverberation; reverb
kasiööte	ka-si-öö-te	digitalisaatio; digitalisointi; numerointi	digitization; numbering; numeration
sidkasiööte	sid-ka-si-öö-te	sivunumerointi	pagination
ikööte	ik-öö-te	paloitteleminen; paloittelu	piecing; chopping; cutting
vuvölööte	vu-vö-löö-te	telakointi	docking
nööte	nöö-te	alkaminen	beginning; onset
kanööte	ka-nöö-te	koitto; sarastus	dawn; dawning
tenööte	te-nöö-te	aloittaminen	initiation; instigation
epnööte	ep-nöö-te	orastus	dawning; growth; outgrowth
sioögpööte	si-o-ög-pöö-te	kapinointi	rebellion; rebelliousness
tebajvipööte	te-ba-j-vi-pöö-te	avioliittoon vihkiminen	marriage
tetalpööte	te-tal-pöö-te	demokratisointi	democratization
auttalpööte	aut-tal-pöö-te	demokratisoituminen	democratization
sööte	söö-te	muistaminen	recollection; remembering; remembrance
teobsööte	te-ob-söö-te	muistutus	reminder
sitesööte	si-te-söö-te	muisteleminen; muistelu	recollection; remembrance; reminiscence; reminiscing
obtööte	ob-töö-te	työstö	machining
pumobtööte	pum-ob-töö-te	puuntyöstö	woodworking
teirftööte	te-irf-töö-te	orjuutus	enslavement
ritööte	ri-töö-te	urakointi	contracting
intumolpa ritööte	in-tu-mol-pa ri-töö-te	hautausurakointi	funeral contracting
monklirritööte	mon-klir-ri-töö-te	kuutamourakointi	moonlighting
sitööte	si-töö-te	työskentely	work; working
potööte	po-töö-te	raadanta; uurastus	drudgery; hard work
heptööte	hep-töö-te	heinänteko	making hay
si-iptööte	si-ip-töö-te	näpertely; puuhastelu; puuhailu	tinker; tinkering
kadavööte	ka-da-vöö-te	televisiointi	telecast
visavööte	vi-sa-vöö-te	puhelinsoitto	telephone call
tevööte	te-vöö-te	koneistus	machining; mechanization
kadiprivööte	ka-dip-ri-vöö-te	luotaus	probing
hödiprivööte	hö-dip-ri-vöö-te	luotaus	sounding
obtarkvööte	ob-tark-vöö-te	monitorointi	monitoring
imvööte	im-vöö-te	imurointi	vacuuming
durauvööte	du-rau-vöö-te	moottoripyöräily	motorcycling
tuvööte	tu-vöö-te	autoilu	motoring
vintratuvööte	vin-tra-tu-vöö-te	ralliautoilu	rallying
tuvuvööte	tu-vu-vöö-te	laivaus	shipping
ve	ve	jäsen	affiliate; limb; member
aap mu ve	aap mu ve	ottaa jäseneksi	affiliate
pave	pa-ve	käsi	manus; hand
in jaof pave	in ja-of pa-ve	kädessäsi	in your hand
in pave	in pa-ve	kädessä	on hand
isvapave	is-va-pa-ve	ensikäden	firsthand
välpave	väl-pa-ve	välikäsi	middleman; intermediary
popave	po-pa-ve	nyrkki	fist
hääken vy popave	hääk-en vy po-pa-ve	lyöty nyrkillä	punched
lupave	lu-pa-ve	käsivarsi	arm
save	sa-ve	kieli	tongue
käbve	käb-ve	povi; rinta	bosom; breast; chest
käbve vi käbve	käb-ve vi käb-ve	rinta rinnan	side by side
in käbve	in käb-ve	rinnassa	in the chest
sidve	sid-ve	kylki	flank; side
tu sidve	tu sid-ve	kyljelleen	to the side
teve	te-ve	proteesi	prosthesis
bitteve	bit-te-ve	hammasproteesi	denture
olkleive	olk-lei-ve	lapa	shoulder
knive	kni-ve	polvi	knee
sive	si-ve	jäsenistö	membership
bajve	ba-j-ve	perheenjäsen	family member
nekve	nek-ve	kaula	front side of neck; neck; necking
denekve	de-nek-ve	niska	nape; neck; scruff
pikve	pik-ve	nokka	beak; bill; neb; nib; spout
milkve	milk-ve	nänni; tissi; utare; nisä	udder; boob; dug; mamilla; mammary; tit; titty
olkve	olk-ve	olka	shoulder
leiolkve	lei-olk-ve	hartia	shoulder
bäkve	bäk-ve	selkä	back
kuobäkve	kuo-bäk-ve	kyttyräselkä	humpback; hunchback
ierbäkve	ier-bäk-ve	notkoselkä	lordosis
pylve	pyl-ve	perse; pylly; takamus; takapuoli	bum; seat; rump; hindquarters; bottom; behind; backside; ass; arse; buttocks
duikpylve	du-ik-pyl-ve	pakara	buttock
inemve	in-em-ve	nielu	pharynx; throat
moCinemve	mo-C-in-em-ve	hiilinielu	carbon sink
visemve	vi-sem-ve	siitin; penis; fallos	phallus; penis
mävisemve	mä-vi-sem-ve	kikkeli; pippeli	willy; peewee; penis
honve	hon-ve	kunniajäsen	honorary member
innekönve	in-nek-ön-ve	kurkunpää	larynx
sippöjärsiove	sip-pö-jär-si-o-ve	santarmi	gendarme
kuove	kuo-ve	kupu	craw
bäkkuove	bäk-kuo-ve	kyttyrä	hump
visemtomapve	vi-sem-tom-ap-ve	luotti	stigma
rapve	rap-ve	kynsi	talon; clove; fingernail; nail
poperapve	po-per-ap-ve	kavio	hoof
durapve	du-rap-ve	sorkka	claw
iptapve	ip-tap-ve	pikkusormi	little finger; pinkie
hipve	hip-ve	lantio; lonkka; lanne	haunch; hip; loin; lumbar; pelvis
nesve	nes-ve	nokka	nose
resve	res-ve	varajäsen	deputy member
vrisve	vris-ve	ranne	wrist joint; wrist
tonsve	tons-ve	nielurisa; kitarisa	tonsil
bitve	bit-ve	hammas	cog; fang; tooth
bitve-	bit-ve	hammas-	dental
edbitve	ed-bit-ve	etuhammas	incisor
ängbitve	äng-bit-ve	torahammas; kulmahammas; koiran hammas	canine tooth; fang
sibitve	si-bit-ve	hampaisto	dentition; teeth
toksmobitve	toks-mo-bit-ve	myrkkyhammas	poison fang
noplytuobitve	nop-ly-tuo-bit-ve	syöksyhammas	tusk
leuve	leu-ve	leuka	chin; jaw; jowl
alleuve	al-leu-ve	alaleuka	mandible
moupleuve	moup-leu-ve	turpa	chub; muzzle; snout
huve	hu-ve	siipi	wing; pinion; vane
sifhuve	sif-hu-ve	linnun siipi; linnunsiipi	bird's wing
fouve	fou-ve	taive; polveke	bend
tuve	tu-ve	koipi; jalka	leg; tootsie; foot
patuve	pa-tu-ve	raaja	limb
edtuve	ed-tu-ve	etujalka	foreleg; front leg
kadetuve	ka-de-tu-ve	takajalka	hind leg
petuve	pe-tu-ve	käpälä; tassu	paw
röhpetuve	röh-pe-tu-ve	potka	shank
tinleituve	tin-lei-tu-ve	lattajalka; lättäjalka	flat foot; flatfoot
altuve	al-tu-ve	antura	sole
dealtuve	de-al-tu-ve	pohje	calf
yltuve	yl-tu-ve	reisi	thigh
suptuve	sup-tu-ve	tukijalka	outrigger; pillar; support leg
lytuve	ly-tu-ve	kinttu; sääri	leg; shank; shin
fisvuve	fis-vu-ve	evä	fin
bäkfisvuve	bäk-fis-vu-ve	selkäevä	dorsal fin
nöe	nö-e	syntymä; synty; synnyin-; syntymä-	natal; native; genesis; birth; nativity
tenöe	te-nö-e	synnytys; synnytys-	begetting; birthing; childbirth; confinement; obstetric; parturition
novlinöe	nov-li-nö-e	regeneraatio	regeneration
ejtefulnöe	ej-te-ful-nö-e	keskenmeno	miscarriage
af	af	saanti	access; intake
aaf	aaf	saada	acquire; gain; get; obtain; receive
ajsi aaf	aj-si aaf	saamme	we get
häsi aaf	hä-si aaf	he saavat	they get
ej aaf	ej aaf	ei saa	must not
obaaf	ob-aaf	saavuttaa	accomplish; achieve; attain; catch up; gain; reach
öbdaaf	öb-daaf	tiedustella; perätä	be inquiring; enquire; inquire; reconnoiter
tuedaaf	tu-ed-aaf	saada esiin	elicit
neaaf	ne-aaf	periä	inherit
paneaaf	pa-ne-aaf	periyttää	transmit
autneaaf	aut-ne-aaf	periytyä	be inherited; descend
teaaf	te-aaf	anoa; pyytää	request; solicit; plead; petition; beg; ask
teafteaaf	te-af-te-aaf	pyytämällä pyytää	adjure; entreat
piteaaf	pi-te-aaf	kerjätä	scrounge; beg
ahpiteaaf	ah-pi-te-aaf	kinuta	ask insistently; beg
siteaaf	si-te-aaf	anella	beg; solicit
poteaaf	po-te-aaf	ruinata	pester
rovripteaaf	rov-rip-te-aaf	tinkiä	haggle; bargain; dicker
usteaaf	us-te-aaf	rukoilla	supplicate; pray; implore; entreat; beg; beseech
rovteaaf	rov-te-aaf	pummata	scrounge
tuvöteaaf	tu-vö-te-aaf	liftata	hitch; hitchhike
dafiaaf	da-fi-aaf	tulla tajuihinsa	regain consciousness
ahfulaaf	ah-ful-aaf	kyllästyttää	satiate
autahfulaaf	aut-ah-ful-aaf	kyllästyä	get tired
autönaaf	aut-ön-aaf	koitua	redound; accrue; be due to; incur
tuloaaf	tu-lo-aaf	ulottua; ylettää; yltää	extend; reach; come up to; come down to; be down to
auttuloaaf	aut-tu-lo-aaf	ylettyä	reach
tonoaaf	to-no-aaf	aikaansaada; saada aikaan	achieve; bring about
roaaf	ro-aaf	ansaita	merit; be worthy of; deserve; earn; gain; make
lonroaaf	lon-ro-aaf	lainata	borrow
vinvoaaf	vin-vo-aaf	päihittää	vanquish; beat; outdistance; outdo; outmaneuver; outmanoeuvre; outrun
laepaaf	la-ep-aaf	kuorettua	crust
sokliraaf	so-klir-aaf	saada selville	find out about
foraaf	for-aaf	hankkia	get; obtain; attain; acquire; procure
kaforaaf	ka-for-aaf	kärkkyä	watch out for
töpoforaaf	tö-po-for-aaf	värvätä	enlist; recruit
uraaf	ur-aaf	menettää	lose; forfeit
saaf	saaf	kärsiä	endure; suffer
öbsaaf	öb-saaf	potea	suffer from
tesaaf	te-saaf	vaivata	trouble; burden; afflict; bother
ko ja tesaaf	ko ja te-saaf	mikä sinua vaivaa	what's wrong with you; what's the matter with you
auttesaaf	aut-te-saaf	vaivautua	bother; take the trouble; trouble oneself
vosaaf	vo-saaf	sietää	endure; stand; suffer; tolerate
kalvosaaf	kal-vo-saaf	tarjeta	stand the cold; withstand the cold
cusaaf	cu-saaf	piinata	agonize; torment; torture
ysaaf	ys-aaf	indusoida	induce
kataaf	kat-aaf	valottua	be exposed
rataaf	rat-aaf	oikeuttaa	authorize; entitle; justify; warrant
idearataaf	idea-rat-aaf	patentoida	patent
tuaaf	tu-aaf	tavoittaa	attain; catch up; reach
rovaaf	rov-aaf	tienata; tehdä rahaa; ansaita rahaa	earn money; make money; pocket
nöaaf	nö-aaf	saada alkunsa	emanate from
auttöaaf	aut-tö-aaf	työllistyä	find employment
obaf	ob-af	saavutus	attainment; accomplishment; achievement
eöneaf	e-ö-ne-af	perimä	genome; heredity
teaf	te-af	pyyde; pyyntö; anomus	wish; suit; request; petition; ambition; application
ob teaf	ob te-af	pyynnöstä	on request
ahhafateaf	ah-ha-fa-te-af	anteeksipyyntö	apology
oftukateaf	of-tu-ka-te-af	tarjouspyyntö	offer request
dakaateteaf	da-kaa-te-te-af	tutkintapyyntö	investigation request
siteaf	si-te-af	anelu	begging
temuoteaf	te-mu-o-te-af	muutoksenhaku	petitioning
usteaf	us-te-af	rukous	prayer; orison; entreaty
edusteaf	ed-us-te-af	esirukous	intercession; prayer on behalf of somebody
entanusteaf	en-tan-us-te-af	aamurukous	morning prayer
önusteaf	ön-us-te-af	loppurukous	closing prayer
nöusteaf	nö-us-te-af	alkurukous	opening prayer
ahfaf	ah-faf	korruptio	corruption
moriaf	mo-ri-af	saanto	yield
vilaf	vil-af	sato	harvest; crop
vamaf	vam-af	vedensaanti	water supply
ipmämaf	ip-mäm-af	lapsensaanti	childbearing; having a child
vainaf	vain-af	viinisato	vintage
tonoaf	to-no-af	aikaansaannos	achievement
roaf	ro-af	ansio	merit; virtue
paf	paf	pahvi	cardboard; paperboard
veivpaf	veiv-paf	aaltopahvi	corrugated board
raf	raf	likellä; lähellä; lähettyvillä	near; nearby; nigh; near by; imminent; close by; close; impending
raf-	raf	lähi-	near-
oo raf	oo raf	olla lähellä	be near
ut raf	ut raf	läheltä	from near by
tu raf	tu raf	lähelle	close
foraf	for-af	hanke	endeavor; endeavour; enterprise; project; task; undertaking
dahidforaf	da-hid-for-af	salahanke	conspiracy
riskforaf	risk-for-af	riskihanke	risk project
alforaf	al-for-af	alihankinta	subcontract; subcontracting
tolforaf	tol-for-af	rakennushanke	construction project
uraf	ur-af	menetys	bereavement; loss
luraf	lu-raf	varrella	along; alongside; on
ut luraf	ut lu-raf	varrelta	by the side of
söuraf	sö-ur-af	muistinmenetys	memory loss; amnesia
saf	saf	kärsimys	suffering; tribulation
tesaf	te-saf	vaiva	ailment; bother; discomfort; inconvenience; trouble
bäkvetesaf	bäk-ve-te-saf	selkävaiva	back pain
hahfitesaf	hah-fi-te-saf	omantunnontuska; tunnonvaiva	compunction; qualm
hyltesaf	hy-l-te-saf	maanvaiva	earth trouble; public nuisance
homtesaf	hom-te-saf	ilmavaiva	flatulence; flatulency
fisaf	fis-af	kalasaalis	catch
vosaf	vo-saf	sieto	toleration
cusaf	cu-saf	piina	torture; anguish; infliction; torment
rataf	rat-af	oikeus	justness; right; justice; judicature; entitlement
isvanöejo rataf	is-va-nö-e-jo rat-af	esikoisoikeus	birthright
haas tu rataf	haas tu rat-af	haastaa oikeuteen; hastaa oikeuteen	arraign; sue
idearataf	idea-rat-af	patentti	patent
pöhakarataf	pö-ha-ka-rat-af	äänioikeus	voting right; franchise; right to vote; suffrage
autpösarataf	aut-pö-sa-rat-af	itsemääräämisoikeus	self determination
ööfterataf	ööf-te-rat-af	omistusoikeus	ownership; possessory; proprietary right; proprietorship
isvirataf	is-vi-rat-af	yksinoikeus	exclusive right; monopoly
riikrataf	riik-rat-af	lukuoikeus	read permission
alrataf	al-rat-af	alioikeus	inferior court; lower court
teorataf	te-o-rat-af	käyttöoikeus	right of use; usufruct
toojorataf	too-jo-rat-af	tekijänoikeus	copyright
edrorataf	ed-ro-rat-af	etuoikeus	prerogative; privilege; preemption; perquisite
varmrorataf	varm-ro-rat-af	panttioikeus	lien
veto-rataf	veto-rat-af	veto-oikeus	right of veto; veto
tusyorataf	tu-sy-o-rat-af	hovioikeus	Court of Appeal
poaprataf	po-ap-rat-af	rasiteoikeus	easement; servitude
errataf	er-rat-af	erioikeus	prerogative; privilege
isfärataf	is-fä-rat-af	monopoli	monopoly
välmärataf	väl-mä-rat-af	välimiesoikeus	court of arbitration
pörataf	pö-rat-af	valtaoikeus	prerogative
ofpörataf	of-pö-rat-af	hallintaoikeus	tenue
otemuaf	o-te-mu-af	toimeksisaanti	mandate
nituaf	ni-tu-af	ulospääsy	exit; way out
moCf	mo-Cf	kalifornium	californium
def	def	määrite	adjunct; qualifier
obdef	ob-def	määre	attribute; qualifier
sidef	si-def	spesifikaatio	specification
deef	deef	määrittää	configure; specify; determine; define
sideef	si-deef	määritellä	demarcate; delimit; define
seef	seef	suojata; suojella	preserve; protect; safeguard; shelter; shield
utseef	ut-seef	varjella	protect
autseef	aut-seef	suojautua	hedge; protect oneself; shield oneself
aututseef	aut-ut-seef	varjeltua	avoid; be safe from
sef	sef	suoja	protection; safeguard; shelter
in sef	in sef	suojassa	sheltered
dasef	da-sef	tietosuoja; tietoturva	data protection; data security
kasef	ka-sef	lippa	spinner; visor
