English	Finnish	Vosa
Local cultural event	Paikallinen kulttuuritapahtuma	Lova liehäp
Local currency	Paikallinen valuutta	Lova obrov
Local daycare	Paikallinen päiväkoti	Lova tanbal
Local expert	Paikallinen asiantuntija	Lova sovodajo
Local food experience	Paikallinen ruokaelämys	Lova emfieka
Local language skills	Paikallinen kielitaito	Lova voslivote
Local lean	to	Paikallinen laavu
Local public transport	Paikallinen julkinen liikenne	Lova dihva tusta
logic	logiikka	tuvisda
logistics	logistiikka	gagda
Long distance	Pitkä välimatka	Luva välturi
Long distance relationship	challenge	Etäsuhteeseen liittyvä haaste
Long hiking trail	Pitkä vaellusreitti	Luva tutuo lalitul
Long novel series	Pitkä romaanisarja	Luva kakirto seri
Long study leave	Pitkä opintovapaa	Luva apdavfriurtöno
Long waiting time	Pitkä odotusaika	Luva obnolimno
Long weekend trip	Pitkä viikonloppureissu	Luva gunön rotuo
Long work experience	Pitkä työkokemus	Luva tödavofi
Long-term friendship	Pitkäaikainen ystävyyssuhde	Lunova havijovao vicu
Long-term project	Pitkäjänteinen projekti	Luroupevva pitöob
loosely	irrallisesti	urlili
loosely	löyhästi	snetli
Lost luggage	Kadonnut matkatavara	Kayyren rotuofto
Lost relationship	Menetetty ihmissuhde	Uraafen mämvicu
low frequency technology	pientaajuustekniikka	iptihritekda
Luxurious spa vacation	Ylellinen kylpyläloma	Ylofva batlö urtöno
luxuriously	ylellisesti	ylofli
macroeconomics	makrotaloustiede	ylpirostadä
macromolecular chemistry	makromolekyylikemia	ylpisimoikkemda
Major house renovation	Suuri taloremontti	Piva tol siker
management theory	johto-oppi	diirdav
Mandatory travel insurance	Pakollinen matkavakuutus	Pitva rotuo rotur
manly	miehekkäästi	mälili
manufacturing technology	valmistustekniikka	tootekda
many times	moninkertaisesti	sinoli
marine biology	meribiologia	fovamlobiodä
marine science	meritiede	fovamlodä
marine technology	meritekniikka	fovamlotekda
maritime archaeology	meriarkeologia	fovamlounobdä
mathematics	matematiikka	risoda
measurement technology	mittaustekniikka	pipriatekda
mechanics	mekaniikka	mekanda
mechatronics	mekatroniikka	mekansähda
Media and art	Media ja taide	Dafafvo a kav
Medical advancement	Lääketieteellinen edistysaskel	Terdäva vyrotetuoväl
medical ethics	lääkärinetiikka	diterjo rattarda
medicinal chemistry	lääkekemia	termokemda
medicine	lääketiede	terdä
Mental relaxation	Henkinen rentoutuminen	Hosova autpomaakte
Mental well	being	Henkinen hyvinvointi
mentally	sielullisesti	hojli
metallurgy	metallioppi	metdav
metaphysics	metafysiikka	obessyeovisda
meteorology	ilmatiede	homdä
meteorology	meteorologia	nistadä
methodology	menetelmäoppi	culitedav
methodology	menetelmätiede	culitedä
methodology	metodioppi	liodav
methodology	metodologia	lioda
metrology	metrologia	pipridä
metrology	mittausoppi	pipriapdav
microbiology	mikrobiologia	fosikbiodä
microchemistry	mikrokemia	fosikkemda
microeconomics	mikrotaloustiede	fosikrostadä
microelectronics	mikroelektroniikka	fosikipsähda
microtechnology	mikrotekniikka	fosiktekda
military technology	sotatekniikka	siptekda
mineralogy	kivennäistiede	kammodä
mineralogy	mineralogia	kammoda
mining technology	vuoritekniikka	pimöyltekda
minutely	hiuksenhienosti	heörtinli
moderately	maltillisesti	mivoyvli
Modern apartment building	Moderni kerrostaloasunto	Novnova leiyltol elo
Modern electric car	Moderni sähköauto	Novnova sähtuvö
Modern fashion	Moderni vaatemuoti	Novnova vattyl
Modern furniture	Moderni kalustus	Novnova tolooste
Modern metropolis	Moderni metropoli	Novnova pitaunlo
modestly	häveliäästi	nohfili
molecular biology	molekyylibiologia	simoikbiodä
monotonously	monotonisesti	isfimiahli
morphology	morfologia	kaudav
morphology	muoto-oppi	kaudav
Moving-to-new-home	Muutto uuteen kotiin	Erlotuo intu novva bal
municipal engineering	kunnallistekniikka	diltekda
music reading skills	nuotinlukutaito	rohökariiklivote
musical skill	soittotaito	höövlivote
musicology	musiikkitiede	rohödä
mycology	mykologia	fungda
mycology	sienitiede	fungdä
nastily	nasevasti	obtuli
National nature park	Kansallinen luonnonpuisto	Hyjva biolopul
Natural aging	Luonnollinen ikääntyminen	Biova jänriite
natural cosmetics	luonnonkosmetiikka	biokahakeda
natural science	luonnonoppi	biolodav
natural science	luonnontiede	biolodä
naughtyly	tuhmasti	ahculi
Nearby elementary school	Läheinen peruskoulu	Rafliva besdavlo
Negative routine work	Puuduttava rutiinityö	Ejvofiopaava liretö
Neighborhood	related community	Naapurustoon liittyvä yhteisöllisyys
neurolinguistics	neurolingvistiikka	daevvosdä
neurology	hermotautioppi	nervretdav
neurology	neurologia	nervterda
New apartment in an apartment building	Uusi kerrostaloasunto	Novva leiyltol elo
New employee	Uusi työntekijä	Novva tööjo
New friend	Uusi ystävä	Novva havijo
New hobby equipment	Uusi harrastusväline	Novva mitevo
New neighborhood	Uusi naapurusto	Novva siviraflo
New professional challenge	Uusi ammatillinen haaste	Novva votöva has
New reading device	Uusi lukulaite	Novva riikvo
New science news	Uusi tiedeuutinen	Novva dänovsa
New shopping center	Uusi kauppakeskus	Novva fäfmidlo
New smartphone	Uusi älypuhelin	Novva vissavö
New study buddy	Uusi opiskelukaveri	Novva apdav vijo
Next holiday season	Seuraava lomakausi	Deva urtöno limno
Nice café	Mukava kahvila	Hamiva kofvemlo
Nice coworker	Mukava työkaveri	Hamiva tövijo
Nice leisure time	Mukava vapaa-ajanvietto	Hamiva frino note
nicely	kiltisti	cuhali
nicely	mukavasti	hamili
nicely	sievästi	kaipli
nobly	suurenmoisesti	pilili
Noisy city	Meluisa kaupunki	Ahhöva taunlo
not unreasonably	ymmärrettävästi	dakavoli
noticeably	tuntuvasti	livofiili
notoriously	tunnetusti	kavodaali
nuclear chemistry	ydinkemia	ydinkemda
nuclear physics	ydinfysiikka	ydinfysda
nuclear technology	ydintekniikka	ydintekda
numismatics	numismatiikka	rovda
nursing science	hoitotiede	hakedä
nutrition	ravinto-oppi	roemdav
nutrition science	ravitsemustiede	roeemdä
Nutritious smoothie	Ravintorikas smoothie	Roemmova smuuthem
obstetrics	synnytysoppi	tenöedav
occupational medicine	työlääketiede	töterdä
offshore technology	offshoretekniikka	lafovamlotekda
often	monasti	sina
Old cultural city	Vanha kulttuurikaupunki	Vonva lie taunlo
Old detached house	Vanha omakotitalo	Vonva öfbaltol
Old school friend	Vanha koulukaveri	Vonva davlovijovao
oncology	kasvainoppi	pirevdav
oncology	onkologia	pirevda
Online study-related	freedom	Verkko
Open communication	Avoin kommunikaatio	Oupva vidao
operationally	operatiivisesti	forteeli
optics	optiikka	linsda
optoelectronics	optoelektroniikka	linsipsähda
oratory	puhetaito	sasalivote
Ordinary Wednesday	Tavallinen keskiviikko	Resiva ditan
ore geology	malmigeologia	metkammoldä
Organic local food	Ekologinen lähiruoka	Ekodäva rafem
Organization and planning of matters in mind.	Rauhoittava meditaatio	Tepiisva sosoote
organizational skills	järjestelytaito	sijäärlivote
orientalism	orientalistiikka	tevhylvosliedaka
originally	omintakeisesti	ofbesli
ornithology	lintutiede	sifdä
otology	korvatautioppi	höevretdav
out of tune	epäpuhtaasti	ejklinli
out of turn	sopimattomasti	soopejli
Own home	Oma omistusasunto	Öfva ööfte elo
Paid day off	Palkallinen vapaapäivä	Törovva fritan
painting technique	maalaustekniikka	kämootekda
paleontology	paleontologia	unbioda
passionately	kiihkeästi	bönmili
passionately	kiihkottomasti	bönmiejli
Passive leisure time	Passiivinen vapaa aika	Ejsiteva frino
pathology	patologia	retdavda
pathology	tautioppi	retdav
Peaceful fishing trip	Rauhallinen kalastusreissu	Öhva fiiste rotuo
Peaceful natural destination	Rauhallinen luonnonkohde	Öhva biolo obö
pedagogy	pedagogia	haeöpiirda
pedagogy	pedagogiikka	haeöpiirda
pediatrics	lastentautioppi	ipmämretdav
penetratingly	läpitunkevasti	inlipotuuli
performance skills	esiintymistaito	autedtukalivote
perinatology	perinatologia	nöeipnoda
permanently	väkinäisesti	popitli
Personal freedom	Henkilökohtainen vapaus	Hojoiplova frivao
Personal goal	Henkilökohtainen tavoite	Hojoiplova obtrao
Personal outlook on life	Henkilökohtainen elämänkatsomus	Hojoiplova eokamicu
Personal record	Henkilökohtainen ennätys	Hojoiplova tunovoote
Personal style	Henkilökohtainen pukeutumistyyli	Hojoiplova autvaattyl
petrochemical	petrokemia	oilkemda
petrology	kivitiede	kamdä
petrology	petrologia	bönoilmoda
pharmaceutical science	lääkkeenvalmistusoppi	termotoodav
pharmacology	farmakologia	termodä
pharmacology	lääkeaineoppi	termodav
philology	filologia	vosliedä
phonetics	fonetiikka	sahöda
phonetics	äänneoppi	sahödav
phonics	äänioppi	hödav
phonology	fonologia	sahödä
photographic technique	valokuvaustekniikka	katkatoaptekda
photography skills	kuvaamistaito	katoolivote
Physical challenge	Fyysinen haaste	Fysva has
Physical health	Fyysinen terveys	Fysva tervao
Physical performance	Fyysinen suorite	Fysva tuönte
physiology	fysiologia	bodevda
physique	fysiikka	fysda
plane geometry	tasogeometria	talpiprida
plant anatomy	kasvianatomia	epvevda
plant biology	kasvibiologia	epbiodä
plant ecology	kasviekologia	epekodä
plant geography	kasvimaantiede	epköldä
plant pathology	kasvipatologia	epretdavda
plant pathology	kasvitautioppi	epretdav
plant physiology	kasvifysiologia	epbodevda
plasma physics	plasmafysiikka	plasmofysda
playing technique	soittotekniikka	höövtekda
pneumatics	pneumatiikka	ögpohomda
poetic meter	runomittaoppi	kausapipridav
poetics	poetiikka	sikausadav
poetics	runousoppi	sikausadav
Political conviction	Poliittinen vakaumus	Pögöteva pous
political science	valtio-oppi	pöhyldav
political science	valtiotiede	pöhyldä
Poor work atmosphere	Huono työilmapiiri	Ahvova tömiraulo
Popular audiobook	Suosittu äänikirja	Hapircuuen hökirto
Popular author	Suosittu kirjailija	Hapircuuen rokiirjo
Popular console game	Suosittu konsolipeli	Hapircuuen ylkavöple
Popular domestic tourism	Suosittu kotimaanmatkailu	Hapircuuen balhyl sirotuo
Popular lunch spot	Suosittu lounaspaikka	Hapircuuen midtanemlo
Popular meeting place	Suosittu kohtaamispaikka	Hapircuuen obtuulo
Popular nature destination	Suosittu luontokohde	Hapircuuen biolo
Popular radio program	Suosittu radio ohjelma	Hapircuuen hödavö prog
Popular ski resort	Suosittu hiihtokeskus	Hapircuuen lumtuvoomidlo
Popular social media	Suosittu sosiaalinen media	Hapircuuen sosva  dafafvo
Popular social-media	Suosittu sosiaalinen media	Hapircuuen sosdafafvo
Popular tourist trap	Suosittu turistirysä	Hapircuuen rotuojo puofisapvo
Popular viewpoint	Suosittu näköalapaikka	Hapircuuen vokaleilo lo
Position-taking Journalism	Kantaaottava Journalismi	Miscuaapva daoteide
Positive body image	Positiivinen kehonkuva	Ylnulva bodevkato
powerfully	voimallisesti	polili
powerlessly	vallattomasti	pöejculi
Practical vocational school	Käytännöllinen ammattikoulu	Liotevova votödavlo
pragmatics	pragmatiikka	liotevoida
precision mechanics	hienomekaniikka	väkamekanda
predictably	arvattavasti	geesli
predominantly	vallitsevasti	pönaali
prejudiced	ennakkoluuloisesti	ennamejusli
presentation skills	esitystaito	edtukalivote
presumably	oletettavasti	mejuusli
Preventive healthcare	Ennaltaehkäisevä terveydenhuolto	Ennaedyyvva terstake
Previous meeting	Edellinen tapaaminen	Edva ögkaate
printing technology	kirjapainotekniikka	kirtolötekda
printing technology	painotekniikka	polykirtekda
Private courtyard	Yksityinen piha	Isofva tolleilo
problematic	problematiikka	ongda
production technology	tuotantotekniikka	tootekda
Professional continuing education	Ammatillinen täydennyskoulutus	Votöva fulpiirpadav
professional ethics	ammattietiikka	votörattarda
Professional networking	Ammatillinen verkostoituminen	Votöva  autvineette
professionally	ammatillisesti	votöli
properly	kunnollisesti	hastali
psychobiology	psykobiologia	miterbiodä
psycholinguistics	psykolingvistiikka	mistahäpvoscudaka
psychology	psykologia	miterdä
psychology	sielutiede	hojdä
psychopathology	psykopatologia	miretdavda
Public art work	Julkinen taideteos	Dihva kavtöto
public health science	kansanterveystiede	hyjterdä
Public institution	Julkinen oppilaitos	Dihva davlö
Public space	Julkinen tila	Dihva vosta
purposefully	määrätietoisesti	ridali
pyrotechnics	pyrotekniikka	rosbönsuuttekda
Quality magazine	Laadukas aikakauslehti	Havaova limnodapapr
Quality olive oil	Laadukas oliiviöljy	Havaova oilpu oilmo
Quality personal time	Laadukas oma aika	Havaova öfva no
quantum chemistry	kvanttikemia	kvantkemda
quantum mechanics	kvanttimekaniikka	kvantmekanda
quantum physics	kvanttifysiikka	kvantfysda
questioningly	kysyvästi	kooli
Quick and smooth packing	Nopeasti sujuva pakkaaminen	Nopli havotuuva pääkte
Quick meeting	Nopea tapaaminen	Nopva ögkaate
quickly	metkasti	vildli
quickly	rutkasti	siri
quickly	sähäkästi	sadvälejli
Quickly prepared fast food	Nopeasti valmistuva ruoka	Nopli auttefuulva em
Quiet evening	Rauhallinen ilta	Öhva ennat
Quiet neighborhood	Rauhallinen naapurusto	Öhva siviraflo
quietly	hiljaisesti	öhli
quite a few	melkoisesti	rafpirili
racial doctrine	rotuoppi	evaodav
radiation biology	säteilybiologia	katiikbiodä
radiation physics	säteilyfysiikka	katiikfysda
radio astronomy	radiotähtitiede	hödavöklirlodä
radio technology	radiotekniikka	hödavötekda
radiochemistry	radiokemia	hödavökemda
radiology	radiologia	eks-katikda
radiology	röntgenologia	eks-katikda
Rainy afternoon	Sateinen iltapäivä	Vamlyva öntan
Rare natural phenomenon	Harvinainen luonnonilmiö	Hitnava biokauthäp
Rational thinking	Rationalistinen ajattelu	Visvoideva soote
rationalism	järkeisoppi	visusdav
rationally	järkiperäisesti	visbesli
Reasonable saving	Järkevä säästäminen	Visva ropaoote
reasonably	järkevästi	visli
recording technology	äänitystekniikka	höslootekda
Recruitment-related	process	Rekrytointiin liittyvä prosessi
Refreshing summer drink	Raikas kesäjuoma	Fresva laknovem
refrigeration technology	kylmätekniikka	kaltekda
Regular exercise	Säännöllinen kuntoilu	Regva vostau
Regular practice	Säännöllinen harjoittelu	Regva sivopiirte
Regular skin care	Säännöllinen ihonhoito	Regva laev hake
Regular wake-up routine	Säännöllinen heräämisrutiini	Regva önnuukte liretö
related science	lähitiede	rafdä
Relaxed day off	Rento vapaapäivä	Pomakva fritan
Relaxing beach holiday	Rentouttava rantaloma	Pomaakva vamdim urtöno
Relaxing gardening	Rentouttava puutarhanhoito	Pomaakva tolsieplohake
Relaxing massage	Rentouttava hieronta	Pomaakva raabte
Relaxing swimming trip	Rentouttava uintireissu	Pomaakva vuute rotuo
Reliable everyday recipe	Luotettava arkiresepti	Uscuva tetan emlida
Reliable friend	Luotettava ystävä	Uscuva havijo
religious studies	uskontotiede	usidedä
Renewable energy technology	Uusiutuva energiateknologia	Autnoovva pori tekdä
Repeated routine	Toistuva rutiini	Autduteeva liretö
reportedly	tiettävästi	daavoli
Reputed university	Arvostettu yliopisto	Rocuuen yldavlö
Revolutionary invention	Mullistava keksintö	Yllyrääjva ideavooto
rhetoric	retoriikka	sasavoda
rheumatology	reumatologia	reumruevretda
rhythm theory	rytmioppi	rytmdav
Rich flavor	Täyteläinen maku	Fulliva emfi
road construction technology	tienrakennustekniikka	tultooltekda
robotics	robotiikka	vöjoda
robotics	robottitekniikka	vöjotekda
Romance studies	romanistiikka	romanvosdaka
room acoustics	huoneakustiikka	tolikhöda
row technique	rivitekniikka	leijärtekda
royally	kuninkaallisesti	roylli
Rural tranquility	Maaseutumainen rauhallisuus	Nuatliva uohvao
Russian studies	russistiikka	rusvosliedaka
ruthlessly	säälimättömästi	hagöahejli
sadly	murheellisesti	sorli
Safe living environment	Turvallinen asuinympäristö	Turva eloraulo
Safe school trip	Turvallinen koulumatka	Turva davlo välturi
Safe travel country	Turvallinen matkustusmaa	Turva rotuute hyl
satisfactorily	tyydyttävästi	nidfuuli
Savory pastry	Suolainen leivonnainen	Kusmova bekto
Savory snack	Suolainen naposteltava	Kusmova si-ipbiittava
school grammar	koulukielioppi	davlovosdav
school medicine	koululääketiede	davloterdä
school psychology	koulupsykologia	davlomiterdä
Scientific breakthrough	Tieteellinen läpimurto	Däva inliturek
Scientific research result	Tieteellinen tutkimustulos	Däva dakautro
seamanship	merenkulkutaito	fovamtuolivote
secretly	salamyhkäisesti	dahidcuoli
security technology	turvatekniikka	turtekda
seismology	maanjäristysoppi	molpitärdav
seismology	seismologia	molpitärda
Selfless morality	Epäitsekäs moraalisuus	Ejauthava cuhahvao
selflessly	pyyteettömästi	ejauthali
selflessly	uhrautuvasti	offali
Self-training	Omatoiminen treenaaminen	Autoteva vohapiirte
semantics	merkitysoppi	obmarkdav
semantics	semantiikka	obmarkda
semiconductor technology	puolijohdetekniikka	duiksähdirmotekda
semiotics	semiotiikka	tusamarkda
separation of powers doctrine	vallanjako-oppi	pöiikdav
serology	serologia	hemovomda
servo technology	servotekniikka	auttejuspatekda
Severe food allergy	Vaikea ruoka-allergia	Ongva em ylfiret
Shared future plan	Yhteinen tulevaisuudensuunnitelma	Viofva neno kasoto
Shared housework	Jaettu kotityö	Tusipaaen baltö
Shared living area	Yhteinen oleskelutila	Viofva siootil
sharp	jyrkästi	jyrli
shipbuilding technology	laivanrakennustekniikka	vuvötooltekda
shooting lessons	ampumaoppi	suutdav
Short commute	Lyhyt työmatka	Ulva törotuori
short story	novellistiikka	ipkakirda
Short story collection	Lyhyt novellikokoelma	Ulva ipkakirto siviap
shortly	töykeästi	ahcuoli
Side-job entrepreneurship	Sivutoiminen yrittäjyys	Sidoteeva trajovao
signology	merkkioppi	markdav
singing ability	laulutaito	hösalivote
single-mindedly	yksioikoisesti	isgnoli
skill	erätaito	vildmollivote
skill	taito	livote
Slavic studies	slavistiikka	slavvoslieda
Sleepy Sunday	Unelias sunnuntai	Nukliva jätan
slippery	lipevästi	gliusali
slippery	liukkaasti	gliuli
slowly	verkkaisasti	friponli
sly	köpelösti	kasli
Small family dispute	Pieni perheriita	Ipva cejpos
Small fishing village	Pieni kalastajakylä	Ipva fiisjo cel
Small handicraft work	Pieni nikkarointityö	Ipva osteetö
Small housework	Pieni kotityö	Ipva baltö
small-cycle technology	pienjaksotekniikka	ipveivnotekda
Smart home device	Älykodin laite	Visbal vö
Smooth border crossing	Sujuva rajanylitys	Havotuuva limyllituo
Smooth morning routine	Sujuva aamurutiini	Havotuuva entan liretö
smoothly	liukuvasti	gliuuli
social anthropology	sosiaaliantropologia	sosmämda
social ecology	sosiaaliekologia	sosekodä
Social interaction	Sosiaalinen kanssakäyminen	Sosva vioteete
Social justice	Yhteiskunnallinen oikeudenmukaisuus	Visoslova rataflivao
social medicine	sosiaalilääketiede	sosterdä
Social network	Sosiaalinen verkosto	Sosva sinet
social psychology	sosiaalipsykologia	sosmiterdä
social science	yhteiskuntatiede	visoslodä
social studies	yhteiskuntaoppi	visoslodav
sociobiology	sosiobiologia	sosbiodä
sociolinguistics	sosiolingvistiikka	sosvosdä
sociology	sosiologia	sosdä
sociology of language	kielisosiologia	vossosdä
soil biology	maaperäbiologia	almolbiodä
soil geology	maaperägeologia	almoldä
solid geometry	avaruusgeometria	kitilpiprida
solidly	vankasti	ponitli
sorely	kipeästi	iprinoli
sound engineering	äänitekniikka	hötekda
sound recording technology	äänentallennustekniikka	pönoturpatekda
sound technology	äänentoistotekniikka	pödutetakda
sovereignist	suvereenisti	hängejpöli
space medicine	avaruuslääketiede	kitilterdä
space technology	avaruustekniikka	kitiltekda
Special ingredient	Erityinen raaka-aine	Eröva ravmo
speech technology	puhetekniikka	sasatekda
speech therapy	puheoppi	sasadav
Spicy Asian cuisine	Mausteinen aasialainen keittiö	Fiemva asiava kulo
Spiritual recovery	Henkinen palautuminen	Hosova autretupa
spiritual science	henkitiede	hodä
Spiritual spirituality	Henkinen henkisyys	Hosova hosovao
Spiritual winning	Henkinen voittaminen	Hosova viinte
sports medicine	urheilulääketiede	routerdä
State student aid	Valtion opintotuki	Pöhylof apdav suprov
statesmanship	valtiomiestaito	pöhylmälivote
statics	statiikka	talhevrida
statistical mathematics	tilastomatematiikka	nodarisoda
statistics	statistiikka	nodaridä
statistics	tilastotiede	nodaridä
steadily	vakaasti	taloli
Steinerpedagogy	steinerpedagogiikka	steiner-haeöpiirda
stiffly	kankeasti	poruli
strangely	älyttömästi	vovisejli
Strategic computer game	Strateginen tietokonepeli	Oteliova davöple
stream of consciousness technique	tajunnanvirtatekniikka	dafituotekda
strength theory	lujuusoppi	ögpovaodav
Stressful everyday life	Stressaava arkipäivä	Nervögpova tetan
Strict child-rearing	Tiukka lastenkasvatus	Urtensva mämsi haeöpiirte
Strict diet	Tiukka dieetti	Urtensva emvaoto
Strict special diet	Tiukka erityisruokavalio	Urtensva eröva emvaoto
structural linguistics	strukturaalikielitiede	litolvosdä
stubbornly	itsepintaisesti	autögpoli
stubbornly	jääräpäisesti	ögpäli
Student life-related	community	Opiskelijaelämään liittyvä yhteisöllisyys
stylistics	stilistiikka	tyldav
stylistics	tyylioppi	tyldav
subtly	ovelasti	visahli
Successfult Hairdresser visit	Onnistunut kampaajakäynti	Saaken heörjo uttuo
Sunny weekend	Aurinkoinen viikonloppu	Aurlova gunön
supposedly	otaksuttavasti	dausli
sure as a rock	vuorenvarmasti	varmvarmli
Surprising weather change	Yllättävä säänmuutos	Kasadva nista temuo
surveying	maanmittausoppi	molpipriapdav
Sweet chocolate bar	Makea suklaalevy	Suitva suklem leito
Sweet dessert	Makea jälkiruoka	Suitva de-em
swimming skills	uimataito	vuulivote
syntax	lauseoppi	lusadav
systematics	systematiikka	lijärda
systems biology	systeemibiologia	lijärbiodä
tamely	nöyrästi	plyli
taxonomy	taksonomia	paersioda
teaching doctrine	opetusoppi	padavdav
technically	muodollisesti	kauoli
technique	tekniikka	tekda
Technological innovation	Teknologinen innovaatio	Tekdäva ideanov
technology	teknologia	tekdä
Technology, science  and the future	Teknologia tiede ja tulevaisuus	Tekdä dä a neno
Teenage challenge	Teini	ikään liittyvä haaste
telecommunications	teletekniikka	fartusatekda
telematics	telematiikka	fartusapiprida
telemedicine	telelääketiede	fartusaterdä
tellingly	sanottavasti	saali
tensely	kireästi	tensli
terribly	kamalasti	hirli
text linguistics	tekstilingvistiikka	kirvosdä
thematics	tematiikka	obsoda
theology	teologia	usdä
thermochemistry	lämpökemia	lakkemda
thermochemistry	termokemia	lakkemda
thermodynamics	lämpöoppi	lakdav
thermodynamics	termodynamiikka	lakporimuoda
thin film technology	ohutkalvotekniikka	tinlaototekda
thoughtfully	huomaavaisesti	cuvokaali
threefold	kolminkertaisesti	trenoli
Tight deadline	Tiukka määräaika	Urtensva rino
tissue theory	kudosoppi	vivevdav
to admiration	ihailtavasti	fainkavoli
to good purpose	hyödyllisesti	göroli
Tough exam week	Tiukka tenttiviikko	Urtensva davotra gun
toxicology	toksikologia	toksmodä
Traditional Christmas dish	Perinteinen jouluruoka	Enliova julnoem
Traditional detached house	Perinteinen omakotitalo	Enliova öfbaltol
Traditional family Christmas	Perinteinen perhejoulu	Enliova bajjulno
Traditional harvest festival	Perinteinen sadonkorjuujuhla	Enliova vilafap rono
Traditional holiday	Perinteinen juhlapäivä	Enliova ronotan
Traditional home cooking	Perinteinen kotiruoka	Enliova balem
Traditional market hall	Perinteinen kauppahalli	Enliova fäfleitol
Traditional office work	Perinteinen toimistotyö	Enliova otelo tö
Traditional piano	Perinteinen piano	Enliova pianhöv
Traditional religion	Perinteinen uskonto	Enliova uside
traditional science	perinnetiede	enliodä
Traditional ski trip	Perinteinen hiihtoretki	Enliova lumtuvoote  nirotuo
Traditional tent trip	Perinteinen telttaretki	Enliova vattol nirotuo
Traditional travel agency	Perinteinen matkatoimisto	Enliova rotuo-otelo
traffic engineering	liikennetekniikka	tustatekda
translation studies	käännöstiede	vosmuodä
Travel and places	Matkustaminen paikat	Rotuute losi
Travel-related nostalgia	Matkustamiseen liittyvä nostalgia	Intu rotuute rutuuva farofra
tremendously	huimasti	ylhirli
Trendy street food stall	Trendikäs katuruokakoju	Häpdirva tauntulem lida
trigonometry	trigonometria	trerisoda
Trinity doctrine	kolminaisuusoppi	vitrevaodav
Turquoise sea water	Turkoosi merivesi	Grinbluva fovam
Typical weekday	Tyypillinen arkipäivä	Typva tetan
typography	kirjapainotaito	kirtolölivote
typology	typologia	typdav
typology	tyyppioppi	typdav
Ugricism	ugristiikka	ugrvoshyjdaka
unauthorized	luvattomasti	ejpöaafli
uncomplicatedly	mutkattomasti	ierloejli
unfavorably	epäedullisesti	ejedroli
Unforgettable holiday trip	Unohtumaton lomamatka	Öösenejva urtöno rotuo
Unhealthy treat day	Epäterveellinen herkkupäivä	Ejterliva haemtan
universal science	universaalitiede	kiköldä
Unlikely lottery win	Epätodennäköinen arpavoitto	Ejrilvokava gestovin
unlimited	rajattomasti	limejli
unnecessarily	aiheettomasti	obsoejli
unsatisfactory	epätyydyttävästi	ejnidfulli
Unstable weather	Epävakaa sää	Ejtalova nista
Upward career development	Nousujohteinen urakehitys	Yyldirva eolukäv dev
Urban lifestyle	Urbaani elämäntapa	Taunliva eolio
urban planning	asemakaavaoppi	culokasotodav
urgently	kiireesti	iprinoli
urology	urologia	urevomda
Useful mobile application	Hyödyllinen mobiilisovellus	Görova uovisavö daforsopto
Useful skill	Hyödyllinen taito	Görova livote
usually	tavanomaisesti	resilioli
Valid travel document	Voimassaoleva matkustusasiakirja	Inpoova rotuute sokir
Values, philosophy and dreams	Arvot filosofia ja unelmat	Rosi eovisda a nukobsi
Variable weather forecast	Vaihteleva sääennuste	Siermuuva nista ennesa
Warm summer day	Lämmin kesäpäivä	Lakva laknotan
Warm trip to the south	Lämmin etelänmatka	Lakva ronrotuo
Waste	reducing cooking	Hävikkiä vähentävä kokkaus
weapons technology	asetekniikka	sipvotekda
Weekly shopping trip	Jokaviikkoinen kauppareissu	Kigunva fäfrotuo
weightily	painavasti	hevli
well	reilusti	haroculi
venereology	venerologia	cejsidretda
Versatile breakfast	Monipuolinen aamiainen	Sisidva entanem
Versatile sport	Monipuolinen urheilulaji	Sisidva rouvaik
Versatile vitamin supplement	Monipuolinen vitamiinilisä	Sisidva eogömo pirob
veterinary medicine	eläinlääketiede	peterdä
White sandy beach	Valkoinen hiekkaranta	Vitva hiekvamdim
wickedly	jumalattomasti	hajoejli
widely	laveasti	leili
video technology	videotekniikka	kahötotekda
Vigorous cycling trip	Vauhdikas pyöräilylenkki	Nopteva darauute turou
virology	virologia	virda
virology	virusoppi	virdav
Virtual friendship	Virtuaalinen kaverisuhde	Firilva vijovicu
Virtual game world	Virtuaalinen pelimaailma	Firilva pleköl
Virtual reality	Virtuaalinen todellisuus	Firilva rilvao
Visual effect	Visuaalinen tehoste	Kaliva povopiirob
vitally	ratkaisevasti	gnooli
with a will	tarmokkaasti	joporili
with difficulty	vaikeasti	ongli
with ease	vaivattomasti	tesafejli
with finesse	taidokkaasti	livoteli
with grace	viehkeästi	karali
with little gesture	vähäeleisesti	ipricukali
with one voice	yksimielisesti	ismili
with pride	ylpeästi	ylpli
with reservations	varauksellisesti	reslili
with restraint	hillitysti	ipyyvli
with unruffled calm	tyynesti	uohli
without favor	puolueettomasti	gösioejli
without prejudice	ennakkoluulottomasti	ennamejusejli
witty	nokkelasti	nopvisli
vocabulary	sanasto-oppi	sisatodav
Voluntary charity work	Vapaaehtoinen hyväntekeväisyystyö	Friofrava hateevaotö
wonderfully	upeasti	kaylli
wood chemistry	puukemia	pukemda
wood technology	puuteknologia	pumtekdä
work psychology	työpsykologia	tömiterdä
Work, study and career	Työ opiskelu ja ura	Tö apdav a lukäv
workmanship	ammattitaito	votölivote
Work-related-uncertainty	Työelämään liittyvä epävarmuus	Töeo rutuuva  ejvarmvao
worldwide	maailmanlaajuisesti	kölleili
X-ray diagnostics	röntgendiagnostiikka	eks-katikretkada
