Tunniste	English	Finnish	Vosa
2389	Experience should be gathered from this, which could be deepened with artificial intelligence and new but correct correlations could be found.	Siitä pitäisi kerätä kokemusta, jota tekoälyllä voisi syventää ja löytää uusia mutta oikeita korrelaatioita.	Ob it piitif kaap davofi, ko vy tevis vooif dippiir a kees novva mut ratva recurisi. 
2390	They can now be studied more and more precisely at the cellular level and their biochemistry can be elucidated.	Niitä voidaan tutkia nykyisin jo solutasolla entistä enemmän ja tarkemmin ja selvittää niiden biokemia.	Itsi voota dakaa nenna ripnen la soltal ut enva pir a tarkpirli a sokliraap itsiof biokemda. 
2391	This way, we can learn to control people's condition more precisely and better with natural products.	Näin voidaan oppia ohjamaan ihmisten kuntoa täsmällisemmin ja paremmin luonnon tuotteilla.	Täli voota daav tudiir mämsiof vosta juspirli a hapirli vy biolo tosi. 
2392	 Veikko J. Pyhtilä, 11-1-2020.	Veikko J. Pyhtilä, 11-1-2020. 	Veikko J. Pyhtilä, 11-1-2020. 
2393	Study sciences, knowledge and skills for problems.	Opiskele tieteitä, tietoja ja taitoja ongelmiin.	Apdaav ja däsi, öbdasi a livotesi for ongsi. 
2394	 Veikko J. Pyhtilä, 19-10-2018.	Veikko J. Pyhtilä, 19-10-2018. 	Veikko J. Pyhtilä, 19-10-2018. 
2395	I've heard of a top scientist who hadn't studied at university, but read a lot of scientific literature and was able to do and implement things.	Olen kuullut huipputiedemiehestä, joka ei ollut opiskellut yliopistossa, mutta luki paljon tieteellistä kirjallisuutta ja pääsi tekemään ja toteuttamaan asioita.	Aj oo vohööen öb ylstdäjo, kojo ej ooen apdaaven in yldavlö, mut riiken piri däva kirsito a aftuuen tee a riltee sosi. 
2396	So you can progress by studying on your own, and that's a lot of it, even though you're in training.	Siis voidaan edetä itseopiskelemallakin ja sitähän se paljon on siitäkin huolimatta, vaikka ollaan koulutuksessa.	Syklirli voota edtuu vy autapdaavte a a it a it piri oo ob it a ejsyli, tajli oota in padav. 
2397	Nowadays, there is a lot of information available online and in libraries.	Nykyisin on paljon tietoa saatavilla netissä ja kirjastoissa.	Nenna oo piri öbda voafna in vinet a in sikirlösi. 
2398	It's worth buying a good, up-to-date science textbook, because you won't necessarily get good learning material for free.	Kannattaa ostaa jokin ajan tasalla oleva hyvä tieteen oppikirja, koska ilmaisena ei välttämättä saa hyvää oppimateriaalia.	It rogöö ääf ö talnava oova hava dä davkirto, syfor li ejrovriva ej nidli aaf hava davmo. 
2399	But you can also get started with free older versions of books and free materials available online.	Mutta alkuun pääsee ilmaisilla vanhemmillakin kirjojen versioilla ja netissä olevilla ilmaisilla aineistoilla.	Mut tu nö aftuu ali vy ejrovriva vonpir kirtosi devstatosi a in vinet oova ejrovriva simososi. 
2400	There is a lot of established basic knowledge in the natural sciences that does not become outdated.	Luonnontieteissä on paljon vakiintunutta perustietoa, joka ei vanhene.	In biolodäsi oo piri talomuuen besda, ko ej autvonpiir. 
2401	Sometimes a theory can change and may continue to change as research progresses.	Joskus voi teoria muuttua ja jatkossakin voi muuttua, kun tutkimukset etenevät.	Ösina voo omdalio autmuu a na pirtuo voo autmuu, na dakasi edtuu. 
2402	Scientific articles provide the latest information, but reading and properly understanding them may require that you have first studied the basic knowledge and terminology of the field.	Tieteellisistä artikkeleista saa uusinta tietoa, mutta niiden lukeminen ja kunnolla ymmärtäminen voi vaatia, että ensin on opiskellut alalta perustiedot ja käsitteistön.	Öb däva obkirsi aafta novst öbda, mut itsi riikte a hastali dakavoote voo teniid, syt isvana oo apdaaven ut leiob besdasi a sivoso. 
2403	When you read literature in a foreign language, your language skills also develop.	Kun lukee vieraskielistä kirjallisuutta, niin kielitaitokin kehittyy.	Na riik vifarvosva kirsito, itli ali voslivote autdeev. 
2404	Likewise, reading and reflecting is good brain exercise and an interesting hobby.	Samoin lukeminen ja pohdiskelu on hyvää aivovoimistelua ja mielenkiintoinen harrastus.	Reli riikte a siöbsoote oo hava daevpou a ruhamiva mite. 
2405	So in theory, you can study independently if you have good study materials.	Siis teoriassa voi opiskella itsenäisesti, jos on hyviä oppimateriaaleja.	Syklirli in omdalio voo apdaav autnali, if it oo hava davmosi. 
2406	However, experiments in many sciences require a laboratory, equipment, reagents, etc., and good occupational safety.	Tosin monien tieteiden kokeiluissa tarvitaan laboratoriota, välineitä, reagensseja jne.ja hyvää työturvallisuutta.	Rilsyli in si däsi votraatesi niidta dakalo, vosi, ysokmosi aid. a hava töturvao. 
2407	If only there were a public laboratory where an ordinary citizen, a science enthusiast, could conduct experiments and learn things in practice.	Kunpa olisi yleinen laboratorio, jossa tavallinen kansalainen, tieteen harrastaja, voisi tehdä kokeita ja opetella käytännössä asioita.	Na if a ooif tihnava dakalo, koin resiva hyjjo, dä miteejo, vooif tee votrasi a siapdaav in liote sosi. 
2408	However, laboratory users should have safety tests and supervision to prevent accidents from occurring.	Laboratorion käyttäjille tosin pitäisi olla turvallisuustesti ja valvontaa, ettei pääsisi tapahtumaan onnettomuuksia.	For dakalo teoojosi rilsyli piitif oo turvaovotra a ylkaate, syt ej aftuuif hääp kassi. 
2409	Each user should pay their own share of the consumption of materials.	Materiaalien kulutuksesta pitäisi kunkin käyttäjän maksaa oman osuutensa.	Öb tomosi temoriipte piitif obki teoojo rovfaa öfva häof ik. 
2410	Even hobbyists could set up a laboratory together.	Harrastelijatkin voisivat yhdessä perustaa laboratorion.	Ali simiteejosi vooif revi bestoo dakalo. 
2411	What is good about the current education system:	On hyvää nykyisessä koulutusjärjestelmässä:	It oo hava in nenva padavlijär:
2412	Teachers can guide studying, put together good teaching materials, explain difficult things in a way that is understandable, and emphasize essential things.	Opettajat voivat ohjata opiskelua, koota hyviä opetusmateriaaleja, selittää vaikeita asioita ymmärrettäviksi, painottaa oleellisia asioita.	Padaavjosi voo tudiir apdav, viaap hava padavmosi, klirsaa ongva sosi mu dakavova, lypoo orova sosi. 
2413	Educational institutions have the equipment needed for studying and conducting science experiments.	Oppilaitoksilla on välineitä, joita tieteen opiskelussa ja kokeiluissa tarvitaan.	Davlösi oof vosi, kosi in dä apdav a votraatesi niidta. 
2414	Studying is paid for from public funds.	Opiskelua kustannetaan yhteiskunnan varoista.	Apdav rovpaata ob visoslo resrosi. 
2415	The public finances are currently in debt (March 5, 2026) of almost 193 billion euros, with the state in addition to the debts of municipalities. It is not always possible to think that more money will be added from public funds to science, research and education.	Julkinen talous on velkaantunut tällä hetkellä (5.3.2026) kohta 193 miljardia euroa valtiolla, lisäksi ovat vielä kuntien velat, ei voida aina ajatella, että lisätään rahaa julkisista varoista tieteeseen, tutkimukseen ja koulutukseen.	Dihva rosta oo autpitrooven na tä ipno ipne 193 gussi eurovsi pöhyl oof, pirobli oo pirnen dilsi pitrovsi, ej voota kina soo, syt pirpaata rov ut dihva resrosi for dä, daka a padav. 
2416	Business owners should think about development and avoid distributing excessive dividends, and invest money in educational materials, science, research and development so that companies can remain competitive in the future.	Yritysten omistajien pitäisi ajatella kehittämistä ja välttää liian suurien osinkojen jakoa ja laittaa rahaa oppimateriaaleihin, tieteeseen, tutkimukseen ja kehitykseen, että tulevaisuudessakin yrityksillä olisi kilpailukykyä.	Tralösi ööfjosi piitif soo deevte a urpiit ylrili piva öfikrosi tusipa a lopaa rov for davmosi, dä, daka a dev, syt ali na neno tralösi ooif vintravote. 
2417	There is also a lot of private debt.	Yksityistä velkaa on myös paljon.	Isofva pitrov oo ali piri. 
2418	You should save more in good times so that you have something to draw on in bad times.	Hyvinä aikoina tulisi säästää enemmän, että huonoina aikoina olisi varaa mistä ottaa.	Na hava nosi piitif ropaoo pir, syt na ahvova nosi ooif res kout aap. 
2419	Employees should also think about profitability and competitiveness, and not demand excessive benefits, even by force.	Myös työntekijöiden tulee ajatella kannattavuutta ja kilpailukykyä, ettei vaadita ja vielä pakkokeinoin ylisuuria etuja.	Ali tööjosi piit soo rogövao a vintravote, syt ej teniidta a pirnen vy pitlivotesi ylpiva edrosi. 
2420	Some have the right to be fossilized in their jobs and benefits, while others are forced to be fossilized as long-term unemployed and living below the poverty line.	Toisilla on oikeus kivettyä fossiiliksi työpaikkaansa ja etuihinsa ja toiset joutuvat kivettymään pitkäaikaistyöttömiksi ja elämään alle toimeentulorajan.	Tuasi oof rataf kammuu kammuo intu häsiof tölo a edrosi a tuasi autpiit kammuu lunotöafejjosi a ee alri roeetelim. 
2421	There should be more opportunities for long-term unemployed people to get jobs, so that career development is not interrupted and professional skills can be developed by gaining work experience, which would then result in more skilled labor available.	Pitäisi olla enemmän mahdollisuuksia pitkäaikaistyöttömienkin päästä töihin, ettei urakehitys katkeaisi ja ammattitaito kehittyisi, kun saisi työkokemusta, tällöin olisi osaavaa työvoimaa tarjolla enemmän.	Piitif oo pir vovaosi ali lunotöafejjosi aftuu tu tösi, syt ej eolukävdev autivpaaif a votölivote autdeevif, na aafif tödavofi, täna ooif davoova töpo oftukana pir. 
2422	Employees, managers, and business owners should take the initiative to develop their professional skills, study, and monitor time in a broad manner to gain a comprehensive understanding of the phenomena of society and nature, including their laws.	Työntekijöiden, johtajien ja yritysten omistajien tulisi oma-aloitteisesti kehittää ammattitaitoa, opiskella ja seurata aikaa laaja-alaisesti, että ymmärtää monipuolisesti koko yhteiskunnan ja luonnon ilmiöitä lainalaisuuksineen.	Tööjosi, diirjosi a tralösiof ööfjosi piitif autnöteeli deev votölivote, apdaav a dekaa no leileili, syt dakavoo sisidli kio visoslo a biolo kauthäpsi vi pösoalvaosi. 
2423	This way, we don't live in a bubble and live beyond our financial possibilities and natural resources, we see beyond our own noses.	Tällöin ei olla kuplassa ja eletä yli taloudellisten mahdollisuuksien ja luonnonvarojen, nähdään omaa nenää pidemmälle.	Täna ej oota in kuohomvom a ee ylli rostava vovaosi a bioressi, vokaata öfva nes le lupir. 
2424	In this case, many social conflicts are better resolved when problems and their solution options are understood and known in depth from many different perspectives.	Tällöin monet yhteiskunnalliset ristiriidatkin ratkeavat paremmin, kun ymmärretään ja tiedetään monelta eri näkökulmalta syvällisesti ongelmia ja niiden ratkaisuvaihtoehtoja.	Täna si ali visoslova krospossi autgnoo hapirli, na dakavoota a daata el si er kaängsi diplili ongsi a itsiof gnotajifosi. 
2425	They increase mutual understanding between opposing parties and reduce the risk of escalating conflicts between people and groups of people.	Ne lisäävät vastapuolien keskinäistä ymmärtämistä ja vähentävät ihmisen ja ihmisryhmien välien kärjistymistä huonoiksi.	Itsi pirpaa ögsidsi vigögva dakavoote a riip mäm a mämiksiosi vicusi autönpiikte mu ahvova. 
2426	When you have received reliable and unbiased information from many different perspectives, you can justify things better.	Kun on saanut luotettavaa ja puolueetonta tietoa monelta eri näkökulmalta, osaa perustella asioita paremmin.	Na oota aafen uscuva a gösioejva öbda el si er kaängsi, davoo bessyy sosi hapirli. 
2427	In this case, with good reasoning, things can be moved forward constructively.	Tällöin hyvällä perustelulla rakentavasti voi viedä asioita eteenpäin.	Täna vy hava bessyyte toolli voo gaa sosi eddir. 
2428	It's not a good idea to give too much power to emotions and use violence.	Ei kannata antaa liiaksi tunteille valtaa ja käyttää väkivaltaa.	Ej rogöö faa ylrili tu fisi pö a teoo popitpö. 
2429	think strikes, lockouts, and other coercive measures are violence.	Minusta lakkoilut, työnsulut ja muut pakkokeinot ovat väkivaltaa.	Öb aj ysifoööttesi, töpuoyvsi a tuasi pitlivotesi oo popitpö. 
2430	Learn to argue objectively and fairly without being too biased towards your own point of view, this will help you move things forward more effectively.	Opettele perustelemaan asiallisesti ja hyvin tasapuolisesti vinoutumatta omaan näkökantaan liiaksi, tällöin asioita saadaan tehokkaammin vietyä eteenpäin.	Siapdaav ja bessyy cusoli a hali talsidli ejli autkiaaen tu öfva kamicu ylrili, täna sosi aafta ysrili gaaen eddir. 
2431	You can't always go downhill, there will also be uphill battles, when sometimes you gain more benefits for yourself, sometimes you have to give them up for the common good, for your own country and for the whole world.	Aina ei voida mennä myötämäkeä, tulee myös vastamäkeä, kun toisinaan saadaan lisää etuja itselle, joudutaan niistä myös toisinaan luopumaan yhteisen, oman maan ja koko maailman edun vuoksi.	Kina ej voo tuu göfamöyl, it uut ali ögafmöyl, na ösina aafta pir edrosi tu aut, autpiitta ob itsi ali ösina ofuur syfor viofva, öfva hyl a kio köl edro. 
2432	I encourage studying and also engaging in lifelong learning, every actor can encourage this to others.	Kannustan opiskelemiseen ja myös harrastamaan elinikäistä oppimista, jokainen toimija voi kannustaa tätä muille.	Aj gövyy tu apdaavte a ali mitee eoriva daavte, ki oteejo voo gövyy tä tu tuasi. 
2433	It has been studied that in theory you learn 10% and by doing 90%, at least in computer programming, this varies by field.	On tutkittu, että teoriassa oppii 10% ja tekemällä 90% ainakin tietokoneohjelmoinnissa tämä vaihtelee aloittain.	Oota dakaaen, syt in omdalio daav 10% (cesiksi) a vy tee 90% ripstli in davöproogte tä siermuu la obki leiobsi. 
2434	A solid theoretical foundation and a deep understanding of it helps and facilitates practical experiments, and they provide inspiration for ideas, without having to start learning from scratch.	Vankka teoriapohja ja sen syvällinen ymmärtäminen auttaa ja helpottaa käytännön kokeiluissa ja niistä saa virikkeitä ideoille, ei tarvitse ruveta opettelemaan kantapään kautta.	Ponitva omdalio alo a itof dipliva dakavoote vyy a gnopiir in liote votraatesi a ob itsi aaf foryssi tu ideasi, ej niid nötee siapdaav intuni tuvepä. 
2435	It is worth studying many different fields in an interdisciplinary manner, but it is also necessary to focus on one area, as an individual does not have enough time for everything.	Kannattaa opiskella monta eri alaakin poikkitieteellisesti, mutta tarvitaan myös keskittymistä johonkin osa-alueeseen, sillä aika ei riitä yksilöltä kaikkeen.	Rogöö apdaav si er leiobsi durekdäli, mut niidta ali autmiidte ötu ikleiob, syfor no ej hanidrii ut isjo tu ki. 
2436	Studying requires perseverance and patience, many things are difficult to understand and absorb, there is an enormous amount of information and its amount is increasing at an ever-increasing rate.	Opiskelu vaatii pitkäjänteisyyttä ja kärsivällisyyttä, monet asiat ovat vaikeita ymmärtää ja omaksua, tietoa on valtavasti ja sen määrä lisääntyy koko ajan kiihtyvää vauhtia.	Apdav teniid luroupevvao a safvovao, si sosi oo ongva dakavoo a öfliaap, öbda oo pipili a itof ri sipiir kio no autnoppiirva nopri. 
2437	You have to start from the basics and study the essentials piece by piece, so that things become increasingly familiar.	On lähdettävä perusteista ja opiskeltava pala palalta oleellinen, niin että asiat tulevat yhä tutuimmiksi.	Piit urtuu ut bessysi a apdaav ikob el ikob orova, itli syt sosi uut repirnen vikadapir. 
2438	They are repeated, described and explained in a variety of ways when you read from several different sources.	Ne kertaantuvat, tulevat monipuolisesti kuvatuiksi ja selitetyiksi, kun lukee useista eri lähteistä.	Itsi autdutee, muu sisidli kasaaen a klirsaaen, na riik ut si er sorssi. 
2439	Dividing a problem into subproblems also helps in solving them.	Ongelman jakaminen osaongelmiin auttaa myös niiden ratkaisemisessa.	Ong iikte intu ikongsi vyy ali in itsiof gnoote. 
2440	I have done a lot of self-study, including computer science, mathematics, medicine, and natural sciences.	Itse olen harrastanut paljon itseopiskelua mm. tietojenkäsittelyä, matematiikkaa, lääketiedettä, luonnontieteitä.	Aut aj oo mitee-en piri autapdav intuasi dasicute, risoda, terdä, biolodäsi. 
2441	Currently, I am focused on self-studying biochemistry and green chemistry for a few hours on weekdays, which is based on, among other things,	Tällä hetkellä olen keskittynyt biokemian ja vihreän kemian itseopiskeluun muutama tunti arkipäivisin, niissä on pohjaa mm.	Na tä ipno aj oo autmiiden biokemda a grinva kemda autapdaavte ipsi din na tetansi, in itsi oo alo intuasi
2442	synthetic biology, genetic engineering, medicine, pharmacy, ecology, solutions to health and environmental problems, and the development of new products and materials.	synteettiseen biologiaan, geenitekniikkaan, lääketieteeseen, farmasiaan, ekologiaan, terveys- ja ympäristöongelmien ratkaisuihin, uusien tuotteiden ja materiaalien kehitykseen.	intu islivoteva biodä, gentekda, terdä, termoda, ekodä, ter- a raulo-ongsi gnosi, novva tosi a tomosi dev. 
2443	It takes a lot of time, but I already have a lot of basic knowledge, because I have studied extensively and extensively on my own for decades.	Aikaa tosin menee paljon, mutta minulla on jo paljon pohjatietoja, sillä olen vuosikymmeniä itseopiskellut paljon ja laaja-alaisesti.	No rilsyli tuu piri, mut aj oof ripnen piri alodasi, syfor aj oo jänbassi autapdaaven piri a leileili. 
2444	I will never be fully educated, I feel like my knowledge is just a scratch on the surface of different fields.	Koskaan ei tule täysin oppineeksi, koen että tietoni ovat vasta kuin raapaisuja eri aloilta.	Ejna muu fulli daaven, aj davofii syt ajof öbdasi oo denen li israaptesi ut er leiobsi. 
2445	If only we could achieve sustainable, even, equitable and stable development for the benefit of ourselves and all other people at home, in our hometown, in our country, on Earth and in the entire universe, in the present, in the future and in eternity.	Kunpa pääsisimme kestävään, tasaiseen, tasapuoliseen ja vakaaseen kehitykseen sekä itsemme, että kaikkien muiden ihmisten hyväksi kotona, kotipaikkakunnallamme, kotimaassa, maapallolla ja koko maailmankaikkeudessa ja nykyisyydessä, tulevaisuudessa ja ikuisuudessa.	Na if a ajsi aftuu intu ögvova, talva, talsidva a talova dev duvio mu ajsi aut, a ki tuasi mämsi hava in bal, ballodil, balhyl, la rauköl a in kio kiköl a na nenvao, neno a kinovao. 
2446	Science, research, development, study and experiments help in obtaining and applying new and old knowledge and good experiences.	Tiede, tutkimus, kehitys, opiskelu ja kokeilut auttavat uuden ja vanhan tiedon ja hyvien kokemuksien saamisessa ja soveltamisessa.	Dä, daka, dev, apdav a votraatesi vyy in aafte novva a vonva da a hava davofisi a forsoopte. 
2447	 Veikko J. Pyhtilä, 19-10-2018.	Veikko J. Pyhtilä, 19-10-2018. 	Veikko J. Pyhtilä, 19-10-2018. 
2448	Sciences, doctrines, skills science	Tieteitä, oppeja, taitoja tiede	Däsi, davsi, livotesi dä
2449	history	historiatiede	 undadä
2450	meteorology	ilmatiede	 homdä
2451	ethnology	kansatiede	 hyjdä
2452	exercise science	liikuntatiede	 uuteodä
2453	social science	yhteiskuntatiede	 visoslodä
2454	crystallography	kidetiede	 kiddä
2455	food science	elintarviketiede	 eonidtodä
2456	medicine	lääketiede	 terdä
2457	telemedicine	telelääketiede	 fartusaterdä
2458	social medicine	sosiaalilääketiede	 sosterdä
2459	veterinary medicine	eläinlääketiede	 peterdä
2460	biomedicine	biolääketiede	 bioterdä
2461	dentistry	hammaslääketiede	 bitveterdä
2462	forensic dentistry	oikeushammaslääketiede	 ratafbitveterdä
2463	general medicine	yleislääketiede	 tihnaterdä
2464	forensic medicine	oikeuslääketiede	 ratafterdä
2465	space medicine	avaruuslääketiede	 kitilterdä
2466	aviation medicine	ilmailulääketiede	 huutedä
2467	sports medicine	urheilulääketiede	 routerdä
2468	school medicine	koululääketiede	 davloterdä
2469	occupational medicine	työlääketiede	 töterdä
2470	traditional science	perinnetiede	 enliodä
2471	related science	lähitiede	 rafdä
2472	law	lakitiede	 pösodä
2473	musicology	musiikkitiede	 rohödä
2474	spiritual science	henkitiede	 hodä
2475	universal science	universaalitiede	 kiköldä
2476	linguistics	kielitiede	 vosdä
2477	structural linguistics	strukturaalikielitiede	 litolvosdä
2478	mycology	sienitiede	 fungdä
2479	marine science	meritiede	 fovamlodä
2480	finance	finanssitiede	 rovdä
2481	astronomy	tähtitiede	 klirlodä
2482	radio astronomy	radiotähtitiede	 hödavöklirlodä
2483	petrology	kivitiede	 kamdä
2484	botany	kasvitiede	 epdä
2485	geography	maantiede	 köldä
2486	dialectology	murremaantiede	 alvosköldä
2487	linguistic geography	kielimaantiede	 vosköldä
2488	cultural geography	kulttuurimaantiede	 lieköldä
2489	plant geography	kasvimaantiede	 epköldä
2490	zoogeography	eläinmaantiede	 peköldä
2491	economic geography	talousmaantiede	 rostaköldä
2492	biogeography	eliömaantiede	 eököldä
2493	zoology	eläintiede	 pedä
2494	animal science	kotieläintiede	 balpedä
2495	natural science	luonnontiede	 biolodä
2496	geoscience	geotiede	 moldä
2497	life science	biotiede	 biodä
2498	cognitive science	kognitiotiede	 dafidä
2499	political science	valtiotiede	 pöhyldä
2500	nursing science	hoitotiede	 hakedä
2501	administrative science	hallintotiede	 pötedä
2502	religious studies	uskontotiede	 usidedä
2503	library science	kirjastotiede	 sikirlödä
2504	statistics	tilastotiede	 nodaridä
2505	climate science	ilmastotiede	 homstadä
2506	archeology	muinaistiede	 enendä
2507	entomology	hyönteistiede	 pegdä
2508	humanities	ihmistiede	 mämdä
2509	behavioral science	käyttäytymistiede	 cuodä
2510	mineralogy	kivennäistiede	 kammodä
2511	jurisprudence	oikeustiede	 ratafdä
2512	nutrition science	ravitsemustiede	 roeemdä
2513	economics	taloustiede	 rostadä
2514	agricultural science	maataloustiede	 vilrostadä
2515	business administration	liiketaloustiede	 fäfrostadä
2516	economics	kansantaloustiede	 hyjrostadä
2517	macroeconomics	makrotaloustiede	 ylpirostadä
2518	microeconomics	mikrotaloustiede	 fosikrostadä
2519	forestry	metsätaloustiede	 pulrostadä
2520	education	kasvatustiede	 haeöpiirdä
2521	literary studies	kirjallisuustiede	 kirsitodä
2522	public health science	kansanterveystiede	 hyjterdä
2523	genetics	perinnöllisyystiede	 eöneafvaodä
2524	translation studies	käännöstiede	 vosmuodä
2525	psychology	sielutiede	 hojdä
2526	ornithology	lintutiede	 sifdä
2527	agricultural science	maanviljelytiede	 molvildä
2528	methodology	menetelmätiede	 culitedä
2529	forestry	metsätiede	 puldä
2530	communication science	viestintätiede	 tusadä
2531	demography	väestötiede	 joridä
2532	hydrology	vesistötiede	 sivamlodä
2533	pedagogy	pedagogia	 haeöpiirda
2534	genealogy	genealogia	 cejdakada
2535	mineralogy	mineralogia	 kammoda
2536	methodology	metodologia	 lioda
2537	ideology	ideologia	 ide
2538	geology	geologia	 moldä
2539	ore geology	malmigeologia	 metkammoldä
2540	soil geology	maaperägeologia	 almoldä
2541	archeology	arkeologia	 unobdä
2542	maritime archaeology	meriarkeologia	 fovamlounobdä
2543	theology	teologia	 usdä
2544	morphology	morfologia	 kaudav
2545	biology	biologia	 biodä
2546	molecular biology	molekyylibiologia	 simoikbiodä
2547	systems biology	systeemibiologia	 lijärbiodä
2548	marine biology	meribiologia	 fovamlobiodä
2549	plant biology	kasvibiologia	 epbiodä
2550	sociobiology	sosiobiologia	 sosbiodä
2551	psychobiology	psykobiologia	 miterbiodä
2552	chronobiology	kronobiologia	 nobiodä
2553	aerobiology	aerobiologia	 hombiodä
2554	microbiology	mikrobiologia	 fosikbiodä
2555	cryobiology	kryobiologia	 kalbiodä
2556	cell biology	solubiologia	 solbiodä
2557	radiation biology	säteilybiologia	 katiikbiodä
2558	soil biology	maaperäbiologia	 almolbiodä
2559	forest biology	metsäbiologia	 pulbiodä
2560	radiology	radiologia	 eks-katikda
2561	cardiology	kardiologia	 hemoevda
2562	epidemiology	epidemiologia	 retleituoda
2563	bacteriology	bakteriologia	 baktda
2564	Assyriology	assyriologia	 assyrdä
2565	anesthesiology	anestesiologia	 tenukdä
2566	sociology	sosiologia	 sosdä
2567	sociology of language	kielisosiologia	 vossosdä
2568	physiology	fysiologia	 bodevda
2569	plant physiology	kasvifysiologia	 epbodevda
2570	etiology	etiologia	 retsyda
2571	pharmacology	farmakologia	 termodä
2572	ecology	ekologia	 ekodä
2573	social ecology	sosiaaliekologia	 sosekodä
2574	plant ecology	kasviekologia	 epekodä
2575	gynecology	gynekologia	 ämretda
2576	forest ecology	metsäekologia	 pulekodä
2577	lexicology	leksikologia	 sisatodav
2578	toxicology	toksikologia	 toksmodä
2579	oncology	onkologia	 pirevda
2580	mycology	mykologia	 fungda
2581	psychology	psykologia	 miterdä
2582	social psychology	sosiaalipsykologia	 sosmiterdä
2583	criminal psychology	kriminaalipsykologia	 pösorekmiterdä
2584	child psychology	lastenpsykologia	 ipmämmiterdä
2585	animal psychology	eläinpsykologia	 pemiterdä
2586	criminal psychology	rikospsykologia	 pösorekmiterdä
2587	educational psychology	kasvatuspsykologia	 haeöpiirmiterdä
2588	developmental psychology	kehityspsykologia	 devmiterdä
2589	genetic psychology	perinnöllisyyspsykologia	 eöneafmiterdä
2590	school psychology	koulupsykologia	 davlomiterdä
2591	work psychology	työpsykologia	 tömiterdä
2592	philology	filologia	 vosliedä
2593	seismology	seismologia	 molpitärda
2594	cosmology	kosmologia	 kitilda
2595	etymology	etymologia	 sanöbesda
2596	radiology	röntgenologia	 eks-katikda
2597	criminology	kriminologia	 pösorekda
2598	endocrinology	endokrinologia	 ingländevda
2599	technology	teknologia	 tekdä
2600	food technology	elintarviketeknologia	 eonidtotekdä
2601	information technology	informaatioteknologia	 obdafatekdä
2602	agricultural technology	maatalousteknologia	 vilrostatekdä
2603	wood technology	puuteknologia	 pumtekdä
2604	forest technology	metsäteknologia	 pultekdä
2605	limnology	limnologia	 divamloda
2606	phonology	fonologia	 sahödä
2607	chronology	kronologia	 norisoda
2608	immunology	immunologia	 ögretda
2609	anthropology	antropologia	 mämda
2610	social anthropology	sosiaaliantropologia	 sosmämda
2611	cultural anthropology	kulttuuriantropologia	 liemämda
2612	typology	typologia	 typdav
2613	andrology	andrologia	 märetda
2614	hydrology	hydrologia	 sivamlodä
2615	venereology	venerologia	 cejsidretda
2616	serology	serologia	 hemovomda
2617	virology	virologia	 virda
2618	meteorology	meteorologia	 nistadä
2619	metrology	metrologia	 pipridä
2620	petrology	petrologia	 bönoilmoda
2621	urology	urologia	 urevomda
2622	neurology	neurologia	 nervterda
2623	futurology	futurologia	 nenoda
2624	hematology	hematologia	 hemoda
2625	climatology	klimatologia	 homstadä
2626	dermatology	dermatologia	 laevretda
2627	rheumatology	reumatologia	 reumruevretda
2628	perinatology	perinatologia	 nöeipnoda
2629	pathology	patologia	 retdavda
2630	plant pathology	kasvipatologia	 epretdavda
2631	psychopathology	psykopatologia	 miretdavda
2632	cosmetology	kosmetologia	 kahakeda
2633	paleontology	paleontologia	 unbioda
2634	gerontology	gerontologia	 unjodä
2635	histology	histologia	 vivevda
2636	Christology	kristologia	 kristhojodav
2637	cytology	sytologia	 solda
2638	embryology	embryologia	 enöda
2639	chemistry	kemia	 kemda
2640	crystal chemistry	kidekemia	 kidkemda
2641	food chemistry	elintarvikekemia	 eonidtokemda
2642	medicinal chemistry	lääkekemia	 termokemda
2643	macromolecular chemistry	makromolekyylikemia	 ylpisimoikkemda
2644	quantum chemistry	kvanttikemia	 kvantkemda
2645	alchemy	alkemia	 nökemda
2646	nuclear chemistry	ydinkemia	 ydinkemda
2647	biochemistry	biokemia	 biokemda
2648	radiochemistry	radiokemia	 hödavökemda
2649	thermochemistry	termokemia	 lakkemda
2650	microchemistry	mikrokemia	 fosikkemda
2651	petrochemical	petrokemia	 oilkemda
2652	agricultural chemistry	maanviljelyskemia	 molviilkemda
2653	wood chemistry	puukemia	 pukemda
2654	electrochemistry	sähkökemia	 sähkemda
2655	thermochemistry	lämpökemia	 lakkemda
2656	ergonomics	ergonomia	 töculiteda
2657	economy	ekonomia	 rostada
2658	agricultural economics	maatalousekonomia	 vilrostada
2659	forest economics	metsäekonomia	 pulrostada
2660	agronomy	agronomia	 divilda
2661	astronomy	astronomia	 kitildä
2662	gastronomy	gastronomia	 haemda
2663	taxonomy	taksonomia	 paersioda
2664	anatomy	anatomia	 vevda
2665	plant anatomy	kasvianatomia	 epvevda
2666	geometry	geometria	 piprida
2667	plane geometry	tasogeometria	 talpiprida
2668	solid geometry	avaruusgeometria	 kitilpiprida
2669	trigonometry	trigonometria	 trerisoda
2670	pedagogy	pedagogiikka	 haeöpiirda
2671	Steinerpedagogy	steinerpedagogiikka	 steiner-haeöpiirda
2672	logic	logiikka	 tuvisda
2673	hydraulics	hydrauliikka	 vomlouysrida
2674	dynamics	dynamiikka	 uopoda
2675	thermodynamics	termodynamiikka	 lakporimuoda
2676	aerodynamics	aerodynamiikka	 homuopoda
