VosaFrequency	Vosa	English	Finnish
2147	rethapiirte	recovery; recuperation	toipuminen
2147	tunoturap	recovery	talteenotto
2148	dis	one thousand; thousand; kilo	kilo; tuhat
2150	kiopöva	all-encompassing; all-inclusive; comprehensive; encompassing; holistic; integrated; all-embracing	holistinen; kokonaisvaltainen
2150	vikipaaen	integrated	integroitu
2151	tukivipao	assembling; assembly; configuration; assemblage	kokoonpano
2152	mäkotsif	cock; rooster	kukko
2153	bafäfjo	merchant	merkantti
2153	cefäfjo	Diploma in Business and Administration; merchant	merkonomi
2153	fäfjo	shopkeeper; vendor; tradesperson; tradesman; trader; salesman; monger; merchant; merchandiser; mercer; dealer; stockist	kauppias
2154	besliva	comprehensive; thorough; thoroughgoing	perusteellinen
2154	kioofva	all inclusive; catchall; comprehensive; encompassing; overarching	kaikenkattava; kattava
2154	svidva	Swedish	ruotsalainen
2155	aj neraa	I hope	toivon
2155	davoojo	expert	osaaja
2155	livoteva	deft; skilled; skilful; proficient; skillful; artful; adroit; adept; expert; elaborate	taitava; taidollinen; taidokas; taitoinen
2155	sovodajo	specialist; pundit; connoisseur; expert	spesialisti; asiantuntija; ekspertti
2155	sovodava	expert; knowledgable; knowledgeable	asiantunteva
2156	kikölva	universal	universaali
2157	seef	preserve; protect; safeguard; shelter; shield	suojata; suojella
2157	utseef	protect	varjella
2158	ipvomri	dash; drop; drop of	tilkka; tilkkanen
2158	palyy	drop; let fall	pudottaa; tiputtaa
2158	sadautlyy	drop; fall off	tipahtaa
2158	tevomiklyy	drop; dribble	tiputtaa
2158	vomik	droplet; drop	tippa; pisara
2158	vomiklyy	drip; drop	tippua
2159	kalrumva	solid; stiff	jähmeä
2159	ponitva	stalwart; stout; sturdy; steady; rugged; burly; robust; solid	roteva; vankka; vanttera
2159	rum-	fixed-; solid	kiinto-
2159	rummo	solid; solid matter	kiinteä aine
2160	erur	rid; rid of	eroon
2161	siedtusa	presentation; discourse; lecture	esitelmä
2162	tu sidvi	beside	viereen
2164	redjelhed	orange	appelsiini
2164	redjelva	orange	oranssi; punakeltainen
2164	öb ajsi	about us	meistä
2165	autjefaavao	acquiescence; compliance	myöntyvyys; myöntyväisyys
2166	katuvosi	conveyance; vehicles	ajoneuvot
2167	voögyyv	repel; repulse; prevent; parry; fend off; fend; ward off	torjua
2168	obsoraulo	theme	aihepiiri
2169	farova	rewarding; productive; rich; gratifying; fruitful; adequate; satisfying	antoisa
2169	haritsva	wealthy; rich; well-to-do; opulent; affluent; prosperous	vauras; äveriäs
2169	ritsva	rich; wealthy	rikas
2169	siriva	opulent; substantial; sturdy; rich; abundant; profuse; plentiful; plenteous; perceptible; hefty; good-sized; copious; considerable; bountiful; ample; bounteous; abounding; lavish	mojova; roima; runsas
2171	erpite	campaign	kampanja; tempaus
2171	ersafaaen	appointed; appointee; nominated	nimitetty
2172	fovamlova	marine; maritime	merellinen
2173	authapiirte	improvement	parantuminen
2173	hapiirte	betterment; repentance; enhancement; improvement	parannus; parantaminen
2175	kithöv	guitar	kitara
2176	keesob	finding	löydös
2176	keeste	discovery; finding; discovering	löytäminen
2180	liosa	adage; expression; phrase; proverb; saying	sananparsi; sanonta
2185	has	writ; summons; subpoena; challenge	haaste
2187	hafaate	acceptance; accepting; adoption; approval	hyväksyminen
2191	lypaa	put down	laskea
2192	iptaat	touch; touch lightly	hipoa; sipaista
2192	livofio	touch	tuntuma
2192	obtaat	appertain; touch on; touch; pertain to; concern	koskea
2192	taat	touch	koskettaa
2193	ahrosta	depression; recession	lama
2195	lireobli	correspondingly; equivalently; respectively	vastaavasti
2196	obtraosi	goals	tavoitteet
2197	lonfäfrov	hire	vuokra
2197	töroov	employ; hire	palkata
2199	sitajsaa	suggest	ehdotella
2200	authaar	branch; divide; branch off; branch out	haarautua
2200	authar	branch; ramification	haarautuma; haarauma
2200	ephar	bough; branch; sprig; twig	oksa
2200	har	limb; offshoot; leg; crotch; branch; bough; tributary	haara; hanka
2200	ruönpik	branch; cusp	sakara
2202	seer	serve	palvella
2202	siemtufaa	serve	tarjoilla
2204	sysi	reasons	syyt
2205	devali	as follows	seuraavasti
2205	mäg	enchantment; magic	magia; taika
2205	mägda	magic	magiikka
2205	mägmiyysva	bewitching; enchanting; magic; mesmerizing	lumoava
2205	mägvao	sorcery; magic	taikuus
2206	ruute	fixture; mount; fixation; fastening; clamping; attachment; affixing; mooring	kiinnitys
2207	kavisva	brainy; clever; smart	fiksu
2207	kutvisva	smart	terävä-älyinen
2207	tikklirvisva	brainy; smart	välkky
2207	vovisva	smart; wit; intelligent; clever	älykäs
2208	sasaate	speaking; talking	puhelu; puhuminen
2208	sasaava	speaking; talking	puhuva
2209	siosi	troops	joukot
2210	issi	ones	yhdet
2211	latin	Latin	latinan kieli; latina
2211	latinliva	latin	romaaninen
2211	latinva	Latin	latinalainen
2212	sidafafvo	multimedia	multimedia
2212	tiisen	stood	seisoi
2215	auturpiit	avoid; escape	välttyä
2215	aututseef	avoid; be safe from	varjeltua
2215	oburtuu	dodge; swerve; avoid; evade; elude	väistää
2215	rautuu	avoid; sidestep; rotate; evade; distort; circumvent; circulate; ambulate; circumnavigate	kiertää
2215	siurpiit	avoid; be hiding; circumvent; dodge; shirk; shun	kartella; pakoilla; vältellä
2215	urpiit	eschew; stay away from; sidestep; shun; obviate; evade; escape; dodge; circumvent; avoid; avert; fudge	karttaa; välttää; kaihtaa
2217	pökee	manage; administrate; administer	hallinnoida
2217	stavoo	get on; manage; get by; get along	pärjätä
2217	önrisi	remainder; the rest	loput
2218	dippirlo	niche; recess; corner	syvennys
2218	haänglo	recess; nook; niche; corner; cranny	sopukka
2218	kaultuu	corner	kaartaa
2218	äng	angle; corner	kulma
2218	ängleilo	corner; cranny; nook; vicinity	kulmakunta; loukko; kolkka
2218	änglo	corner; nook	nurkka; nurkkaus
2218	ängtolik	corner; nook; den; compartment; alcove; niche	alkovi; soppi
2219	na duhyn	in February	helmikuussa
2219	rojärpa	ranking; rank	sijoitus
2220	ADC	ADP; computing	ATK
2220	dasicute	computing; data processing	tietojenkäsittely
2220	risoote	calculation; calculus; computation; computing; counting; reckoning	lasku; kalkyyli; laskeminen; laskenta
2222	bessimo	element	perusaines
2222	nömo	chemical element; element; elemental	alkuaine
2222	vipaik	connecting part; connecting portion; element	yhdysosa
2223	nöe	natal; native; genesis; birth; nativity	syntymä; synty; synnyin-; syntymä-
2224	vir	viral; virus	virus; virus-
2225	ahlisipaoo	abuse; batter; maltreat	pahoinpidellä
2225	ahöbsa	insult; profanity; affront; abuse; slander; blasphemy	rienaus; solvaus; riena
2225	ahöbsaa	abuse; affront; blaspheme; insult	rienata; solvata
2226	altysva	interactive	vuorovaikutteinen
2226	välcusiteva	interactive	interaktiivinen
2228	erlipaa	separate	separoida
2228	erlova	detached; isolated; separate	erillinen
2228	erpamoo	separate; seclude; quarantine; insulate; isolate	eristää
2228	ertuu	divorce; split up; separate; resign; diverge; disagree; breakup; break up; break apart; secede	erota
2228	erurpaa	disassociate; separate; dissociate	erottaa
2228	si-ivpaa	desegregate; distinguish; separate	erotella
2229	dirsid	direction; quarter	taho
2229	kvaik	quarter	neljännes; neljäsosa; vartti
2230	culiteo	procedure; proceeding	menettely
2230	culiteolio	procedure	menettelytapa
2230	piote	procedure	proseduuri
2231	diirjovao	directorship; leadership	johtajuus
2232	ofnori	of its time	aikansa
2233	mivaoo	be characterized; characterise; characterize; define; describe	luonnehtia
2233	sideef	demarcate; delimit; define	määritellä
2235	usideva	religious	uskonnollinen
2235	uusva	believer; religious	uskova
2236	rilsosi	facts	tosiasiat
2237	entan ipem	breakfast; morning snack	aamupala
2237	entanem	breakfast	eine; aamuateria; aamiainen
2239	lyjär	column	kolonni; sarake
2239	noiplokir	column	kolumni
2239	poul	column; stanchion; pillar; pylon	pylväs
2239	sileijär	column; phalanx; rows	rivistö
2239	siptujär	column	kolonna
2239	suppoul	abutment; buttress; column; mainstay; pillar	tukipilari; pilari
2240	epsi	plants	kasvit
2242	hevvirupaa	shackle; chain; enchain; fasten with chains; secure with chains	kahlita; kahlehtia
2242	litekalo	theater; theatre	teatteri
2242	posiviring	chain	kettinki
2242	ruu	fixate; moor; fix; fasten; engraft; clasp; chain; attach; affix	kiinnittää
2242	siviring	chain; concatenation	ketju
2243	deevjo	developer	kehittäjä
2243	deevvo	developer	kehitin
2243	tooljo	developer; builder; constructor	rakentaja
2243	tuatooljo	constructor; developer; builder	rakennuttaja
2244	authööven	rang	soi
2244	isjoo	identify; individualize	identifioida; yksilöidä; yksilöllistää
2244	vokadaa	identify; recognise; recognize	tunnistaa
2245	pitauntul	avenue	valtakatu
2245	taunpultul	parkway; avenue; boulevard	bulevardi; puistokatu; puistotie
2246	kayyrnen	missing	kadoksissa
2248	rokali	approximately	arviolta
2249	balhylva	homegrown; domestic	kotimainen
2249	karpeva	domestic; domesticated; tame	kesy
2249	ofhylva	domestic	maatiainen
2254	afpoluu	crane; reach; stretch (out for)	kurkottaa; kurottaa
2254	auttuloaaf	reach	ylettyä
2254	novoo	catch (a train); get on time; have time; reach	ehtiä; keretä
2254	obaaf	accomplish; achieve; attain; catch up; gain; reach	saavuttaa
2254	tuaaf	attain; catch up; reach	tavoittaa
2254	tuloaaf	extend; reach; come up to; come down to; be down to	ulottua; ylettää; yltää
2255	sidviite	comparison; co-ordination; juxtaposition	rinnastus
2255	sierkaate	collation; comparison	vertailu
2256	daliva	knowledgeable; mental	tiedollinen
2256	hodamiva	mental	mentaalinen
2256	hosova	mental; spiritual; spirituous	henkinen
2256	in tösi	at work	töissä
2256	mi-	mental	mielen-; mieli-
2256	mistava	mental; psychic	psyykkinen
2257	amerjosi	Americans	amerikkalaiset
2257	kaaen	viewed	katsottu
2259	leileipiiren	broadened; extended; enlarged; expanded	laajennettu
2259	lupiiren	extended; lengthened	pidennetty
2260	eddejär	sequence	sekvenssi
2260	serii	sequence	sarjallistaa
2260	tujär	queue; sequence	jono
2261	tumri	inch	tuuma
2262	postuo	assault; attack; invasion; offensive	hyökkäys
2262	tu sipao	attack	kimppuun
2263	ahmili	sorry; regretful	pahoillaan
2265	autouupob	opening	avautuma
2265	nööhäp	opening; opening ceremony	alkajaiset
2265	ouplo	lacuna; aperture; orifice; slot; opening; loophole; hole; gape; breach; hollow; gap	aukko
2265	ouuphäp	inaugural; inauguration; opening	avajaiset
2265	ouupte	opening	avaaminen; avaus
2266	ejvoeev	damage	vaurioittaa
2266	iprek	damage; distortion; breach	särö; vaurio
2266	sipoögtaat	damage	kolhia
2266	tekaas	damage; harm; injure	vahingoittaa
2266	tekas	accident; mishap; detriment; damage	vahinko
2266	teviik	damage	vioittaa
2267	dakalo	lab; laboratory; research lab; research laboratory; science lab; science laboratory	laboratorio; tutkimuslaboratorio
2268	res	reserve; spare; vice	vara-; reservi; vara
2268	seefleilo	reserve; protectorate; conservation area	suojelualue
2268	siresrov	reserve	varanto
2272	kaumo	plastic	muovi
2272	kaumova	plastic	muovinen
2274	lum	snow	lumi
2274	lumlao	crust; crust of snow; snow; snowdrifts	hanki; lumihanki
2274	lumlyy	snow	sataa lunta
2275	tulopaaen	placed; positioned	laitettu; sijoitettu
2276	darilvao	trueness; verity; truth	totuus
2277	fälaos	counter; desk	myyntipöytä; tiski
2277	risovo	counter	laskuri
2277	öghäk	counter; counterblow	vastaisku
2278	ejsaakte	failure; failing	epäonnistuminen
2278	vik	defect; failure; fault; flaw	vika
2279	enpirli	earlier; even more so	entisestään; varhemmin
2280	päikli	chiefly; mainly; preponderantly	pääosin
2281	davofiien	experienced; veteran	kokenut
2281	gunermuo	weekend	viikonvaihde
2281	gunön	weekend	viikonloppu
2282	dolrov	buck; dollar	dollari; taala
2283	autkäämp	camp	leiriytyä
2283	kämp	camp	leiri
2285	töroli	officially	virallisesti
2289	yllitulos	bridge	silta
2290	bioresva	feral; native	luonnonvarainen
2290	nöebesva	native-born; autochthonous; endemic; indigenous; native	syntyperäinen
2290	nöeloojo	aborigine; native	alkuasukas
2291	autfuul	fill; fill up; be fulfilled	täyttyä
2293	uide	movement	liike
2293	usteönnukuide	movement; revival movement; revivalist movement	herätysliike
2293	uute	movement	liikkuminen
2294	kapolyyte	printing	painaminen
2294	kirkaate	lettering; printing	tekstaus
2294	polykir	printing	painoteksti
2294	tuakapolyo	printing; imprint	painatus
2295	görilsaa	acknowledge; confess; profess; recognize	tunnustaa
2295	lobol	baseball	pesäpallo
2296	ööfen	dedicated; owned; possessed	omistettu
2297	hafa	endorsement; seal of approval; approval; approbation	hyväksyntä
2297	jefaate	approval; concession; granting	myöntö; myöntäminen
2298	inlihou	draft; draft of the air current	ilmavirran veto
2298	nökaso	draft; sketch	luonnos
2298	nökasoo	draft	luonnostella
2298	poaghou	draft; draught	veto
2298	sipsertukoohäpsi	draft	kutsunnat
2299	kayvaap	expose; unmask; uncover; unveil; lay bare; disclose; debunk; bring out in the open; reveal; divulge	paljastaa
2300	hööven	played; rang	soitti; soittivat
2300	ob du	of the two	kahdesta
2300	plee-en	played	pelannut
2303	Jesus	Jesus	Jeesus
2309	liree	correspond; equal; equate	vastata
2309	lireva	rival; compeer; equal; peer	vertainen; verta; veroinen
2309	reri piva	equal	yhtä suuri
2309	rerokava	equal; peer	samanveroinen; samanvertainen
2309	tallireva	equaling; equal	tasaveroinen; tasavertainen
2309	talrova	equal	tasa-arvoinen
2310	mivolttuo	adventure	seikkailu
2311	tejuuste	matching	täsmäytys
2311	tuvisoopva	matching; compatible; consistent	yhteensopiva
2312	oftukaali	offering	tarjoten
2312	oftukaate	offering	tarjoaminen
2312	usoffa	sacrifice; oblation; offering	uhri
2318	ipvyyjo	facilitator; contributor; attache; aide; assistant	avustaja
2318	vyojo	sidekick; supporter; helper; assistant	apulainen
2318	vyyjo	assistant; sidekick; helpmate; helper	amanuenssi; apumies; apuri; assistentti; auttaja
2319	autmuuva	transformative; variable	muuttuva
2319	murio	parameter; variable	muuttuja; parametri
2319	siermuuva	varying; variable; fluctuating; diversified; mutable	vaihteleva
2323	siensuu	have a feeling; suspect; expect; anticipate	ounastella
2324	fornostoopte	parking	paikoitus; pysäköinti
2324	tuvöpalo	parking; parking place	parkkipaikka
2325	nidejli	in vain; vainly; needlessly; for nothing; for no reason; unnecessarily	tarpeettomasti; turhaan
2326	edtannava	yesterday	eilinen
2328	pourfaejva	spunky; determined; gutsy; mettlesome; plucky	sisukas
2328	päätva	resolute; determined; decided; decisive	päättäväinen
2328	ridava	determinate; determined; intentional; purposeful	määrätietoinen
2329	grerilli	seriously; in earnest; earnestly	tosissaan; vakavissaan
2329	pioikfäf	wholesale	tukkukauppa
2330	keerlö	workshop	korjaamo
2330	metpumtölo	workshop	verstas
2330	tötol	workshop	paja; työpaja
2331	ultli	extremely; in the extreme; supremely	äärimmäisen
2332	ejkeesli	gone; nowhere to be found; vanished	tipotiessään
2335	leileipiirte	enlargement; expansion; extension; extention	laajennus
2335	lupiirte	continuation; extension; prolongation	jatkaminen; pidennys
2335	lupirob	extension	jatke
2338	moAuva	golden	kultainen
2339	beslili	completely; thoroughly	perusteellisesti
2339	fulvoli	completely; entirely; perfectly	täydellisesti
2340	forsy	for the sake of	tähden
2341	sipotol	castling; stronghold; redoubt; fortress; citadel; fort; bastion; fortification	bastioni; linnake; linnoitus
2342	pirrili	largely; mostly	enimmäkseen
2344	kaatte	illumination; lighting	valaistus
2344	nöböönte	ignition; inflammation; lighting; outbreak	syttyminen
2345	ylpösieedsio	senate	senaatti
2347	ervokaa	distinguish; descry; discern	erottaa
2347	fanli	funny	hassusti
2347	fanliva	funny	hassunkurinen
2347	fanva	funny; hussy; wacky; whimsical; wussy; zany	hassu
2347	hehhäpva	comic; comical; funny	koominen
2347	hehliva	funny	hupainen; hupaisa
2347	hehoobva	comic; risible; laughable; funny; amusing; comical	huvittava
2347	hehrosva	droll; funny	lystikäs
2347	hehsivva	kooky; funny; nutty; loopy; loco; silly; haywire; fool; dotty; daft; crackers; cracked; buggy; barmy; fruity; loony	hupsu
2347	lekvovöjo	wag; funny; imp	vekkuli
2348	bajson	bro; brother	veli; veljes
2349	gen	gene	geeni
2351	pogaagvova	portable	kannettava
2351	telouuvova	portable; transferable	siirrettävä
2354	forsooptava	applicable	sovellettava
2354	forsoopvova	applicable	sovellettavissa
2357	kaukaa	pattern	kuvioida
2357	kaukaate	pattern; patterning	kuviointi
2357	lika	formulary; scheme; pattern; equation; schema; formula	kaava
2360	vuvo	boat; dinghy	vene
2362	ätla	over there; yonder	tuolla
2363	laserkatik	laser	laser
2364	täel	from here	täältä
2366	noaapen	lasted	kesti
2366	rovsuupjo	sponsor	tukija
2366	vyrovfaajo	sponsor	kummi; sponsori
2366	ögvooen	endured; tolerated; withstood	kesti
2368	ipkato	icon; miniature	miniatyyri; pienoiskuva; kuvake
2368	usipkato	icon	ikoni
2372	aapenta	was taken	otettiin
2372	dir	direction	suunta
2374	netboksbol	basketball; netball	koripallo
2374	ysrili	effectively; expeditiously; effectually; efficiently	tehokkaasti
2375	ossi	artifacts; objects	esineet
2375	sios	objects	esineistö
2377	pist ik	greater part; majority	suurin osa; valtaosa
2377	yyr	delete	deletoida
2378	ennatva	evening	iltainen
2379	ögkalo	meeting place; assembly	tapaamispaikka
2380	nuat-	rural	maaseudun
2380	ydin-	nuclear	ydin-
2381	sövö	electronic memory device	muisti
2381	sööen	remembered	muisti
2382	mauspe	mouse	hiiri
2382	mauspeip	mouse	hiirulainen
2383	lifva	leafy	lehtevä; lehtinen
2383	paprkirip	leaflet	lehtinen
2383	tusaa	signal; communicate	viestittää; viestiä
2383	tusamark	signal	signaali
2384	la itof lo	in place; stationary	paikallaan
2384	pösorekjo	brigand; criminal; crook; delinquent; felon; malefactor; offender; racketeer	rikollinen
2386	daev	brain	aivo
2386	daevsi	brain; brains; cerebrum	aivot
2387	cejsidva	sexual	sukupuolinen
2387	la tul	on the road	tiellä
2387	visemva	sexual	seksuaalinen
2389	li utro	as a result; resulted	tuloksena
2389	na utro	resulting	tuloksena
2389	poliva	mighty; powerful	voimallinen
2389	pövova	thumping; tremendous; stupendous; spectacular; powerful; mighty; fantastic; enormous; awesome	mahtava
2390	neafraa	dream	haaveilla
2390	nukka	dream; sleep	uni
2390	nukob	dream; pipedream	unelma
2390	nukoob	daydream; dream	uneksia
2390	sinukoob	daydream; dream	unelmoida
2392	ejdaril	false; untrue	epätosi
2392	ejrorilva	false; meretricious; not genuine	epäaito
2394	heii	cast; casts; chuck; hurl; throw; toss	heittää; nakata; viskata
2394	heiien	cast; flung; hurled; pitched; threw; thrown; tossed	viskattu; heittänyt; heittivät; heitetty; heitti
2394	heiite	cast; throw	heitto
2394	kauvo	cast; mold	muotti
2394	kauvopa	casting; cast	valu
2394	kauvopaa	cast; infuse; mold	valaa
2394	kauvopaaen	cast; molded; moulded	valettu
2394	kauvopao	cast; casting	valos
2395	kuk	bloom; blossom; flower	kukka
2395	kukip	flower	kukkanen
2395	kuuk	bloom; blossom; flower	kukkia
2396	seneevtava	felt; perceived; sensed; tangible	aistittava
2396	vulkayvto	wrap; blanket; felt; rug	huopa; viltti
2398	sidtuuen	passed; skipped; overtaken; overridden; bypassed	ohitettu; ohitti
2400	vokadaaen	recognized; distinguished; identified	tunnistettu
2401	vamlytuo	cascade; falls; waterfall	vesiputous
2404	aidsret	AIDS	aids
2406	ylpirpaa	elevate; uplift; raise; promote; exalt	ylentää
2410	votöjosi	professionals	ammattilaiset
2411	lije	supposedly	muka; mukamas
2412	pogaag ja	carry	kanna
2413	pökavaat	flag	liputtaa
2413	pökavat	flag	lippu
2417	kvava	fourth	neljäs
2419	höli	aloud; out loud	ääneen
2419	ylliap	advantage	yliote
2420	helou	Hello	haloo
2420	ter	hello	terve
2422	oftukaata	be provided; is offered	tarjotaan
2422	yllapaoo	keep up; maintain; sustain; uphold	ylläpitää
2423	sirotuo	tourism; travelling	matkailu; turismi
2424	edroculo	superiority; precedence; precedency; preeminence; preference; priority	etusija
2424	edstrojär	priority	prioriteetti
2424	rojär	hierarchy; priority	hierarkia; arvojärjestys
2425	pöhylresropösiojo	Minister of Finance	valtiovarainministeri
2426	fuljosi	adults	aikuiset
2426	mamsiof	parental	vanhempien
2427	aj uutne	I will come	tulen
2428	ropao	saving; savings	säästö
2430	kasad	surprise	yllätys
2430	katova	graphical; graphic	graafinen
2430	obvokaliva	graphic; perceptual	havainnollinen
2431	moik	atom	atomi
2433	möylva	hilly	mäkinen
2434	risoliva	estimated; calculative; computational	laskennallinen
2435	virupaate	liaison; binding; dressing	sidonta
2435	virupaava	adhesive; binding	sitova
2436	oipva	brief; terse; succinct; narrow; compact; concise	suppea
2436	tulisaa	advise; brief	evästää
2436	ulnova	ephemeral; momentary; brief; short-term	lyhytaikainen
2437	öönen	ended	päättynyt
2438	viinte	winning; defeating; triumph	voittaminen
2438	viinva	winning	voittava
2439	ahtka	eight	kahdeksikko
2440	ersaejva	unnamed; untitled; unidentified; nameless; anonymous	nimetön; anonyymi
2441	in rilvao	in actuality; in reality	todellisuudessa
2441	moFe	iron; ferric; ferrous	rauta; rauta-
2441	moFeva	iron; ironclad	rautainen
2442	halyllelva	straight; upright; upstanding	ryhdikäs
2442	linreiva	straight	viivasuora
2443	dapösakir	script	skripti
2443	pavekir	manuscript; screenplay; script	käsikirjoitus
2446	räjliva	assorted; miscellaneous; mixed; ragtag; sundry	sekalainen; sekalaiset
2446	tuööf	devote; dedicate	omistaa
2448	ejrova	invalided; trivial; void; petty; insignificant; paltry; negligible	mitätön
2448	lufva	blank; empty; null; void	tyhjä
2448	lufvao	void; blankness; emptiness; nothingness	tyhjyys
2449	emoobte	dining	ateriointi
2449	ennateemte	having dinner; dining	illastaminen
2449	sieemte	dining; eating	ruokailu
2450	envotesta	alert; standby; state of readiness	valmiustila
2450	isobvokaaen	awake; noticed; alert	havahtunut
2450	kunkava	alert; vigilant; watchful; wakeful; open-eyed	valpas
2450	morjo	Moor	mauri
2450	vyhötusa	alarm; tocsin; alert	hälytys
2450	vyhötusaa	alarm; alert	hälyttää
2451	ismuute	integration	yhdentyminen
2451	rupaate	annexation; incorporation; integration; pasting	liittäminen
2451	vikipa	integrating; integration	integroiminen; integrointi; integraatio
2454	in no	in time	ajassa
2454	ippapr	tag	lappu
2454	lektatjo	tag	hippa
2454	maarkvo	tag	tagi
2454	vokadao	identifier; tag	tunniste
2455	sidakoo	interview	haastatella
2455	sidakoote	interview	haastattelu
2456	auträäj	intermingle; mingle; mix	sekoittua
2456	höräjtee	mix	miksata
2456	paräj	compounding; shuffling; scrambling; potpourri; mixture; mixing; mix; intermix; blend; assortment; admixture; miscellany	sekoitus
2456	parääj	mixup; blend; shuffle; stir; roil; mix; jumble; mingle; mix up	sekoittaa
2456	viräjtee	mess; snarl; ravel; muddle; mess up; implicate; fuck up; entangle; disarrange; mix	sotkea
2457	rafsid	framework	puite
2458	darauto	floppy; disk; diskette	disketti
2458	knittoovo	cam; disk; spindle	kehrä
2458	obhängejli	regardless; irrespective	riippumatta
2459	forlopaaen	fitted; installed; mounted	asennettu
2460	royläm	Queen	kuningatar
2464	autruu	become attached; fix; get attached	kiinnittyä; kiintyä
2464	rukapiir	fix	fiksata
2465	apvo	handgrip; handle; hilt	kahva; ripa
2465	ipapvo	handle	sanka
2465	lubod	stem; stalk; shank; shaft; rod; arm; handle	varsi
2465	paveapvo	handhold; handle	kädensija
2466	suitcuva	sweet; lenient	hempeä
2466	suitem	caramel; sweet; sweeties; candy	karamelli; karkki; makeinen; nami
2466	suitva	sweet	makea
2466	tesoo	think out; think about; ruminate; ponder; mull; contemplate; meditate	miettiä
2467	daavteos	bench; desk	pulpetti
2468	bessysi	grounds; basics; criteria	perusteet
2468	robes	criteria; criterion; value base	kriteeri; arvopohja
2468	robessi	criteria	kriteerit
2469	frili	freely	vapaasti
2474	ahlio	immoral habit; vice	pahe
2474	ruvögpopavo	clamp; vice	ruuvipuristin
2474	ögpopaos	vice	puristin
2475	mivioo	associate	assosioida
2475	vijoo	associate; socialize	seurustella
2477	lodtuvö	truck; truckin; lorry	kuorma-auto
2477	lugatuvö	lorry; trailer lorry; truck	rekka
2477	noppirli	faster; quicker	nopeammin
2477	simidrauto	bogie; shafting; truck	akselisto; teli
2478	cuo	behavior; deportment; demeanour; demeanor; behaviour; comportment	käytös
2478	cuoote	behaving; behavior; behaviour; conduct	käyttäytyminen
2479	autpipiir	enlarge	suurentua
2479	tilpiir	broaden; enlarge; let out; widen	väljentää
2480	katik	beam; ray	säde
2481	piriteli	assiduously; studiously; industriously; frequently; diligently	ahkeraan; ahkerasti; uutterasti
2481	tihnoli	frequently	tiheästi
2483	pipriaap	measure; be measured	mitata
2483	piprisoo	measure	mitoittaa
2484	autermuute	changing	muuttuminen
2484	autermuuva	changing	muuttuva
2484	ermupaate	changing	vaihtaminen
2484	ermuuva	changing	vaihtuva
2484	temuute	changing; conversion; transformation	muuntaminen; muuttaminen
2484	temuuva	changing	muuttava
2487	obpitvao	obligation; onus; duty	velvoittavuus; velvollisuus
2487	tuaftö	duty	päivystys
2490	biörpe	bear	otso; karhu; kontio
2490	mehbiörpe	bear	mesikämmen
2490	tenöee	give birth; engender; bring forth children; bear; beget	synnyttää
2492	pironohäp	festival	festivaali
2494	durekli	broken in two	poikki
2494	guvamlo	ocean	valtameri
2494	yrpoli	whacked	poikki
2495	jasi oo	you are (plural)	olette
2496	curoli	significantly	merkittävästi
2498	ejofri	deficiency; lack; lack of; paucity; privation; shortage; shortcoming; dearth	puute; puutos
2498	ejofriite	lack	puuttuminen
2498	ejofrivao	inadequacy; lack	puutteellisuus
2498	nidsta	straits; strait; shortage; lack; mess	pula
2498	pirniid	lack	kaivata
2499	dipvao	deepness; depth	syvyys
2501	fulli re	whatever	aivan sama
2501	kosatli	whatever	hyvänsä
2501	lyyte	falling; landing; descent; decline	lasku; laskeutuminen
2502	rak	apprehension; dismay; dread; fear; fright; trepidation	pelko
2503	pogagdavö	laptop	kannettava tietokone
2503	tindavö	laptop	läppäri
2504	vainaf	vintage	viinisato
2504	vainafap	vintage	viininkorjuu
2505	fetuvö	train	juna
2505	ongpoag	train	laahus
2505	padaav	educate; instruct; teach; train	kouluttaa; opettaa
2505	vodahapiir	coach; prepare; train	valmentaa
2505	vohapiir	work out; train	treenata
2506	dotli	exactly; to the point	pilkulleen
2506	jusli	punctually; accurately; exactly; precisely; promptly	täsmällisesti; täsmälleen; eksaktisti
2507	auttoov	dehydrate; dry; dry up	kuivua
2507	tetoov	dry	kuivattaa
2507	toov	dehydrate; desiccate; dry	kuivata
2507	tovva	arid; dry; dry-as-dust	kuiva
2508	sifarkaa	keep one's eye on; observe; explore	tutkailla
2510	batlö	spa	kylpylä
2511	lito	concept	konsepti
2511	voso	concept; construct; notion	käsite
2515	rilvao	realness; reality; real life; actuality	todellisuus
2516	öösen	overlooked; forgot; forgotten	unohdettu; unohti; unohtivat
2518	nuldot	origin	origo
2518	nöbes	provenance; origin; origination	alkuperä
2518	nöebes	ancestry; origin; parentage	syntyperä
2518	urtuolo	embarkation point; origin	lähtöpaikka
2522	enlioli	traditionally	perinteisesti
2523	tuolo	destination	menopaikka
2524	Skotlo	Scotland	Skotlanti
2525	mut ej	but no	muttei
2526	vovis	brainpower; intellect; intelligence	äly
2526	vovisvao	intellectuality; intelligence; adroitness	älykkyys; älyllisyys
2528	ääfen	bought; purchased	ostettu
2529	tarrosaa	bunco; swindle; spoof; scam; rook; goldbrick; rip off; prate; mulct; hoodwink; gyp; bilk; fool; con; betray; cheat; deceive; defraud; delude; diddle; dupe; feint	huijata; viilata linssiin; jallittaa; huiputtaa
2529	ögro	con; nuisance; inconvenience; impediment; hindrance; drawback; detriment; disadvantage	haitta
2532	pepaeön	slaughter	lahti
