Vosa	VosaParts	Finsi	Engsi
toloos	tol-oos	kalustaa	furnish
tolpao	tol-pa-o	talonpito	housekeeping
tolpum	tol-pum	rakennuspuu	construction wood
tolrek	tol-rek	raunio	ruin
tolöli	to-lö-li	teollisesti	industrially
tolöva	to-lö-va	teollinen	industrial
tomaep	toma-ep	tomaatti	tomato
tomark	to-mark	tuotemerkki	brand; trademark
tomsio	tom-si-o	villakoira	dust ball; dust bunny
tonoaf	to-no-af	aikaansaannos	achievement
tonsve	tons-ve	nielurisa; kitarisa	tonsil
toolen	tool-en	rakennettu	built; constructed; builded
tooljo	tool-jo	rakentaja	developer; builder; constructor
toolmä	tool-mä	rakennusmies	building worker
toolta	tool-ta	rakennetaan	be built; will be built
toolte	tool-te	konstruktio; rakentaminen	construction; building; constructing
toolva	tool-va	konstruktiivinen; rakentava	constructive
toovao	too-va-o	tuottavuus	productivity; profitability
toovte	toov-te	kuivaus	drying
toovvo	toov-vo	kuivain	drier
torauu	to-rauu	kierrättää	recycle
toriip	to-riip	kulua	diminish; wear down; wear off; wear out
torosi	to-ro-si	tuotot	proceeds
torvto	torv-to	putki	conduit; pipe; tube
tovvao	tov-va-o	kuivuus	aridity; drought; dryness
traaen	traa-en	yritetty; yritti; yrittänyt	attempted; tried
tradav	tra-dav	tutkinto	degree; examination
tratee	tra-tee	rassata	work on
trebas	tre-ba-s	kolmekymmentä	thirty
trehyn	tre-hy-n	maaliskuu	March
trenoo	tre-noo	kolminkertaistaa	triple; triplicate
trevio	tre-vi-o	kolmikko	threesome; triad; trinity; trio; triplet
treäng	tre-äng	kolmio	triangle
trojjo	troj-jo	troijalainen	Trojan
troljo	trol-jo	peikko	hobgoblin; specter; spectre; troll
tsekjo	tsek-jo	tsekki	Czech
Tseklo	tsek-lo	Tsekkoslovakia	Czechoslovakia
tselem	tsel-em	kiisseli	fruit soup; pudding
tselmo	tsel-mo	gelatiini; liivate	gelatin; gelatine
tsisem	tsis-em	juusto	cheese
tu bal	tu ba-l	kotiin; kotia	home
tu cel	tu ce-l	kylään	to the village
tu dir	tu dir	suuntaan	toward
tu far	tu far	kauaksi; kauas	far away; afar; far
tu huk	tu huk	koukkuun	hooked
tu luk	tu luk	lukkoon	to the lock
tu mol	tu mol	maihin	ashore
tu nen	tu nen	tähän mennessä	up to this point
tu net	tu net	verkkoon	to the network
tu raf	tu raf	lähelle	close
tu res	tu res	varalle	in case
tu ron	tu ron	etelään	southward; south
tu tev	tu tev	itään	eastward
tu tol	tu tol	taloon	to the house
tu tre	tu tre	kolmeen	to three
tu vel	tu vel	oikeaan	to the right
tu vet	tu vet	länteen	westward
tu vik	tu vik	mönkään	awry
tu vyo	tu vy-o	apuun	for help
tuaftö	tu-af-tö	päivystys	duty
tuajää	tua-jää	jätättää	lose
tuapaa	tua-paa	laitattaa	have made
tuasää	tua-sää	huudattaa	exclaim
tuatee	tua-tee	teettää	have done
tuavao	tua-va-o	toiseus	otherness
tubaal	tu-baal	demobilisoida; kotiuttaa	demobilize
tudaav	tu-daav	opastaa	guide; instruct; lead; teach
tudiir	tu-diir	johtaa; ohjata	conduce to; control; direct; lead; steer
tueöön	tu-e-öön	menehtyä	die; pass away; succumb
tuhoom	tu-hoom	haihduttaa	disperse; dissipate
tuisvi	tu-is-vi	yhteen	together
tuitna	tu-it-na	siihen asti kun	until
tujäär	tu-jäär	jonottaa	queue
tukasa	tu-ka-sa	osoite	address
tukato	tu-ka-to	esite	booklet; white paper; prospectus; pamphlet; leaflet; brochure; folder
tukivi	tu-ki-vi	kokoon	together
tukvao	tuk-va-o	tylsyys	bluntness
tuldim	tul-dim	piennar	verge of a road
tuleii	tu-leii	pitkälleen mennä	lie down
tulood	tu-lood	ladata	upload
tulopa	tu-lo-pa	sijoitus	substitution; arrangement; locating; placement; positioning
tulsid	tul-sid	tienvarsi	roadside
tultol	tul-tol	asema	station
tuluur	tul-uur	lähteä tiehensä	bugger off
tumark	tu-mark	kyltti; viitta	placard; sign; signboard; signpost
tumiid	tu-miid	sekaantua; sekaantua johonkin	tangle; mix with; meddle; interfere with
tumlak	tu-mlak	sulautuma	merger
tunfis	tun-fis	tonnikala	tuna
tunsjo	tuns-jo	tunisialainen	Tunisian
Tunslo	Tuns-lo	Tunisia	Tunis
tunsva	tuns-va	tunisialainen	Tunisian
tuoraa	tuo-raa	hinkua	whoop; urge
tuoväl	tuo-väl	askel	tread; stride; footstep; pace; step
tupapr	tu-papr	lippu; pääsylippu	ticket; ensign
tupövi	tu-pö-vi	haltuun	in possession
turava	tu-ra-va	hanakka	ready; willing
turbal	tur-ba-l	turvakoti	refuge
tureek	tu-reek	murtaa	break
tureii	tu-reii	ojentaa	pass
tureva	tu-re-va	yhtenevä; yhteneväinen	congruent; converging
turkjo	turk-jo	turkkilainen	Turk
Turklo	Turk-lo	Turkki	Turk; Turkey
turkva	turk-va	turkkilainen	Turkish
turmep	turm-ep	kurkuma	turmeric
turnep	turn-ep	nauris	turnip
turnet	tur-net	turvaverkko	safety net
turouu	tu-ro-uu	lenkkeillä	jog
turpir	tur-pir	turvallisempi	safer
turvao	tur-va-o	turvallisuus	safety; security
tusajo	tu-sa-jo	lähetti; lähettiläs; sanansaattaja	legate; messenger; envoy; emissary; orderly
tusamä	tu-sa-mä	viestimies	signalman
tusavö	tu-sa-vö	viestin	media
tusipa	tu-si-pa	jakaminen; jakelu; jako	sharing; allocution; apportionment; distribution; issuing
tusiön	tu-si-ön	jakopää	distribution head
tusoop	tu-soop	sopia	fit; fit in; go in; befit
tustaa	tu-staa	liikennöidä	ply
tutraa	tu-traa	pyrkiä	strive; strive for; try; aspire to; aspire; endeavour
tutrao	tu-tra-o	pyrintö	aspiration
tutvio	tut-vi-o	läsnäolo; mukanaolo	attendance; presence
tuunen	tuu-nen	käynnissä; meneillään; menossa	going; undergoing; in progress; going on
tuuren	tuur-en	turvattu	secured
tuurva	tuur-va	turvaava	protective
tuuten	tuut-en	kulki; kulkivat	travelled; walked; traveled
tuutjo	tuut-jo	kulkija	rambler; stroller
tuutte	tuut-te	kulkeminen; kulku	tenor; passage; transit; progression; journey; gait; course; walking; motion
tuutvo	tuut-vo	kulkuneuvo	vehicle
tuveli	tu-ve-li	jalan; jalkaisin	on foot; afoot
tuvelo	tu-ve-lo	jalansija	foothold; footing; lodgment
tuvepu	tu-ve-pu	jalkapuu	stocks
tuvepä	tu-ve-pä	kanta; kantapää	heel
tuveri	tu-ve-ri	jalka	foot (length)
tuvesi	tu-ve-si	jalat	feet
tuveto	tu-ve-to	jalkine; kenkä	footwear; shoe
tuveön	tu-ve-ön	jalkaterä	foot
tuviiv	tu-viiv	kietoa	entwine
tuvöri	tu-vö-ri	autokanta	fleet of cars
tuvösi	tu-vö-si	autoja; autot	cars
tuyvpa	tu-yv-pa	interferenssi	interference
tuönte	tu-ön-te	suoritus	accomplishment; achievement; execution; performance
tyltol	tyl-tol	muotitalo	fashion house
tylvao	tyl-va-o	eleganssi; tyylikkyys	elegance; styleness
tymäsh	ty-mäsh	mössö	pap
tyrnep	tyrn-ep	tyrni	buckthorn
tyymat	tyy-mat	juoksumatto	treadmill
tyyple	tyy-ple	juoksupeli	running game; running play
tyyvao	tyy-va-o	juoksevuus	fluidity
tyyvjo	ty-yv-jo	vetelys	sluggard
tyyvva	ty-yv-va	vetelä	flabby; sloppy; watery
tärkmo	tärk-mo	tärkkelys	starch
tärpmo	tärp-mo	tärpätti	turpentine
täsiof	tä-si-of	näiden	of these
töculo	tö-cu-lo	työasema; työpiste	workstation
töfari	tö-fa-ri	työllisyys	employment
töksif	tök-sif	kalkkuna	turkey
tölaos	tö-la-os	työpöytä	desktop; workbench
tölili	tö-li-li	työläästi	laboriously
töliva	tö-li-va	työläs	backbreaking; wearisome; toilsome; painstaking; grueling; arduous; laborious
töndol	tön-dol	kippi	dumper
tönsid	tön-sid	kääntöpuoli	flipside; reverse side
tönvoo	tön-voo	veivata	crank
töpoap	tö-po-ap	pesti	hiring; enlistment
töpope	tö-po-pe	työjuhta	workhorse
törojo	tö-ro-jo	virkailija; virkamies	official; officer; clerk; offical
töroli	tö-ro-li	virallisesti	officially
törolö	tö-ro-lö	virasto	government agency; office; bureau; agency; federal agency
töromä	tö-ro-mä	virkamies	civil servant; official
töroov	tö-roov	palkata	employ; hire
töropö	tö-ro-pö	virkavalta	bureaucracy
törova	tö-ro-va	virallinen	official
tösövö	tö-sö-vö	työmuisti	working memory
töteob	tö-te-ob	työtehtävä	duty assignment
tötoik	tö-to-ik	teoksen osa	part of the work
töunda	tö-un-da	työhistoria	work history
tövijo	tö-vi-jo	työtoveri; työkaveri; kollega	colleague; coworker; fellow worker; work mate; workmate; collaborator
tövova	tö-vo-va	työkykyinen	able to work; fit for work
tö-öik	töö-ik	työkappale	workpiece
töönjo	töön-jo	kääntäjä	turner
töönte	töön-te	kääntö; käännös	turn-down; turnabout
töönva	töön-va	käännettävä	invertible
uejmuo	u-ej-mu-o	halvaus	apoplexy; palsy; paralysis; paraplegic; stroke
uejmuu	u-ej-muu	halvaantua; lamautua	become paralyzed; paralyse; be paralyzed; paralyze
uikhöö	u-ik-höö	uikuttaa; ulista	howl; wail; whimper
uiksif	uik-sif	uikku	grebe
ulipva	ul-ip-va	lyhyehkö	shortish
ulnova	ul-no-va	lyhytaikainen	ephemeral; momentary; brief; short-term
ulsköt	ul-sköt	minihame	miniskirt
ulteil	ul-teil	töpöhäntä	bobtail
ultlin	ult-lin	ääriviiva	outline; contour
ultorv	ul-torv	hylsy	cartridge case; casing; sleeve; sleeve pipe
ultvao	ult-va-o	äärimmäisyys	extremity
undali	un-da-li	historiallisesti	historically
undava	un-da-va	historiallinen	historical; historic
ungöjo	un-gö-jo	konservatiivi	tory; conservative; conservative person
ungöli	un-gö-li	konservatiivisesti	conservatively
ungöva	un-gö-va	konservatiivinen	conservative
unipva	un-ip-va	vanhahko	elderly; oldish
unjodä	un-jo-dä	gerontologia	gerontology
unliva	un-li-va	vanhoillinen	conservative
unnova	un-no-va	entisajan; entisaikainen	ancient; of old; old
unobdä	un-ob-dä	arkeologia	archaeology; archeology
unosva	un-os-va	antikvaarinen	antiquarian
unpiir	un-piir	vanhentaa	age
unpima	un-pi-ma	papparainen	old grandpa
unviäm	un-vi-äm	akka; eukko	old wife; witch; old woman; old girl; bag; wife
uodava	u-o-da-va	kineettinen	kinetic
uohpir	u-oh-pir	rauhallisempi	calmer
uohvao	u-oh-va-o	rauhallisuus; seesteisyys; tyyneys	quietude; tranquillity; serenity; equanimity; calmness; tranquility; placidity
uoohen	u-ooh-en	tyyntyi; tyyntynyt	calmed down
upkuut	up-kuut	niittää	cut; reap; mow
upliva	up-li-va	ruohoinen	grassy
urbiit	ur-biit	haukata	bite; piece; pick; nibble
urevlo	ur-ev-lo	käymälä; toaletti; wc; vessa	loo; WC; restroom; lavatory; latrine; toilet
urevmo	ur-ev-mo	erite	secretion
urevom	ur-e-vom	kusi; pissa; urea; virtsa	urine; urea; pee
urfaar	ur-faar	loitota	withdraw; dissociate; drift farther away
urfäto	ur-fä-to	irtotavara	bulk
urlili	ur-li-li	irrallisesti	independently
urliva	ur-li-va	irrallinen	loose; unconnected; unattached; standoffish; movable; moving; unfastened; scattered; isolate; fragmented; discrete; disconnected; detached; detachable; isolated
urmoto	ur-mo-to	uute	extract
uroboo	ur-ob-oo	pidättyä	refrain; abstain
urooli	ur-oo-li	irtonaisesti	loosely
uroova	ur-oo-va	irtonainen	loose; unattached; relaxed
urpiit	ur-piit	karttaa; välttää; kaihtaa	eschew; stay away from; sidestep; shun; obviate; evade; escape; dodge; circumvent; avoid; avert; fudge
urraap	ur-raap	riipiä	strip
urreek	ur-reek	repiä; ratkoa	shred; unpick; tear; snag; rip up; rip; rend; lacerate; tatter
urrhöö	urr-höö	urista	growl
urtuli	ur-tu-li	lähtien	since
urtöna	ur-tö-na	lomalla	on holiday
urtöno	ur-tö-no	loma	vacation; holiday
uruhöö	u-ru-höö	narista	creak
uscujo	us-cu-jo	luottamushenkilö	trustee
usculi	us-cu-li	luotettavasti	dependably; reliably
uscumä	us-cu-mä	luottomies; uskottu mies; luottamusmies	shop steward; trusted man; confidant
uscuro	us-cu-ro	luotto	credit
uscuva	us-cu-va	luotettava	trusty; trustworthy; reliable; dependable; trustable
uscuäm	us-cu-äm	luottamusnainen; uskottu nainen	confidante; trusted woman
usdäjo	us-dä-jo	teologi	theologian
usdäva	us-dä-va	teologinen	theologic; theological
usejva	us-ej-va	uskoton	cheating; disloyal; faithless; unbeliever; unfaithful
ushava	us-ha-va	vanhurskas	righteous
ushösa	us-hö-sa	virsi; psalmilaulu; psalmi	chant; hymn; psalm
usikjo	us-ik-jo	lahkolainen	sectarian
uskejo	us-ke-jo	kummi	godparent
uskemä	us-ke-mä	kummisetä	godfather
uskeäm	us-ke-äm	kummitäti	godmother
usmili	us-mi-li	hartaasti	devoutly; earnestly; entreatingly
usmiva	us-mi-va	harras	committed; hearty; zealous; warm; pious; heartfelt; earnest; devoted; ardent; devout
usoffa	us-of-fa	uhri	sacrifice; oblation; offering
usofmä	us-of-mä	munkki	friar; monk
usofos	us-of-os	alttari	altar
ussajo	us-sa-jo	seurakunnan pappi; pappis-; pappi	divine; reverend; priestman; priest; parson; parish priest; minister (Am); ecclesiastic; vicar; clerical; cleric; clergyman; churchman; minister
ussasa	us-sa-sa	saarna	sermon; homily; preaching
ussaäm	us-sa-äm	papitar	priestess
usteaf	us-te-af	rukous	prayer; orison; entreaty
ustraa	us-traa	kilvoitella	contend
usvaam	us-vaam	kastaa; ristiä	babtize; baptise; baptize; christen
usvam-	us-vam	kaste-	baptismal
ut bal	ut ba-l	kotoa	from home
ut far	ut far	kaukaa	afar; from afar
ut hyl	ut hy-l	maasta	from the country
ut mid	ut mid	keskeltä	from the middle
ut mol	ut mol	maasta	from the ground
ut raf	ut raf	läheltä	from near by
ut ron	ut ron	etelästä	from the south
ut tua	ut tua	muusta	from the rest
ut väl	ut väl	välistä	from between
ut ölo	ut ö-lo	jostain	from something; from somewhere
utduhö	ut-du-hö	kaiku	echo; reverb
uthouu	ut-ho-uu	puhkua	puff
utiten	ut-it-en	hamasta	ever since
utjoos	ut-joos	kimmota; pompata	rebound; take a hop; ricochet; pop; bounce; be elastic; spring
utkaap	ut-ka-ap	poimia	cull; glean; pick; pick up; pluck
utloli	ut-lo-li	peräisin	originate in; originated; originating; stem from
utlood	ut-lood	ladata	download
utpapr	ut-papr	paluulippu	return ticket
utreka	ut-re-ka	projektio	projection
utrova	ut-ro-va	tuloksellinen; tuloksekas	fruitful; productive; profitable; successful
utseef	ut-seef	varjella	protect
utsöli	ut-sö-li	ulkoa; ulkomuistista	memorized; from memory; by heart
uttofa	ut-to-fa	tuliainen	home-coming present
uttupa	ut-tu-pa	välitys; välittäminen	transmission; conveying; intermediation; mediating; relaying; brokerage
utyrap	ut-yr-ap	eliminointi	elimination
uuejjo	uu-ej-jo	rampa	crippled; disabled; lame
uuejli	uu-ej-li	liikkumaton	unmovable; unmoving; unmoved; nonmoving; immobile; motionless; stationary
uulteo	uul-te-o	lyhennys	abridgment; abbreviation
uut ja	uut ja	tule	come
uutnen	uut-nen	tulossa	becoming; coming up; coming
uuvote	uu-vo-te	liikkumiskyky	locomotion
vaapen	vaap-en	pyyhitty	blotted; wiped
vaarte	vaar-te	kypsennys	cooking
vaatlö	vaat-lö	pukimo	dresser; outfitter
vaatob	vaat-ob	pukine	garment
vaatte	vaat-te	vaatetus	clothing; dressing
vadber	vad-ber	vadelma; vattu	raspberry
vahmoo	vah-moo	vahata	wax
vahsif	vah-sif	tilhi	waxwing
vahtpu	vaht-pu	vaahtera	maple
vaikva	va-ik-va	lajinen	kind of; of the species
vainaf	vain-af	viinisato	vintage
vainte	vain-te	viininteko	wine making
vakhöö	vak-höö	vaakkua	caw
vaksmo	vaks-mo	rokote	vaccine
valfis	val-fis	valas	whale
vamdim	vam-dim	ranta	bank; beach; border; shore; waterfront; waterside
vamhep	vam-hep	kaisla	reed
vamhom	vam-hom	vesihöyry	steam; water vapor
vamhou	vam-ho-u	tyrsky	surf; surging wave; breaker
vamiin	vam-iin	vettyä	be soaked; become watery
vamluk	vam-luk	vesilukko	water lock
vamlum	vam-lum	sohjo; loska	sleet (on ground); wet snow; slush
vamlyy	vam-lyy	sataa	rain
vammol	vam-mol	saari	island; isle
vampaa	vam-paa	kastella	wet; drench; irrigate; sop; water
vampul	vam-pul	suo	marsh; swamp; moss; bog; mire
vampup	vam-pup	paju	wicker; willow
vamrou	vam-ro-u	vesiurheilu	water sports
vamslo	vam-slo	vesivarasto	water supply
vamtal	vam-tal	vesitaso	seaplane
vamtul	vam-tul	vesiväylä; virta; vuo	flood; flow; flux; stream; watercourse; waterway
vamtuo	vam-tuo	virtaus	current; flow; flux
vamyyv	vam-yyv	padota	dam
vapkum	vap-kum	pyyhekumi	eraser
vapvat	vap-vat	pyyhe; pyyheliina	towel
varbek	var-bek	paistos	frying; baked dish
varmli	varm-li	taatusti; varmasti	certainly; doubtless; for sure; surely; without doubt; assuredly
varmro	varm-ro	hypoteekki; pantti	deposit; security; mortgage; pledge
varmva	varm-va	varma	assured; certain; confident; safe; sure
varvao	var-va-o	kypsyys	maturity; ripeness
vaspeg	vas-peg	ampiainen	wasp
vatfou	vat-fou	laskos	pleat
vatkau	vat-kau	kuosi	design; pattern
vatpäk	vat-päk	nyytti	bundle
vatslo	vat-slo	vaatevarasto	clothing warehouse
vattol	vat-tol	teltta	tent
vattoo	vat-too	räätälöidä	tailor
vatvap	vat-vap	luutu	cleaning rag
veemen	veem-en	joi	drank
veemte	veem-te	drinkki; juominen	potation; boozing; drink; drinking
vehtuu	veh-tuu	sipsuttaa	trip
vehvao	veh-va-o	keveys	levity; lightness
veivno	veiv-no	jakso; periodi	period
veivva	veiv-va	laineikas	wavy
vejäär	ve-jäär	jäsentää	parse
vekuut	ve-kuut	amputoida	amputate
vemnid	vem-nid	jano	thirst
vemvam	vem-vam	juomavesi	drinking water; drinking-water
vemves	vem-ves	muki	cup; mug
vepsjo	veps-jo	vepsälainen	Veps
vepsva	veps-va	vepsäläinen	vepsian
vereek	ve-reek	ruhjoa	bruise; mangle; mutilate
veshät	ves-hät	kansi	deck; lid; cover
vetrov	vet-rov	länsivaluutta	western currency
vetuoo	ve-tu-oo	käydä kävelyllä	go for a walk
vhipvo	vhip-vo	ruoska; vitsa; piiska	whip; lash; switch; twig
vi oof	vi oof	meillä on	at our house is
viapte	vi-ap-te	yhteenveto	synopsis; summary; summarizing; summarization; overview; recapitulation
viculi	vi-cu-li	suhteessa	in proportion; in relation to
vicusi	vi-cu-si	suhteet; välit	relations; terms; ratios
viducu	vi-du-cu	parisuhde	relationship
viduli	vi-du-li	pareittain	by couple; by pairs; in pairs; pairwise; two by two
viduva	vi-du-va	parillinen	even; paired
viilen	viil-en	viljelty	cultivated; cultured; farmed
viiljo	viil-jo	farmari; viljelijä	grower; farmer
viilte	viil-te	viljeleminen; viljely	cultivation; farming; growing; tillage
viinen	viin-en	voitettu; voittanut; voitti; voittivat	prevailed; won; triumphed; overwhelmed; overcome; overcame; defeated; conquered; vanquished
viinjo	viin-jo	voittaja	victor; winner
viinte	viin-te	voittaminen	winning; defeating; triumph
viinva	viin-va	voittava	winning
viisio	vii-si-o	konsortio	conglomerate; consortium
viiven	viiv-en	kudottu; punottu	braided; woven
viivjo	viiv-jo	kutoja	weaver
viivte	viiv-te	kutominen; kudonta	weaving
viivvö	viiv-vö	kutomakone	loom
vijosi	vi-jo-si	kaverukset	pals
vijova	vi-jo-va	kaverillinen	pally
vikipa	vi-ki-pa	integroiminen; integrointi; integraatio	integrating; integration
vilaem	vi-la-em	kastike	sauced; dressing; gravy; sauce
vilbod	vil-bod	oljenkorsi; olki	straw
vildli	vild-li	villisti; metkasti	wildly
vildoo	vild-oo	rehottaa	run wild; grow rampant
vildpe	vild-pe	villieläin	wild animal
vildst	vild-st	villein	wildest
vildva	vild-va	villi	feral; savage; uncivilized; uncontrollable; ungovernable; wild
vilkal	vil-kal	halla	freeze; frost
vilmol	vil-mol	viljelysmaa	farmland
viloka	vi-lo-ka	liityntä	interface
vilsem	vil-sem	jyvä	grain; pip
vilslo	vil-slo	vilja-aitta	granary; barn
vilvao	vil-va-o	viljavuus	fertility; richness
vinlmo	vinl-mo	vinyyli	vinyl
vinros	vin-ros	voitonriemu	triumph
vintan	vin-tan	voitonpäivä	victory day
vintra	vin-tra	kisa; kilpa; kilpailu	rivalry; racing; race; emulation; contest; contention; competition; competitive
vinöev	vi-nö-ev	istukka	placenta
vioaap	vi-o-aap	ottaa yhteyttä; kontaktoida	contact
viofeo	vi-of-e-o	symbioosi	symbiosis
viofho	vi-of-ho	yhteishenki	community spirit; solidarity; team spirit
viofli	vi-of-li	yhteisesti	in common; together; jointly
viofva	vi-of-va	yhteinen	joint; mutual; common; collective; shared
viofys	vi-of-ys	yhteisvaikutus	combined effect; synergy
viopao	vi-o-pa-o	yhteydenpito	communication
vipaik	vi-pa-ik	yhdysosa	connecting part; connecting portion; element
vipasa	vi-pa-sa	yhdyssana	compound; compound word
vipavö	vi-pa-vö	kytkin	switch; switcher; clutch
vipiik	vi-piik	niitata; nitoa	staple; rivet
vipöjo	vi-pö-jo	liittolainen	allied; ally; allying
virauu	vi-rauu	kieputtaa	whirl
virili	vi-ri-li	yhteensä	totaled; totaling; totals; in all; all told; altogether; total
viring	vi-ring	lenkki	link
virret	vir-ret	virustauti	viral disease
viruli	vi-ru-li	sidoksissa	be bound to; be tied to; tied up; affiliated
virumo	vi-ru-mo	sideaine	binder; binding agent
visasa	vi-sa-sa	keskustelu	debate; sharing; talk; conversation; colloquy; discussion; discourse
visavö	vi-sa-vö	puh.; puhelin	tel.; telephone; phone
viseem	vi-seem	naida; siittää	father; fuck; procreate; conceive; beget; breed; have sex
visid-	vi-sid	vierus-	para-
visipa	vi-si-pa	kombinaatio	combination
vislvo	visl-vo	pilli; vihellyspilli	fife; whistle
visoop	vi-soop	sopia	agree; covenant; make up
visvao	vis-va-o	järkevyys; viisaus	wit; wisdom; sagacity; rationality; sensibleness
visvoo	vis-voo	rationalisoida	rationalize
vitfis	vit-fis	siika	whitefish
vitmuu	vit-muu	valkaistua	become white
vitpul	vit-pul	koivikko	grove of birch trees
vitvao	vit-va-o	valkeus	whiteness
vitöjo	vi-tö-jo	yhteistyökumppani	co-worker; partner; collaborator
vivopa	vi-vo-pa	varustus	equipment; equipping; fotification
vivosi	vi-vo-si	tamineet; varusteet	accoutrements; equipment; equipments; fittings; kit
voafik	vo-af-ik	potti	pot
voafna	vo-af-na	saatavilla; saatavissa; saatavana	obtainable; gettable; available; accessible; within easy reach
voejka	vo-ej-ka	ohhoh; oho	eh; whoops; oops; ugh
voejva	vo-ej-va	impotentti	impotent
vofava	vo-fa-va	lahjakas	talented; gifted
vofouu	vo-fouu	taipua	bend; diffract
vogliu	vo-gli-u	luisto	slide
vohövo	vo-hö-vo	kuuloke	earphone
vohövö	vo-hö-vö	kuulolaite	hearing aid
volbol	vol-bol	seinäpallo; squash	squash
volfpe	volf-pe	hukka; susi	wolf
voliva	vo-li-va	instrumentaalinen; välineellinen	instrumental
volmat	vol-mat	ryijy	Finnish rug
voltri	volt-ri	jännite; voltti	tension; volt; voltage
voltsa	volt-sa	trilleri	thriller
vomaap	vom-aap	ammentaa	draw; ladle
vomham	vom-ham	nestekaasu; nestemäinen kaasu	liquid gas; LPG
vomhom	vom-hom	höyry	steam; vapour; vapor
vomhuu	vom-huu	läiskiä; pärskiä	plash; splutter
vomkid	vom-kid	nestekide	liquid crystal
vommuu	vom-muu	nesteyttää	liquefy
vomoop	vom-oop	laimentaa	dilute
vomtuu	vom-tuu	virrata	flow; pour; run; stream
vopiir	vo-piir	harjoittaa	exercise
voriip	vo-riip	rappeuttaa	degenerate
vosaaf	vo-saaf	sietää	endure; stand; suffer; tolerate
vosdav	vos-dav	kielioppi	grammar
voshlö	vosh-lö	pesula	laundry
voshmo	vosh-mo	pesuaine	detergent
voshvo	vosh-vo	pesin; pesuri	washer; scrubber
vosmuo	vos-mu-o	käännös	translation
vosmuu	vos-muu	kääntää; tulkata	interpret; translate
vosoli	vo-so-li	käsitteellisesti	conceptually
vosoop	vo-soop	käydä	suit
vosova	vo-so-va	käsitteellinen	conceptual
vostau	vo-sta-u	kuntoilu	fitness
vosteo	vos-te-o	kielenkäyttö	language usage
vostli	vo-st-li	mahdollisimman	as possible
voteva	vo-te-va	kyvykäs	competent; skillful; capable; able; talented
votlum	vot-lum	nuoska; räntä	wet snow; sleet; sticky snow
votmuo	vot-mu-o	kostutus	humidification; wetting
votmuu	vot-muu	kosteuttaa; kostuttaa	moisturize; humidify; moisten
votraa	vo-traa	koettaa; testata	attempt; test; try
votvao	vot-va-o	kosteus; märkyys	wetness; moisture; dampness; humidity; moistness
votöjo	vo-tö-jo	ammattimies	professional
votöli	vo-tö-li	ammatillisesti; ammattimaisesti	occupationally; professionally; vocationally
votösi	vo-tö-si	ammatit	occupations; professions
votöva	vo-tö-va	ammatillinen	professional; vocational; occupational
voviis	vo-viis	älytä	become aware of; realize
vovösi	vo-vö-si	vehkeet	gadgetry
vrisve	vris-ve	ranne	wrist joint; wrist
vulhät	vul-hät	pipo	stocking cap; woolly hat
vulvev	vulv-ev	häpy	vulva
vuokuk	vuo-kuk	vuokko	anemone
vuvolo	vu-vo-lo	venesatama	marina
vuvöjo	vu-vö-jo	kippari; laivuri	skipper; captain
vuvölo	vu-vö-lo	satama; valkama	port; haven; harbor; harbour
vuvölö	vu-vö-lö	laivatelakka; telakka	dockyard; shipyard; dock; drydock; ship dock
vy tre	vy tre	kolmittain	in threes
vy tur	vy tur	turvin	by means of; with help
vyorov	vy-o-rov	apuraha	award; scholarship; bursary
vyrote	vy-ro-te	edistys	progress; progression; advance
vyy ja	vyy ja	auta	help
vyynen	vyy-nen	auttamassa	aiding
väjomä	vä-jo-mä	aatelismies	gentleman; nobleman
väjoro	vä-jo-ro	aatelisarvo	peerage; noble rank
väjosi	vä-jo-si	aateliset	nobles
väjova	vä-jo-va	aatelinen	aristocratic; noble; nobleman
väjoäm	vä-jo-äm	aatelisnainen	noblewoman
väkali	vä-ka-li	hienosti	beautifully; exquisitely; finely; nicely
väkast	vä-ka-st	hienoin	nicest; finest
väkava	vä-ka-va	hieno	fine; refined; pukka; pretty; posh; graceful; exquisite; exclusive; elegant; beautiful; nice
väleet	väl-eet	huilata	have a break; rest
välhäk	väl-häk	välilyönti	space
vällim	väl-lim	juopa	chasm; gap; gulf
vällin	väl-lin	väliviiva	hyphen
välvol	väl-vol	väliseinä	bulkhead; partition wall
välvos	väl-vos	metakieli	metalanguage
vämili	vä-mi-li	jalomielisesti	magnanimously
vämiva	vä-mi-va	jalomielinen	magnanimous
väpiir	vä-piir	jalostaa	ennoble; refine; breed
vöboks	vö-boks	pömpeli	box
vöjoda	vö-jo-da	robotiikka	robotics
völiva	vö-li-va	konemainen	machine-like
vövoka	vö-vo-ka	konenäkö	computer vision
ydinik	ydin-ik	ydinosa	pith; essence; core
ydinli	ydin-li	ytimekkäästi	concisely; succinctly
ydinpo	ydin-po	ydinvoima	nuclear power
ydinri	ydin-ri	netto	net
ydinro	ydin-ro	nettoarvo	net value; net worth
ydinva	ydin-va	ytimekäs	terse; concise; pithy; succinct
ylahsa	yl-ah-sa	rähinä	brawl
ylfili	yl-fi-li	herkästi	sensitively
ylfiva	yl-fi-va	herkkä; sensitiivinen	suggestible; susceptible; sensitive; indelicate; delicate
ylhafi	yl-ha-fi	euforia	euphoria
ylhasa	yl-ha-sa	ylistys	praise
ylhöli	yl-hö-li	kimakasti	shrilly
