English150Char	Finnish150Char	VosaTevos150Char
We drove through the city.	Ajoimme kaupungin kautta.	Ajsi katuuen intuni taunlo.
We drove along the Moscow River.	Ajoimme pitkin Moskova-jokea.	Ajsi katuuen luvi Moskov divamtul.
Now we swim across the river.	Nyt uidaan joen yli.	Nen vuuta ylli divamtul.
BE, LOCATE	OLLA, SIJAITA	OO, LOO
Where were you both?	Missä te molemmat olitte?	Koin jasi duvio ooen?
Where were you last night?	Missä te olitte eilen illalla?	Koin jasi ooen edtanna entan?
Were you here?	Tekö täällä olitte?	Jasiko täla ooen?
We were not.	Emme olleet.	Ajsi ej ooen.
They were in Sweden.	He olivat Ruotsissa.	Häsi ooen in Svidlo.
In the summer we spend a lot of time in the country.	Kesällä oleilemme paljon maalla.	Lakna ajsi sioo piri la nuatlo.
Most major cities are located in the western part of the country.	Useimmat suurista kaupungeista sijaitsevat maan länsiosissa.	Sipir piva taunlosi loo in vetiksi hyl.
Klin is located in the Moscow region.	Klin sijaitsee Moskovan alueella.	Klin loo la Moskov leilo.
The hotel is right by the sea.	Hotelli sijaitsee aivan meren rannalla.	Rotuotol loo fulli la fovamlo vamdim.
There are a lot of books on the table.	Pöydällä on paljon kirjoja.	La laos oo siri kirtosi.
Do you take the papers, they are by the window?	Otatko paperit, ne ovat ikkunan luona!	Aapko ja paprsi, itsi oo tut kauv!
All the goods lay on the floor (confused, not taken).	Kaikki tavarat lojuivat (sekaisin, ottamatta) lattialla.	Ki oftosi räjlooen (räjli, aapejli) la lytal.
The cabinet is behind the door.	Kaappi on oven takana.	Gabos oo kade ouv.
The bag is under the table.	Laukku on pöydän alla.	Bäg oo al laos.
What are you standing here for?	Mitä sinä täällä seisot?	Kosy ja täla tiis?
Where do you want to sit?	Mihin haluatte istuutua?	Kole jasi ofraa siit?
Sit next to me!	Istukaa viereeni!	Siit jasi tu sidvi aj!
We sat in the back but still could see well.	Istuimme takana, mutta näkyi silti hyvin.	Ajsi siiten kade, mutsyli autkaaen hali.
comprehend, contain	käsittää, pitää sisällään, sisältää	inoof
PLACE NAME, MAP	PAIKANNIMI, KARTTA	LO ERSA, KALOTO
Can you give me the exact address?	Voitteko antaa tarkan osoitteen?	Vooko ja faa tarkva tukasa?
Could you tell me what the name of this street is?	Sanoisitteko, mikä tämän kadun nimi on?	Saaifko jasi, ko tä tauntul ersa oo?
What street is this?	Mikä katu tämä on?	Ko tauntul tä oo?
Do you have a city map?	Onko teillä kaupungin karttaa?	Oofko jasi taunlo kaloto?
We long chose the itinerary.	Valitsimme kauan matkareittiä.	Ajsi aphakaaen luna rotuo lalitul.
That route doesn't fit us.	Tuo reitti ei sovi meille.	Ät lalitul ej tusoop ajsi.
Are you for the first time in Russia?	Oletteko ensimmäistä kertaa Venäjällä?	Ooko jasi isva isno la Ruslo?
Russia is a rich country (state).	Venäjä on rikas maa (valtio).	Ruslo oo ritsva hyl (pöhyl).
Moscow is the capital of Russia.	Moskova on Venäjän pääkaupunki.	Moskov oo Ruslo pätaunlo.
Many tourists from Western European countries visit Moscow.	Moskovassa käy paljon turisteja Länsi-Euroopan maista.	In Moskov uttuu siri rotuojosi ut Vet-Eurlo hylsi.
Is Helsinki your home city?	Onko Helsinki teidän kotikaupunkinne?	Ooko Helsink jasiof baltaunlo?
When do you return to your home country?	Milloin palaatte kotimaahanne?	Kona jasi reuut tu balhyl?
Helsinki is a very beautiful city.	Helsinki on hyvin kaunis kaupunki.	Helsink oo hali kava taunlo.
Who of you has been to Sochi?	Kuka teistä on ollut Sotsissa?	Kojo ur jasi oo ooen in Sots.
Have you been to the Black Sea?	Oletteko olleet Mustalla merellä?	Ooko jasi ooen la Tivva fovamlo?
Have you been to Lapland?	Oletteko ollut Lapissa?	Ooko jasi ooen in Laplo?
DISTANCE	ETÄISYYS	FARRI
How many kilometers from here to Moscow?	Montako kilometriä täältä on Moskovaan?	Siko dismetrsi täut oo tu Moskov?
It is 1117 kilometers from Helsinki to Moscow.	Helsingistä Moskovaan on 1117 kilometriä.	Ut Helsink tu Moskov oo 1117 (discesbassev) dismetrsi.
It's far away.	Se on kaukana.	It oo far.
Sea!	Meri!	Fovamlo!
It's already very close!	Se on jo aivan lähellä!	It oo ripnen fulli raf.
It is very close here.	Se on tässä aivan lähellä.	It oo täin fulli raf.
The hotel is close to it.	Hotelli on lähellä sitä.	Rotuotol oo raf it.
The summer cottage is located near the town.	Kesämökki sijaitsee lähellä kaupunkia.	Lakno iptol loo raf taunlo.
There is a metro close to the house.	Lähellä taloa on metro.	Raf tol oo almoltuvö.
Where is the nearest metro station?	Missä on lähin metroasema?	Koin oo rafst almoltuvölo?
Let's get closer to it!	Mennään lähemmäksi sitä!	Tuuta rafpir it!
The restaurant is right next door.	Ravintola on tässä aivan vieressä.	Roemlo oo täin fulli sidvi.
There it is next to the door.	Tuossa se on oven vieressä.	Ätin it oo sidvi ouv.
We sat at a large table.	Istuimme suuren pöydän ääressä.	Ajsi siiten tut piva laos.
CENTER # EDGE	KESKUS # REUNA	MIDLO # DIMLO
He lives far from the center.	Hän asuu kaukana keskustasta.	Hä eloo far ut midtaunlo.
Let's go downtown in the evening.	Mennään illalla keskustaan.	Tuuta ennatna tu midtaunlo.
As she reads the book, she doesn't notice anything around her.	Kun hän lukee kirjaa, hän ei huomaa mitään ympärillään.	Na hä riik kirto, hä ejö satvokaa häof raula.
There is no one around.	Ympärillä ei ole ketään.	Raula oo ejjo.
We walked around the statue for a long time.	Kävelimme pitkään patsaan ympärillä.	Ajsi vetuuen luna raula kaukavto.
He traveled around the world.	Hän matkusti maailman ympäri.	Hä rotuuen rauli köl.
DIRECTION	SUUNTA	DIR
In my childhood I lived in the north.	Lapsuudessa asuin pohjoisessa.	Ipmämna aj elooen in nor.
Nature is quite scarce in the north.	Luonto on pohjoisessa melko niukkaa.	Biolo oo in nor rafli ylipriva.
Nature in the south is more lush than in the north.	Luonto etelässä on rehevämpää kuin pohjoisessa.	Biolo oo in ron pirieppir il in nor.
On our right side were also Finns.	Meidän oikealla puolellamme istui myös suomalaisia.	La vel sid ajsi siiten ali finjosi.
Where do we need to turn, to the right?	Minne meidän on käännyttävä, oikealleko?	Kotu ajsi piit auttöön, le velko?
Go straight and then left!	Menkää suoraan ja sitten vasemmalle!	Tuu jasi reili a itne tu lev!
Your room is straight ahead and then left.	Huoneenne on suoraa käytävää eteenpäin ja sitten vasemmalle.	Jasiof tolik oo luvi reiva tuotolik eddir a itne tu lev.
Your place is on the left.	Paikkanne on vasemmalla.	Jasiof lo oo la lev.
Wait for me on the left side of the entrance!	Odottakaa minua sisäänkäynnin vasemmalla puolella!	Obnoo jasi aj la lev inuttuo!
Let's go across the street.	Mennään toiselle puolelle katua.	Tuuta le tua sid tauntul.
There is a department store on this side and a museum on the other side.	Tällä puolella on tavaratalo ja tuolla puolella museo.	Täla sid oo fätotol a ätla sid oo undatol.
We went in the wrong direction.	Lähdimme väärään suuntaan.	Ajsi urtuuen tu tarva dir.
You have to go the other way.	Teidän on mentävä toiseen suuntaan.	Jasi piit tuu tua dir.
Get away!	Väistykää syrjään!	Autoburtuu jasi tu sidlo!
Look back, there is a beautiful building behind!	Katso taaksepäin, takana on kaunis rakennus!	Kaa ja kadedir, kade oo kava tol.
Right in front of you is the statue of Pushkin.	Suoraan edessänne on Puskinin patsas.	Reili kaed jasi oo Puskin kaukavto.
Their room is opposite.	Heidän huoneensa on vastapäätä.	Häsiof tolik oo ögdir.
PUTTING # TAKING	PANEMINEN # OTTAMINEN	PAATE # AAPTE
Where did you put my pen?	Mihin sinä pistit kynäni?	Kotu ja paaen ajof kirvo.
Put / Put the money in your pocket!	Pistä / Pistäkää rahat taskuun!	Paa ja / paa jasi rovsi intu vatinbäg!
goods on the table	tavarat pöydälle	oftosi le laos
book under the pillow	kirja tyynyn alle	kirto alle makpäalos
Put the books in the closet!	Pistä kirjat kaappiin!	Paa kirtosi intu gabos!
bag under the table	laukku pöydän alle	bäg alle laos
Take that chair!	Ota tuo tuoli!	Aap ja ät sitos!
Was your ticket already taken?	Otettiinko sinulta jo lippu?	Aapentako ut ja ripnen tupapr?
Who took the book off the table?	Kuka otti kirjan pöydältä?	Kojo aapen kirto el laos.
I'll take those books off the table.	Korjaan (vien) vielä nuo kirjat pois pöydältä.	Aj pirnen gaa ätsi kirtosi yr laos.
Do you collect stamps?	Keräättekö Te postimerkkejä?	Kaapko Jasi pagatmarksi?
PLANT, ANIMAL	KASVI, ELÄIN	EP, PE
Put the flowers in the vase!	Pistä kukat maljakkoon!	Paa kuksi intu kukves!
Are those living flowers?	Ovatko nuo eläviä kukkia?	Ooko ätsi eeva kuksi?
Oh how many flowers!	Voi kuinka paljon kukkia!	Voi koli piri kuksi!
Siren and rose bushes are everywhere.	Kaikkialla on sireeni- ja ruusupensaita.	Kila oo sirenkuk- a roskukpupsi.
She likes to pick berries.	Hän poimii mielellään marjoja.	Hä utkaap hamili bersi.
Last year we picked a lot of berries.	Viime vuonna poimimme paljon marjoja.	Edva jän ajsi utkaapen piri bersi.
Do you have pets / domestic animals?	Onko teillä lemmikkieläimiä / kotieläimiä?	Oofko jasi rapesi / balpesi.
There are a lot of birds here.	Täällä on paljon lintuja.	Täla oo piri sifsi.
MEAL	ATERIA	EMOB
Let's go out to dinner!	Mennään syömään illallista!	Tuuta eem ennatem!
I'm hungry, let's go out to dinner.	Minun on nälkä, lähdetään syömään illallista.	Aj oof emnid, urtuuta eem ennatem.
We were invited to dinner.	Meidät kutsuttiin päivälliselle.	Ajsi tukooenta le tanem.
Have you already eaten breakfast today?	Oletteko jo syöneet aamiaista tänään?	Ooenko jasi ripnen eemen entanem tätanna?
May I ask at the table?	Saanko pyytää pöytään?	Aafko ja teaaf tu laos?
Sit down at the table!	Istuutukaa pöydän ääreen!	Autsiit jasi tuttu laos!
Please sit down at the table!	Olkaa hyvät ja istuutukaa pöytään!	Oo jasi hava a autsiit tu laos!
Please eat!	Olkaa hyvä ja syökää!	Oo jasi hava a eem!
Enjoy your meal!	Hyvää ruokahalua!	Hava emofra!
I do not have an appetite.	Minulla ei ole ruokahalua.	Aj ej oof emofra.
I eat a little in the mornings.	Aamuisin syön vähän.	Na entansi aj eem ipri.
Taste the cake!	Maistakaa kakkua!	Emfii jasi kakem!
Is it tasteful?	Onko se hyvänmakuista?	Ooko it haemfiva?
Would you give bread and salt!	Antaisitteko leivän ja suolan!	Faaifko jasi bekem a kusmo!
Russian mustard is hot and tasty.	Venäläinen sinappi on tulista ja maukasta.	Rusva sinapfiem oo bönva a emhava.
Don't take so much pepper, it's strong.	Älä ota niin paljon pippuria, se on väkevää.	Ej aap ja itli piri piprfiem, it oo pomova.
I dropped my spoon, could you bring a clean one instead?	Pudotin lusikkani, voisitteko tuoda puhtaan tilalle?	Aj palyyen emvo, vooifko jasi aag klinva for sij?
What was for dinner?	Mitä oli illalliseksi?	Ko ooen for ennatem.
Dinner did not taste good.	Päivällinen ei maistunut hyvältä.	Tanem ej autemfiien hava.
Everyone ate dinner with good appetite.	Kaikki söivät päivällisen hyvällä ruokahalulla.	Ki eemen tanem vi hava emofra.
COOKING	RUOANVALMISTUS	EMTOOTE
Where's the hostess of the house?	Missä talon emäntä on?	Koin tolof emäm oo?
In the kitchen preparing dinner.	Keittiössä valmistamassa illallista.	In kulo toonen ennatem.
Who does make your dinner?	Kuka teillä valmistaa päivällisen?	Kojo la jasi too tanem?
Usually, Mom makes us dinner.	Tavallisesti äiti keittää meillä päivällisen.	Resili am kuu la ajsi tanem.
You can cook delicious food!	Osaatte valmistaa maukasta ruokaa!	Jasi davoo too emhava em!
Could you give me a recipe for this food?	Voisitteko antaa tämän ruoan reseptin?	Vooifko jasi faa tä em molida?
Don't put a lot of salt!	Älkää panko paljon suolaa!	Ej paa piri kusmo!
The table has shallow and deep plates.	Pöydällä on matalia ja syviä lautasia.	La laos oo pidva a dipva leivessi.
Could you bring a napkin!	Voisitteko tuoda lautasliinan!	Vooifko jasi aag leivesvat!
Put the bottle in the refrigerator!	Pistä pullo jääkaappiin!	Paa botl intu kalmgabos!
SOUPS, DESSERT	KEITOT, JÄLKIRUOKA	KUEMSI, DE-EM
Would you buy a jar of jam and a jar of mayonnaise!	Ostaisitko hillopurkin ja purkin majoneesia!	Ääfifko ja suittsel leibotl a leibotl majonem.
Oatmeal can be taken for breakfast.	Aamiaiseksi voi ottaa kaurapuuroa.	For entanem voo aap outspurem.
What do we take for soup, fish soup, borscht or cabbage soup?	Mitä otamme keittoruoaksi, kalasoppaa, borstsia vai kaalikeittoa?	Ko ajsi aap for kuem, fiskuem, borts-kuem taj käpep kuem.
I already ate a plate of soup.	Söin jo lautasellisen keittoa.	Aj eemen ripnen leivesri kuem.
For dessert we will have a fruit drink.	Jälkiruoaksi otamme hedelmäjuoman.	For de-em ajsi aap hedvem.
Can I have two servings of ice cream?	Saisinko kaksi annosta jäätelöä?	Aafifko aj du riem kalmem?
Do you like chocolate ice cream?	Pidättekö suklaajäätelöstä?	Öbraako jasi suklem-kalmem ?
PASTRY	LEIVONNAISET	BEKTOSI
Is the bread fresh?	Onko leipä tuoretta?	Ooko bekem fresva?
Want a cheesecake?	Haluatteko juustovoileivän?	Ofraako jasi tsisem-laobekem?
I'll take a sausage sandwich.	Minä otan makkaravoileivän.	Aj aap lumitto laobekem.
You have very soft bread / crispbread	Teillä on hyvin pehmeää leipää / näkkileipää	Jasi oof hali makva bekem / tovtinbekem.
What kind of cake do you want?	Millaisen leivoksen Te haluatte?	Kova bekem Jasi ofraa?
Do you like whipped cream cakes?	Pidätkö kermavaahtoleivoksista?	Öbraako jasi lafätbolvom bekemsi?
Take it!	Ottakaa!	Aap jasi!
The cake is really good.	Kakku on oikein hyvää.	Kakem oo ratli hava.
The cake tastes really good.	Kakku maistuu oikein hyvälle.	Kakem autemfii ratli hava.
MAIN COURSE	PÄÄRUOKA	PÄEM
Should be taken as a main course fried or cooked meat?	Otetaanko pääruoaksi paistettua vai keitettyä lihaa?	Aaptako for päem fraiien taj kuuen mit?
Let's take beef and rice!	Otetaan naudanlihaa ja riisiä!	Aapta amuupemit a risvilep?
What kind of sausage do we take, smoked or doctor's?	Mitä makkaraa otamme, savustettua vai tohtorinmakkaraa?	Ko lumitto ajsi aap, smokvaaren taj gudavjo lumitto?
Let's take frankfurters and cabbage!	Otetaan nakkeja ja kaaleja!	Aapta iplumittosi a käpepsi!
Let's take the steak with side dishes!	Otetaan pihvi lisukkeilla!	Aapta fraimitto vi piremsi!
May I have a back roast with side dishes?	Saisinko takapaistin lisukkeilla?	Aafifko ja kadefraimit vi piremsi?
The very best cutlets are the cutlets by Kiev.	Kaikkein parhaimmat kotletit ovat kotletit kiovalaisittain.	Kiob hast kutmitsi oo kutmitsi kiovli.
Very tasty fish here.	Täällä on hyvin maukasta kalaa.	Täla oo hali emhava fis.
Have you tasted shashlik, kebab?	Oletteko maistaneet saslikkia, kebabbia?	Ooko jasi emfiien saslikem, emfimit?
Saslik is my favorite food.	Saslikki on mieliruokaani.	Saslikem oo ajof miem.
What's with Saslik, chives?	Mitä saslikin kera on, ruohosipuliako?	Ko vi saslikem oo, uponjepko?
What vegetables do you have?	Mitä vihanneksia teillä on?	Ko grinemsi jasi oof?
DRINKS	JUOMAT	VEMSI
What do we take for a drink?	Mitä otamme juomaksi?	Ko ajsi aap for vem?
Do you want a glass of water?	Haluatteko lasin vettä?	Ofraako jasi glavesri vam?
Finns drink a lot of milk.	Suomalaiset juovat paljon maitoa.	Finjosi veem piri milk.
Drink a cup of tea!	Juodaan kuppi teetä!	Veemta kapri teavem!
I don't like sweet tea.	En pidä makeasta teestä.	Aj ej öbraa suitva teavem.
Do you take tea with lemon?	Otatteko teetä sitruunan kera?	Aapko jasi teavem vi sitrunhed.
The carriage attendant brought hot tea.	Vaunupalvelija toi kuumaa teetä.	Tutolik seerjo aagen läkva teavem.
Do you like black coffee or with milk?	Pidätkö mustasta kahvista vai maidon kanssa?	Öbraako jasi tivva kofvem taj vi milk?
Let's have coffee with cream!	Otetaan kahvia kerman kanssa!	Aapta kofvem vi lafät!
I drink coffee without sugar.	Juon kahvin ilman sokeria.	Aj veem kofvem ejli sukmo.
Do you have fruit juice?	Onko teillä hedelmämehua?	Oofko jasi hedmehvem?
Could you bring me another glass of juice!	Toisitteko minulle vielä lasin mehua!	Aagifko jasi tu aj pirnen glavesri mehvem!
Let's still take mineral water!	Otetaan vielä mineraalivettä!	Aapta pirnen kammovam!
Let's take a bottle of lemonade!	Otetaan pullo limonadia!	Aapta botl kähapvem!
It's home-brewed beer.	Se on kotikaljaa.	It oo bal vilalkvem.
Beer is a traditional Russian drink.	Kalja on perinteinen venäläinen juoma.	Vilalkvem oo enliova rusva vem.
Have you tasted mead?	Oletteko maistaneet simaa?	Ooko jasi emfiien simvem?
Please give the vegetable steak!	Olkaa hyvä ja antakaa kasvispihvi!	Oo jasi hava a faa fraiepemto
Would you please bring the bill!	Toisitteko laskun!	Aagifko jasi pitrovri!
What is the name of this drink?	Minkä nimistä tämä juoma on?	Ko ersava oo tä vem?
He's intoxicated.	Hän on juovuksissa.	Hä oo alkräjmuuen.
EATERY, A PLACE TO EAT	RUOKAPAIKKA	EMLO
Let's go bite something small to the bar!	Mennään haukkaamaan jotain pientä baariin!	Tuuta biit ö ipva tu fäfemlo!
Let's go sit in the cafe for a while!	Mennään vähän istumaan kahvilaan!	Tuuta ipri siit intu kofvemlo!
Hey guys, let's just sit in the cafe!	Hei kaverit, mennään vähän istumaan kuppilaan!	Hai vijosi, tuuta ipri siit intu kupvemlo!
Which restaurant specializes in national cuisine?	Missä ravintolassa valmistetaan kansallisia ruokalajeja?	Koin roemlo toota hyjva emvaiksi?
The restaurant is still closed.	Ravintola on vielä kiinni.	Roemlo oo pirnen puo.
This table is reserved.	Tämä pöytä on varattu.	Tä laos oo reesen.
The rightmost table is reserved.	Laitimmainen pöytä on varattu.	Dimlost laos oo reesen.
There is a free seat over there.	Tuolla noin on vapaa paikka.	Ätla oo friva lo.
In general, you can eat well here.	Yleensä täällä voi syödä hyvin.	Tihna täla voo eem hali.
This is a first class restaurant.	Tämä on ensimmäisen luokan ravintola.	Tä oo isva paersio roemlo.
Do we have some hot food?	Otammeko jonkin lämpimän ruoan?	Aapko ajsi ö lakva em?
Miss, would you bring the menu!	Neiti toisitteko ruokalistan!	Nuäm aagifko jasi emlurik!
He always eats dinner in the canteen.	Hän syö päivällistä aina ruokalassa.	Hä eem tanem kina in emlo.
VISION	NÄKÖ	VOKA
Do you have good eyesight?	Onko sinulla hyvä näkö?	Oofko ja hava voka?
He's been wearing glasses for a long time.	Hänellä on ollut jo kauan silmälasit.	Hä oo oofen ripnen luna kaevglasi.
Usually he has glasses.	Tavallisesti hänellä on silmälasit.	Resili hä oof kaevglasi.
He is nowhere to be seen.	Häntä ei näy missään.	Hä autkaa ejkolo.
The sun came out.	Aurinko tuli näkyviin.	Aurlo uuten tu autkaava.
Oh how beautiful!	Voi kuinka kaunista!	Voi koli kava!
It's so beautiful here!	Täällä on niin kaunista!	Täla oo itli kava!
We admired it for a long time.	Ihailimme sitä kauan.	Ajsi fainkaaen it luna.
I can watch it all night.	Voin kokonaisen illan katsella sitä.	Aj voo kiova ennat sikaa it.
What are you wondering?	Mitä te ihmettelette?	Ko jasi voejhäpkaa?
Who does he look like?	Kenen näköinen hän on?	Kojo livokava hä oo?
I think he looks like his father.	Minun mielestäni hän on isänsä näköinen.	Ob ajof mi hä oo livokava häof ma.
Could you show me that book!	Näyttäisittekö minulle tuota kirjaa!	Tekaaifko jasi aj ät kirto!
ATTENTION	HUOMIO	OBTARK
Can you show me?	Voitteko näyttää minulle?	Vooko jasi tekaa aj?
Pay attention to that house.	Kiinnittäkää huomiota tuohon taloon.	Ruu jasi obtark tu ät tol.
He doesn't notice anyone.	Hän ei huomaa ketään.	Hä ej satvokaa kojo.
Didn't you notice anything?	Ettekö huomanneet mitään?	Ejko jasi satvokaaen ö?
He doesn't notice anything that happens around him.	Hän ei huomaa mitään, mikä tapahtuu ympärillä.	Hä ej satvokaa ö, ko hääp raula.
What are you looking for?	Mitä te etsitte?	Ko jasi seek?
We were looking for you everywhere.	Etsimme teitä kaikkialta.	Ajsi seeken jasi kiel.
I've lost my room key.	Olen hukannut huoneeni avaimen.	Aj oo keseejen ajof tolik lukvo.
COLORS	VÄRIT	KÄSI
What color of hair does he have?	Minkä värinen tukka hänellä on?	Ko käva päsiheör hä oof?
The color of the Black Sea?	Musta meri on väriltään?	Ko Tivva Fovamlo oof kä?
Its color often varies.	Sen väri vaihtelee usein.	Itof kä siermuu sina.
There was only white snow around.	Ympärillä oli vain valkoista lunta.	Raula ooen erisli vitva lum.
He has dark eyes.	Hänellä on tummat silmät.	Hä oof takkäva kaevsi
Do you take dark or light bread?	Otatteko tummaa vai vaaleaa leipää?	Aapko jasi takkäva taj katkäva bekem?
She loves light suits.	Hän pitää vaaleista puvuista.	Hä öbraa katkäva rovatsi.
He came in a blue suit.	Hän tuli sinisessä puvussa.	Hä uuten in bluva rovat.
You have blue eyes, blue like the sky.	Sinulla on siniset silmät, siniset kuin taivas.	Ja oof bluva kaevsi, bluva li yllo.
See how she's tanned!	Katso, kuinka hän on ruskettunut!	Kaa ja, koli hä oo braumuuen!
LIGHT	VALO	KAT
Would you turn on the light!	Pistäisittekö valon päälle!	Paako jasi kat ry!
Can I turn on the light?	Saako sytyttää valon?	Aafko tenöböön kat?
Turn off the light!	Sammuta valo!	Teönböön ja kat!
It's already bright.	On jo valoisaa.	Oo ripnen katva.
In June, Finland has bright summer nights.	Kesäkuussa Suomessa on valoisat kesäyöt.	Na sikhyn in Finlo oo katva lakno natsi.
It's getting dark.	Tulee jo pimeää.	Uut ripnen takva.
It's already dark.	On tullut jo pimeä.	Oo uuten ripnen takva.
Let's go into the shadows!	Mennään varjoon!	Tuuta intu katyvlo!
ATTRACTIONS	NÄHTÄVYYDET	VOKAAVAOSI
Do you go sightseeing?	Lähdetkö kiertoajelulle?	Urtuuko ja tu raukatuo?
Children can be taken on a sightseeing tour.	Kiertoajelulle voi ottaa lapset mukaan.	Tu raukatuo voo aap ipmämsi vi.
Were you on an excursion?	Olitteko te retkellä?	Ooenko jasi la iprotuo?
Who will take us on an excursion?	Kuka vie meidät retkelle?	Kojo gaa ajsi le iprotuo?
Where is our guide?	Missä meidän oppaamme on?	Koin ajsiof tudaavjo oo?
Do you happen to know where Hermitage is?	Satutteko tietämään, missä on Eremitaasi?	Saatko jasi daa, koin oo Eremitas?
Would love to visit the zoo.	Haluttaisi käydä eläintarhassa.	Ofraaif uttuu in pekalimlo.
They went to the museum.	He lähtivät museoon.	Häsi urtuuen intu undatol.
Let's go to the museum on Monday!	Mennään maanantaina museoon!	Tuuta na batan intu undatol.
On Mondays the museum is closed.	Maanantaisin museo on kiinni.	Na batansi undatol oo puo.
We've been to this museum for once.	Olemme jo kerran olleet tässä museossa.	Ajsi oo ripnen isna ooen in tä undatol.
What attractions / sights did you see in St. Petersburg?	Mitä nähtävyyksiä näitte Pietarissa?	Siko vokaavaosi jasi vokaaen in Petersburg?
There are many architectural monuments in St. Petersburg.	Pietarissa on paljon rakennustaiteen muistomerkkejä.	In Petersburg oo siri tolkav sömarksi.
There are many fine museums in St. Petersburg.	Pietarissa on paljon hienoja museoita.	In Petersburg oo siri väkava undatolsi.
In the middle of the Palace Square is the Alexander Pillar.	Keskellä Palatsiaukiota on Aleksanterin pylväs.	Midin Karotol ouptaunlo oo Aleksander poul.
We were at the show yesterday.	Olimme eilen näyttelyssä.	Ajsi ooen edtanna in tekahäp.
What did it look like?	No miltä näytti?	Noa kova oblikaaen?
Here you have a wonderful view.	Täältä on ihana näköala.	Täut oo väkava vokaleilo.
We saw a lot this month.	Näimme paljon tämän kuukauden aikana.	Ajsi vokaaen siri na tä hyn.
We were in Gork Culture and Recreation Park.	Olimme Gorkin kulttuuri- ja lepopuistossa.	Ajsi ooen in Gork lie- a ettaunpul.
Did you go to Isaac's (cathedral) church?	Kävittekö Iisakin (tuomio-) kirkossa?	Uttuuenko jasi in Isak (roustol) ustol?
Were you in the pioneer palace?	Olitteko pioneeripalatsissa?	Ooenko jasi in edklirteejo karotol.
Have you already been to the Red Square?	Oletteko jo olleet Punaisella torilla?	Ooko jasi ripnen ooen la Redva ouptaunlo?
Lenin's Mausoleum is located on the Red Square.	Leninin mausoleumi sijaitsee Punaisella torilla.	Lenin eönjosötol loo la Redva ouptaunlo.
HEARING, SOUND	KUULO, ÄÄNI	VOHÖ, HÖ
Are you listening to me?	Kuunteletko minua?	Höörko ja aj?
I hear badly, ear aches.	Kuulen huonosti, korvaa särkee.	Aj vohöö ahvoli, vohöev siahfii.
There is such a loud noise that it sounds bad.	On niin kova melu, että kuuluu huonosti.	Oo itli kamva ahhö, syt authöö ahvoli.
At night we hear the noise of the sea.	Öisin kuulemme meren kohinaa.	Na natsi ajsi vohöö fovamlo kohhö.
She's getting used to the noise.	Hän tottuu pikkuhiljaa meluun.	Hä liafvoo ipri vy ipri ög ahhö.
There's a noise here that I can't sleep.	Täällä on sellainen meteli, etten saa nukutuksi.	Täla oo itva joahhö, syt aj ej aaf nuuk.
It became totally quiet	Tuli aivan hiljaista.	Uuten fulli öhva.
Quiet / slow good will come.	Hiljaa / hitaasti hyvää tulee.	Öhli / ponli hava uutne.
He has a good singing voice.	Hänellä on hyvä lauluääni.	Hä oof hava hösa hö.
He has a low voice.	Hänellä on heikko ääni.	Hä oof opva hö.
SMELL # ODOR	HAJU # TUOKSU	LEMS # SMEL
smell # smell good	haista # tuoksua	leems # smeel
Buy perfume for your wife!	Osta vaimollesi hajuvettä!	Ääf ja for jaof viäm smelvam.
SENSE	TUNTO	VOFIO
Do you feel hot, cold, pain?	Tunnetko kuumaa, kylmää, kipua?	Vofiiko ja läkva, kalva, ahfi?
BALANCE	TASAPAINO	TALHEVRI
The sense of balance is in the ears	Tasapainoaisti on korvissa	Talhevri senev oo in höevsi.
I felt dizzy when in the semicircular canal of the ear, the crystal may have stuck in a thick liquid.	Minua huimasi, kun korvan kaarikäytävissä kide ehkä jumittui sakeaan nesteeseen.	Aj heuhiiren, na in höev kaulevtul kid mejli autyvruuen in yytva vom.
I've done movements advised by the doctor.	Olen tehnyt lääkärin neuvomia liikkeitä.	Aj oo tee-en diterjo lisaaen uosi.
Now I'm back in shape, and I do not feel seasick.	Nyt olen taas kunnossa, enkä tunne itseäni merisairaaksi.	Nen aj oo pirnen hastana, a aj ej vofii aut fovamlo retva.
COMPULSION, NEED, FREEDOM	PAKKO, TARVE, VAPAUS	PIT, NID, FRIVAO
Have to go there still again.	Täytyy vielä kerran mennä sinne.	Piit pirnen isna tuu itle.
You must have a permit card.	Teillä täytyy olla lupakortti.	Jasi piit oof pöfakart.
I have to go already.	Minun on jo mentävä.	Aj piit ripnen tuu.
We already have to go home.	Meidän on jo mentävä kotiin.	Ajsi piit ripnen tuu tu bal.
DO NOT TOUCH WITH HANDS!	EI SAA KOSKEA KÄSIN!	EJ AAF OBTAAT VY PAVESI!
I am not allowed to swim.	Minun ei saa uida.	Aj ej aaf vuu.
Why do you need a cleaner?	Miksi tarvitsette siivoojaa?	Kosy jasi niid lokliinjo?
Do you need a pencil?	Tarvitsetko lyijykynää?	Niidko ja moCkirvo?
No, I need a pen.	En, tarvitsen täytekynää.	Ej, aj niid fultokirto.
This is a very important point.	Tämä on hyvin tärkeä seikka.	Tä oo hali curova öso.
It's no longer important to me.	Se ei ole enää tärkeää minulle.	It ejpirnen oo curova for aj.
It is most important, that everyone is healthy.	Tärkeintä on, että kaikki ovat terveitä.	Curost oo, syt ki oo terva.
We were asked for explanations.	Meiltä vaadittiin selityksiä.	Ut ajsi teniidenta klirsasi.
