VosaTevos	Finnnish	English
ersaa	nimetä	appoint; designate; name; nominate
ersaaejva	nimeämätön	undesignated; unnamed
ersaaen	nimeltään; nimetty	called; designated; named
ersaate	nimeäminen	designating; naming
ersaejjo	anonyymi	anonym
ersaejva	nimetön; anonyymi	unnamed; untitled; unidentified; nameless; anonymous
ersaejvao	nimettömyys	anonymity
ersafa	nimitys	appellation; appointment; denomination; designation; naming; nomination
ersafaa	nimittää	appoint; nominate; name; entitle; denominate
ersafaaen	nimitetty	appointed; appointee; nominated
ersafaajo	nimittäjä	denominator
ersafaate	nimittäminen	appointing; appointment; nominating
ersaka	logo	logo
ersakir	nimikirjoitus	autograph; signature
ersakroos	ristiä	christen
ersali	nimellisesti	nominally
ersalurik	nimilista; nimiluettelo	roster
ersanökirka	nimikirjain	initial
ersanökirkasi	nimikirjaimet	initials
ersaob	nimikko	title
ersaro	nimellisarvo	nominal value; par; par value
ersaservö	nimipalvelin	name server
ersasö	nimimuisti	memory for names
ersatan	nimipäivä	name day
ersava	nimellinen; niminen	nominal; of name; titular
ersihökau	fuuga	fugue
ersop	eripura	variance; disagreement; discord; discordance; dissension; disunion; friction
ersopva	eripurainen	disparate
ersopvao	eripuraisuus	variance; friction
ersopvao syyva	eripuraisuutta aiheuttava	divisive
ertuhäp	jäähyväiset	farewell
ertuhäp rono	jäähyväisjuhla	farewell party
ertuhäp ushösa	jäähyväisvirsi	farewell hymn
ertuo	eroaminen; ero	resignation; severance; secession; retirement; divergence; divorce; parting; departure; quitting
ertuu	erota	divorce; split up; separate; resign; diverge; disagree; breakup; break up; break apart; secede
ertuuen	eronnut	divorced
ertuut	poiketa kylään	drop in; pop in
ertypva	erityyppinen	different type
erur	eroon	rid; rid of
erurpaa	erottaa	disassociate; separate; dissociate
erurpaaejli	erottamattomasti; erotuksetta	indiscriminately; inextricably; inseparably
erurpaaejva	erottamaton	inseparable; not separable
erurpaaen	erotettu	separated
erurpaate	erottaminen	expulsion; sacking; discharge; separation
erurpaava	erottava	separating
erurpaavo	erotin	delimiter; isolator; separator
erusvijosio	eriseura	heresy
erusvijosiova	eriseurainen	heretic
eruu	eritä	part; excrete
eruuva	eriävä	divergent; dissenting; differing
erva	erilainen; erilaisia	different; differential; differing; disparate; dissimilar; diverse; varied; various
ervao	erilaisuus	difference; dissimilarity; diversity
ervaosi	erityispiirteet	peculiarities
ervaova	uniikki	unique
ervisemjo	heteroseksuaali	heterosexual
ervisemva	heteroseksuaalinen	heterosexual
ervisemvao	heteroseksuaalisuus	heterosexuality
ervoka	erotus	distinction
ervokaa	erottaa	distinguish; descry; discern
ervokaaejva	erottamaton	undistinguishable; inextricable; indistinguishable
ervokaava	erottava	differentiating; distinguishing
ervokavote	erottelukyky; erotuskyky; resoluutio	discernment; discrimination; resolution
erväl	erotus	discrepancy; disparity; differentiation; difference
erväl-	erotus-	differential
ervälrerilika	differentiaaliyhtälö	differential equation
ervälrisoote	differentiaalilaskenta	differential calculus
ervälsiritejö	erotuskerroin	differential coefficient
eröli	erityisen; erityisesti	specifically; especially; exceptionally; notably; particularly; specially
eröpadaavjo	erityisopettaja	special education teacher
eröva	erityinen; spesiaalinen	special; specific; especial
eskimjo	eskimo	Eskimo
esp	espanjan kieli	Spanish
esperant	esperanto	esperanto
espjo	espanjalainen	Spaniard
Esplo	Espanja	Spain
espva	espanjalainen	Spanish
est	eesti	estonian
estjo	virolainen	Estonian
Estlo	Eesti; Viro	Estonia
estrmo	esteri	ester
et	lepo	repose; rest
etanmo	etaani	ethane
etanolmo	etanoli	ethanol
etbal	lepokoti	rest-home
etejli	levottomasti; rauhattomasti	restlessly; uneasily
etejva	levoton; rauhaton	apprehensive; uneasy; troubled; disquieted; restless; seditious
etejvao	levottomuus; rauhattomuus	restlessness; upheaval; unrest; unease; hullabaloo; fermentation; ferment; excitement; disquiet; agitation; uneasiness
ethermo	eetteri	aether; ether
etli	levollisesti	easy
etmakleisitos	divaani	divan
etsitos	lepotuoli	recliner
ettan	lepopäivä	day of rest; Sabbath
ettaunpul	lepopuisto	rest park
etva	levollinen; rauhallinen	calm; restful
etvao	levollisuus	calm
etvälno	lepotauko	rest break
etylenmo	eteeni	ethylene
etylenmoOis	etyleenioksidi	ethylene oxide
EU	EU	EU
eugenolmo	eugenoli	eugenol
eukalyptep	eukalyptus	eucalyptus
euklideva	euklidinen	euclidean
eupösieedjo	eurokansanedustaja; Euroopan parlamentin jäsen; europarlamentaarikko	MEP; Member of the European Parliament
eurjo	eurooppalainen	European
Eurlo	Eurooppa	Europe
Eurlo pösied	europarlamentti	European Parliament
Eurlo vipö	Euroopan unioni	European Union
eurov	euro	euro
eurov ylikrov	eurokorko	euro interest rate
eurva	eurooppalainen	continental
eurvao	eurooppalaisuus	Europeanness
ev	elin	organ; body
evao	rotu; rotu-	breed; race; racial
evaoahpircuo	rotusorto	racism
evaoar	rotuviha	racial hatred; racial hostility; racism
evaobönmiijo	rotukiihkoilija	racist
evaoennamejus	rotuennakkoluulo	racial prejudice
evaohaupe	rotukoira	purebred dog
evaoli	rodullisesti	racially
evaosierpaate	rotuerottelu	racial segregation
evaova	rodullinen	racial
evaoögide	rasismi	racialism; racism
evaoögjo	rasisti	racialist; racist
evaoögva	rasistinen	racist
evarpiir	varttua	mature; grow up; grow
evhom	henki	breath
evhoom	hengittää	breathe; exhale; respire
evhoomsef	maski	mask
evhoomsefvo	hengityssuojain	respirator
evhoomte	hengitys	respiratory; wind; respiration; breathing; breath
evhoomtetorv	snorkkeli	snorkel
evhoomtul	hengitystie	airway
evhoomvö	hengityskone	ventilator
evknit	filamentti	filament
evli	orgaanisesti	organically
evmoPkusva	organofosfaatti	organophosphate
evmoylfiretva	anafylaktinen	anaphylactic
evsi	elimet	organs
evtelou	elinsiirto	transplant; transplantation; organ transplant
evtul	tiehyt	duct
evva	orgaaninen	organic
eysoknopmo	entsyymi	enzyme
eysoknopva	entsymaattinen	enzymatic
EYT errili ylva tihri	ULA erittäin korkea taajuus; VHF erittäin korkea taajuus	VHF very high frequency
eyys	animoida	animate
eyyste	animaatio; animaatio-; animointi	animated; animating; animation
eö	organismi; eliö; elollinen olento; elävä olento	living being; organism
eön	tuoni; kuoleman-; kuolema; kalma	deathly; decease; demise; reaper; death
eönahfoorte	kuolemanrangaistus	capital punishment
eönahvofi	kuolintuska	agony
eönbodev	ruumis	cadaver; corpse
eönbodevouupte	ruumiinavaus	autopsy; necropsy
eönbönlö	krematorio	crematorium; crematory
eöneaf	perimä	genome; heredity
eöneafaho	perisynti	original sin
eöneafda	perimätieto	genetic information
eöneafva	perinnöllinen	inheritable; inheriting; heritable; hereditary; patrimonial
eöneafvao	perinnöllisyys	heredity
eönejvao	kuolemattomuus	immortality; immortalization
eönhokaujo	kummitus	ghost
eönhokauu	kummitella	haunt
eönhäk	kuolinisku	deathblow
eönhäp	hautajaiset	funerals; funerary; sepulture; funeral; entombment; burial; obsequies
eönhäp ushösa	hautajaisvirsi	funeral hymn
eönhäpvigasio	hautajaissaattue	cortege
eönjo	vainaa; vainaja	dead person; late; deceased; dead man; dead body; dead; corpse; departed
eönjolo	hautapaikka	burial plot; burial site
eönjopogavo	ruumispaarit	bier
eönjosiolo	manala; tuonela	Hades; place to go after death; realm of the dead; underworld
eönjosötol	mausoleumi	mausoleum
eönjovatsi	käärinliina	graveclothes
eönjät	haaska	carrion; carcass
eönjätsi	haaskat	carrion
eönjätsif	haaskalintu	vulture
eönkutmä	viikatemies	Grim Reaper
eönli nöeen	kuolleena syntynyt	stillborn
eönlo	hauta	tomb; grave; sepulcher; sepulchre
eönlogreli	haudanvakavasti	gravely
eönlogreva	haudanvakava	grave
eönlokam	hautakivi	gravestone; headstone; tombstone
eönlokuomol	hautakumpu	burial mound
eönlomaapjo	haudankaivaja	gravedigger
eönlomol	hautausmaa	cemetery; graveyard; churchyard; burial-ground; burial ground; necropolis; burying ground
eönlosömark	hautamuistomerkki	cenotaph
eönlotolik	hautakammio	burial-chamber; tomb
eönmuhääk	kolkata	beat to death
eönne eo	kuolemanjälkeinen elämä	afterlife
eönnukos	kuolinvuode	deathbed
eönobhäp	kuolemantapaus	fatality
eönoffa	kuolonuhri	victim
eönpöcuute	kuolemantuomio	death sentence
eönreek	raadella	tear to pieces; maul
eönrek	raato	carcase
eönrekeempe	raadonsyöjä	scavenger
eönrekva	raadollinen	wretched
eönrekvao	raadollisuus	wretchedness
eönri	kuolleisuus	deadness; lethality; mortality
eönroboks	arkku; ruumisarkku	pall; casket; coffin
eönrolo	kuolinpesä	estate of deceased
eönrolo keejo	pesänhoitaja	estate manager
eönsy	kuolinsyy	cause of death
eöntenoppiirte	eutanasia	euthanasia
eöntolik	ruumishuone	charnel house; morgue; mortuary
eönvigahake	saattohoito	hospice
eönvimä	leski; leskimies	widower
eönvitva	kalmankalpea	cadaverous
eönvivev	nekroosi; kuolio	necrosis; gangrene
eönviäm	leski; leskinainen; leskirouva	widowed; widow; widow lady
eönvova	kuolevainen	mortal
eönvovao	kuolevaisuus	mortality
eönyylte	ylösnousemus	resurrection
eöpiir	kasvaa	grow; vegetate
eöpiiren	kasvanut; kasvoi; kasvaneet	grew; grown
eöpiirlo	kasvupaikka	habitat
eöpiirte	kasvaminen; kasvu	growing up; growth; vegetation
eöpiirva	kasvava; kasvullinen	growing; vegetative
eöpirnäp	syylä	wart
eöön	kuolla	deaden; decease; die; perish
eöön sy emnid	kuolla nälkään	starve
eöönejva	kuolematon	immortal; deathless
eöönen	edesmennyt; kuollut; kuoli	died; departed; dead; deceased
eöönva	kuoleva	dying; moribund
faa	antaa	endow; yield; let; administer; impart; grant; give; dispense; deal; confer; allow; allocate; allot; distribute
faa ennali	antaa ennakkoon; antaa etukäteen	give in advance
faa hypsa	langettaa kirous	maledict
faa jasi	antakaa	give it; please give
faa lisasi	antaa neuvoja	give advice
faa oo	antaa olla	let it be
faa pavetosi	antaa rukkaset	refuse
faa pö	antaa valtaa	give power
faa pöcuute	langettaa tuomio; antaa tuomio	pass judgment; pronounce judgment; sentence
faa tul	antaa tietä	give way
faa yr	antaa pois	give away
faaen	annettu; antanut; antoi	given; gave
faaif	antaisi	would give
faajo	antaja	giver; issuer
faante	hassutus	funniness
faaro	anti	emission; issuing; issue; gift; donation; issuance
faarosi	antimet	gifts
faata	annetaan	be administered; be given; is given
faatava	annettava	be given
faate	antaminen	giving
faava	antava	giving
fainide	idealismi	idealism
fainideete	idealisointi	idealisation; idealization
fainidejo	idealisti	idealist
fainideli	ihanteellisesti; ihannetapauksessa	ideally
fainideva	ihanteellinen; idealistinen; ideaali; ideaalinen	ideal; idealistic; optimal; optimum
fainkaa	ihailla	admire; look up to; excoriate; gloat
fainkaaen	ihailtu	admired; adored
fainkaajo	fani; ihailija	admirer; beau; fan; swain
fainkaajo mitesio	ihailijakerho	fan club
fainkaali	ihailevasti	admirably
fainkaate	ihailu	worship; adoration; admiration
fainkali	ihanasti	wonderfully
fainkast	ihanin	loveliest
fainkava	ihana	glorious; wonderful; marvelous; lovely; fine; fantastic; exquisite; delightful; adorable; marvellous
fainkavoli	ihailtavasti	admirably
fainkavova	ihailtava	admirable
fainob	ihanne; ihanne-	ideal; optimal
fainoob	ihannoida	idealize; sentimentalize
fainooben	ihannoitu	glorified
fainoobte	ihannointi	glorification
fanli	hassusti	funny
fanlioli	hassulla tavalla	whimsically
fanliva	hassunkurinen	funny
fanva	hassu	funny; hussy; wacky; whimsical; wussy; zany
fanvova	veikeä	kittenish; roguish
fanvovao	veikeys	funniness
fao	anto	output; delivery; issue of notes
faofur	luovutus	cession; conferral; delivery
faofurkirto	luovutuskirja	deed of conveyance
faofuur	luovuttaa	give up; transfer; alienate; renounce; turn in; hand over; extradite; deliver; cede; abdicate; give in; convey
faofuur ev	luovuttaa elin	donate an organ
faofuurejva	luovuttamaton	unalienable; inalienable
faofuurjo	luovuttaja	quitter; deliverer; donor
faofuurte	luovuttaminen	extradition
fapa	päästö	emission
fapasi	päästöt	discharges
far	kaukana	faraway; farflung; far-off; far; distant; afar; far away
far-	etä; kauko-	remote
Far Tev	Kaukoitä	Far East
faraagen	kaukaa haettu	farfetched
farao	faarao; farao	Pharaoh
farapdaavte	etäopiskelu	distance learning
farautkaa	kajastaa	shimmer
farcuteevö	manipulaattori	manipulator
fardafi	telepatia	telepathy
fardiirvö	kauko-ohjain	remote control
fareii	ojentaa	give; hand
fargaagva	kauaskantoinen	far-reaching
farhamiva	eksoottinen	exotic
farjosaa	teititellä	address formally
farjuspavö	kaukosäädin	zapper; remoter; remote controller; remote control
farkatorv	teleskooppi; kaukoputki	telescope; spyglass
farkatorvva	teleskooppinen	telescopic
farkavo	tutkain	prick; radar; scanner; strobe
farkavö	tutka	radar
farkavölo	tutka-asema	radar station
farkavöylkaate	tutkavalvonta	radar surveillance
farlak	kaukolämpö	district heating
farli	etäisesti; etänä	remotely
farmojsasi	terveiset	compliments; greetings; regards
farofra	nostalgia	nostalgia
farofrali	nostalgisesti	nostalgically
farofrava	nostalginen	nostalgic
farova	antoisa	rewarding; productive; rich; gratifying; fruitful; adequate; satisfying
farovao	antoisuus	productivity; yield
farpir	kauemmaksi; kaukaisempi	farther
farra	kaiho; kaipaus; kaipuu	hankering; languor; longing; yearning
farraa	kaihota; kaivata	desire; yearn; long for; miss
farraajo	kaipaaja	yearner
farraali	kaivaten	longing for
farrakausa	elegia	elegy
farrava	kaihoisa	wishful; wistful
farrekir	faksi; fax	facsimile; fax
farretsiob	etäpesäke	metastasis
farri	etäisyys	remoteness; distance; aloofness
farst	kaukaisin	farthest; remotest
fartekda	teletekniikka	telecommunication technology
farteo	etäkäyttö	remote access
farteoojo	etäkäyttäjä	remote user
fartusa-	tele-	tele-
fartusao	televiestintä	telecoms
fartusapiprida	telematiikka	telematics
fartusaterdä	telelääketiede	telemedicine
fartö	etätyö	remote work; telecommuting
farva	etäinen; kaukainen	aloof; distant; faraway; outdistanced; remote; removed
farvao	kaukaisuus	distance
farvidao	telekommunikaatio	telecommunication
farvokava	kaukonäköinen	farsighted
farvokavao	kaukonäköisyys	farsightedness; longsightedness
faräng	parallaksi	parallax
fasansif	fasaani	pheasant
faside	fasismi	fascism
fasidejo	fasisti	fascist
fasideva	fasistinen	fascist; fascistic
fatuu	päästää	let; release; rid
feisna	vaiheessa	at stage; in stage
feisno	vaihe	stage; step; phase
feisno voltri	vaihejännite	phase voltage
feisnoo	vaiheistaa	phase
feisnooen	vaiheittainen	phased
feisnoote	vaiheistus	phasing
feisnosili	vaiheittain	in phases; step by step
feisnova	vaiheikas	eventful
feisnoäng	vaihekulma	phase angle
fenkep	fenkoli	fennel
fenolmo	fenoli	phenol
fepoagvö	veturi	engine; locomotive; railroad engine; railway engine
feritmo	ferriitti	ferrite
FeräjmoCriipte	adusointi	bathing
fetul	rautatie	railway; railroad
fetulbar	kisko; rautatiekisko; ratakisko	rail
fetultol	rautatieasema	railway station; train station; railroad station
fetultolpäjo	asemapäällikkö	station manager
fetuvö	juna	train
fetuvöjo	junailija	conductor
fetuvöleivuvo	junalautta	train ferry
fetuvölo	asemalaituri; junalaituri	station platform; train pier
fetuvöpagaajo	junanlähettäjä	train dispatcher
fetuvörotuo	junamatka	train trip
fetuvötutolik	junanvaunu; junavaunu	railcar; railway car
fetuvövio	junayhteys	train connection
feöjo	haltia; haltija	brownie; elf; elven; elvish; fairy; sprite
feönos	keiju; keijukainen	fairy
feösa	satu	fairy tale; story for children; fairytale; fable; fictional story
feösakirto	satukirja	storybook
feösalo	satumaa	fairyland; wonderland
feösava	satumainen	fabled; fabulous; fairytale-like
fi	tunne; fiilis	feeling; sentiment; vibes; emotion; sense; sensation
fib	säie	fiber; fibre; fibril; filament; strand
fibmo	kuitu	fiber; fibre
fibmoliva	kuitumainen	fibrous
fibmova	kuituinen	fibrous
fibmuuvö	kuidutin	pulper; pulping engine; defibrator
fibrinmo	fibriini	fibrin
fibön	polte	burning
fiböönva	polttava	burning
ficuroli	tuntuvasti	appreciably; considerably; significantly
ficurova	tuntuva	appreciable
Fidslo	Fidzi	Fiji
fiejli	tunteettomasti	insensibly; insensitively
fiejva	tunteeton	callous; emotionless; impassive; insensitive; unemotional; unfeeling; unsentimental
fiejvao	tunteettomuus	insensibility; insensitivity
fieka	elämys	experience
fiem	mauste	condiment; flavoring; flavouring; seasoner; seasoning; spice
fiemjulvem	glögi	mulled wine; spiced christmas drink
fiemmo	makuaine	flavorer; flavourer; flavoring agent
fiempaa	höystää	flavor; flavour; season; spice
fiemva	mausteinen	spicy
fighed	viikuna	fig
figlif	viikunanlehti	fig leaf; figleaf
figpu	viikunapuu	fig tree
fii	tuntea	feel
fiilt	suodattaa	percolate; filter
fiiltte	suodatus	filtering; filtration
fiiltto	suodos	filtrate
fiiltvo	filtteri; suodatin; suodin	filter
fiis	kalastaa	fish
fiisjo	kalamies; kalastaja	fisherman; angler; fisher
fiiste	kalastus	fishing
fiistevuvö	kalastusalus	fishing vessel
fiitesi	tuntemiset	feelings
fikal	vilu	chill; chilliness; cold
fili	sentimentaalisesti; tunteellisesti	emotionally; feelingly; sentimentally
filipinjo	filippiiniläinen	Filipino
filistjo	filistealainen	Philistine
fin	suomen kieli	finnish
finfinjo	supisuomalainen	pure Finnish; Finnish to the core
finjo	suomalainen	Finn
finkanhöv	kantele	Finnish zither
Finlo	Suomi	Finland
finmuu	suomentaa	translate into Finnish
finmuujo	suomentaja	Finnish translator
fintsif	peippo	finch
finva	suomalainen	Finnish
finva lobol	pesäpallo	finnish baseball
finvaouidejo	fennomaani	fennoman
finvos dakaajo	fennisti	fennist
finvosva	suomenkielinen	Finnish speaking
fio	tuntemus	sensation
fioframi	paatos	pathos
fiofva	tunnepitoinen	affective; emotional; emotive
firiilte	virtualisointi	virtualization
firil	virtuaali-	virtual
firilli	virtuaalisesti	virtually
firilservö	virtuaalipalvelin	virtual server
firilva	virtuaalinen	virtual
fis	kala	fish
fisaf	kalasaalis	catch
fisafsif	kalasääski	osprey
fisap	kalanpyynti	fishing
fisaplimno	pyyntikausi	fishing season
fisapno	pyyntiaika	fishing season
fisbiitte	tärppi	bite
fisbon	kalanruoto; ruoto	fishbone; shaft; rachis; petiole; fish bone; bone; herringbone
fisbonyyr	ruotia	bone; dissect
fiseg	mätimuna	ova
fisfääjo	kalakauppias	fishmonger
fisheuvo	vaappu	plug
fishomev	kidus	gill
fishomevsi	kidukset	gills
fishuk	ongenkoukku	fishhook
fisi	tunteet	feelings; sentiments; emotions
fisiyysva	tunteita herättävä; tunteita kuohuttava	emotive; evocative
fislivevoilmo	kalanmaksaöljy	cod liver oil
fislulavamto	ongenkoho	bobber
fislustik	onkivapa	fishing rod; fish pole; fishing pole
fisluvo	onki	fishing rod
fisluvoo	onkia	angle
fisluvoojo	onkija	angler
fislö	kalakasvattamo	fish farm; fishery
fismipoag	viehe	fly; lure
fisnet	kalaverkko	fishnet
fisnetbägteafvo	kalahaavi	landing net
fisnöehedno	kutu	spawning; spawn
fisnöeheed	kutea	spawn
fispoagnet	nuotta	seine; dragnet
Fissi	Kalat	Pisces
fissiir	suomustaa	scale
fissio	kalaparvi	school of fish
fissir	suomu	scale
fissiriva	kalainen	fishy
fista	tunnelma	ambience; atmosphere
fistava	tunnelmallinen	atmospheric; full of feeling
fisteafnetos	katiska	fish trap
fisteil	pyrstö	fish tail; tail
fisurkliin	perata kaloja	gut fish
fisvoknit	siima	fishing line
fisvuve	evä	fin
fisyylos	kalaporras	fish ladder
fitelouute	transferenssi	transference
fiutva	tunneperäinen	emotional
fiv	viisi	five
fiva	tunteellinen	sentimental; emotional; maudlin
fivao	sentimentaalisuus	sentimentalism; sentimentality
fivbas	viisikymmentä	fifty
fivbasjänriva	viisikymppinen	fifty years old
fivbasrov	viisikymppinen	fifty-euro note
fivbasva	viideskymmenes	fiftieth
fivces	viisisataa	five hundred
fivces shitsi	riisi	ream
fivhyn	toukokuu	May
fivhynis	vappu	first of May
fivhynis tan	vappu	May Day; mayday
fivik	viidesosa; viidennes	fifth; one-fifth
fiv-ikva	viisiosainen	five part
fivka	viitonen; vitonen	fiver
fivli	viidesti	five times
fivlitr	kappa	pelmet
fivnova	viisinkertainen	fivefold; quintuple
fivoote	vointi	feel
fivsio	kvintetti; viisikko; kvintetto	quintet; quintette
fivva	viides	fifth
fiväng	viisikulmio	pentagon
flanvat	flanelli	flannel
flanvatva	flanellinen	flannel
flavonoidmosi	flavonoidit	flavonoids
fleik	hiutale	flake
flemjo	flaami	Fleming
flemva	flaamilainen	Flemish
flip	räpylä	mitt; flipper
fluret	flunssa	cold; flu; flub
fluretleituo	flunssaepidemia	flu epidemic
fo-	4. merkitysaste	4. degree of meaning
fob	lahko (biologiassa)	order (in biology)
fodavjo	maisteri	Msc; magister; Master of Science
foinikjo	foinikialainen	Phoenician
foj	heimo; heimo-; klaani	tribal; tribe; clan
fojpäjo	sheikki; emiiri	emir; sheik
fokspe	kettu	fox
fol	maakunta; provinssi	province
foljo	maakuntalainen	provincial
folva	maakunnallinen	provincial
fon	vuorokausi	day and night; twenty-four hours
fonokau	pluskvamperfekti	past perfect; pluperfect
fonrytm	vuorokausirytmi	circadian rhythm
fonva	vuorokautinen	diurnal
for	varten	for
for ajsi	meidän edestämme; meidän tähtemme; puolestamme	for our sake; for us; on our behalf
for de-em	jälkiruoaksi	for dessert
for fulto	täytteeksi	for filling
for fää	myytävänä	for sale
for hehob	huvikseen	for fun
for hyn	kuukaudeksi	for a month
for häsi	heille	for them
for itsi	niille	for them
for ja	sinulle	for you
for kinali	ainiaaksi	forever
for lunako	kuinka pikäksi aikaa	for how long; for how long time
for nivro	hukkaan	wasted
for no	ajaksi	for the time
for nöötesi	alkajaisiksi	for starters
for res	varalta	against
for söob	muistoksi	in remembrance of
for tä	tätä varten	for this
for vokaa	nähdäkseen	to see
for voosh	pestäväksi	be washed
for votöjosi	ammattilaisille	for professionals
foraaf	hankkia	get; obtain; attain; acquire; procure
foraaf erur	päästä eroon	get rid of
foraafen	hankittu	acquired; procured
foraafjo	hankkija	acquirer; procurer; supplier
foraafte	hankinta; hankkiminen	procuration; procurement; acquiring; acquirement; procuring; acquisition
foraafvoli	hankittavissa	procurable
foraf	hanke	endeavor; endeavour; enterprise; project; task; undertaking
forafrovpa	hankintakustannus	acquisition cost; procurement cost
forafrovpasi	hankintakustannukset	procurement cost
forafrovri	hankintahinta	acquisition cost; acquisition price
forafte	homma	job; project; task; work
foraftee	hommata	get
forafvisopto	hankintasopimus	acquisition agreement
forahfa	rangaistus	penalty; punishment; chastisement; scourge; penal
forahfa tuvehäk	rangaistuspotku	penalty kick
forahfaa	rangaista	penalize; punish
forahfaatava	rangaistava	penal; punishable
forahfaate	rankaisu	punisment
forahfaava	rankaiseva	punitive
forahfaliva	rangaistuksellinen	punitive
forahfalö	rangaistuslaitos	penitentiary
forahfano	jäähy	penalty
forfä	markkina	market
forfäaag	tuoda markkinoille	launch
forfäaagte	liikkeellelasku	launch
forfädaka	markkinatutkimus	market research
forfädiirjo	markkinajohtaja	market leader
forfähäp	markkinat	fair; sales activity
forfäikri	markkinaosuus	market share
forfälo	markkinapaikka	marketplace
forfämidlo	markkinakeskus	market center
forfäouplu	markkinarako	niche
forfärosta	markkinatalous	market economy
forfää	markkinoida	market
forfääjo	markkinoija	marketeer; marketer
forfääte	markkinoiminen; markkinointi	marketing; merchandising
forfääte iklo	markkinointiosasto	marketing department
forhaa	kelvata; olla tarpeeksi hyvä	be fit for; do; be good enough; be acceptable; be suitable
forhaejva	kelpaamaton; kelvoton	incapable; incompetent; invalid; unacceptable; unequal to; unfit; unworthy
forhafa	palkinto	premium; prize; reward; award
forhafa ipsojosio	palkintolautakunta	jury
forhafaa	antaa palkinto; palkita	award; give an award; remunerate; reward
forhafa-aafjo	palkinnon saaja	laureate
forhafaata	palkitaan	will be rewarded; be rewarded
forhafaate	palkitseminen	awarding
forhafaava	palkitseva	rewarding
forhafaylleios	palkintopalli	podium
forhali	kelvollisesti	worthily
forhasy	syystä	for good reason; justly
forhava	kelvollinen; kelpo; kelpoinen	qualified; usable; suitable; satisfactory; fit; eligible; decent; passable
forhavao	kelvollisuus; kelpoisuus	eligibility; fitness; ineligibility; validity; worthiness
forhäkpa	syöttö	pass
forhäkpaa	syöttää	serve; pass; pitch
forhäkpaajo	syöttäjä	pitcher
forkaa	vahtia	keep an eye on; watch; guard
forkaajo	vahti	guard; watch
forkaate	vahtiminen	watching
forkahaupe	vahtikoira	watchdog
forkaylvojo	vahtimestari	usher; caretaker; doorman; gatekeeper; porter
forkee	välittää	mind; care
forke-ejli	välinpitämättömästi	heedlessly; impassively; indifferently; listlessly
forke-ejva	välinpitämätön	inattentive; unmindful; unconcerned; passive; neglectful; indifferent; impassive; disinterested; blase; listless
forke-ejvao	piittaamattomuus; välinpitämättömyys	indifference; inattentiveness; unconcern; negligence; disinterest; connivance; apathy; aloofness; heedlessness; listlessness
forlopa	asennus; installaatio	fitting; installation; mounting
forlopaa	asentaa	instal; set up; plant; mount; install; fit; assemble; link
forlopaaen	asennettu	fitted; installed; mounted
forlopaajo	asentaja	assembler; fitter; installer; mechanic
forlopaate	asentaminen	installing
formaldehydmo	formaldehydi	formaldehyde
formalinmo	formaliini	formalin
fornid	tarpeen	necessary; necessitated
fornostoop	pysäköidä	park
fornostoopte	paikoitus; pysäköinti	parking
forote	toimenpide	action; measure; procedure; step
forpe-em	rehu	feed; forage; food for livestock; fodder; food for cattle
forpyhhäp	vihkiäiset	consecration; dedication; inauguration; ordination; wedding
forpyyh	pyhittää; vihkiä	devote; ordain; inaugurate; consecrate; marry; dedicate
forpyyh mu usjo	vihkiä papiksi	ordain
forpyyh tu teo	vihkiä käyttöön	inaugurate
forpyyh uslo	vihkiä kirkko	consecrate a church
forpyyhen	vihitty	consecrated
forpyyhte	pyhitys; vihkiminen	wedding; consecration; marriage; ordination
forroapva	varteenotettava	considerable; noteworthy
forsij	asemasta; asemesta; sijaan	instead of
forsippoaap	pestata väkisin	commandeer
forsoop	soveltaa	adapt; apply
forsoopejva	soveltumaton	inapplicable; unsuitable
forsoopen	sovellettu	applied
forsoopob	sovellutus	adaptation; application
forsoopta	sovelletaan	are applied
forsooptava	sovellettava	applicable
forsoopte	soveltaminen	application
forsoopva	soveltava	applied
forsoopvova	sovellettavissa	applicable
forsopleilo	soveltamisala	scope of application
forsopto	sovite	adapter
forsopva	sovelias	proper; suitable; fit; convenient; befitting; appropriate; suited
forsopvao	soveltuvuus	aptitude; feasibility; suitability
forsy	tähden	for the sake of
forsökir	muistiinpano	note; jotting; memo; memorandum; minute
forte	operaatio	operation
fortee	operoida	operate
forteeli	operatiivisesti	operatively
forteeva	operatiivinen	operative
forteob	operandi	operand
forterli	terveellisesti; terveesti	healthily; healthy
forterva	terveellinen	healthful; healthy
fortervao	terveellisyys	healthiness
forys	virike	incentive; inducement; stimulus
foryys	inspiroida	inspirit
foryysen	inspiroitunut	inspired
foryyste	inspiraatio	inspiration
fos	mega; miljoona	mega; million
fosgram	tonni	ton; tonne
fosgramsi	tonnia	tons
fosik	mikro	micro
fosikbioda	mikrobiologia	microbiology
fosikbiodajo	mikrobiologi	microbiologist
fosikdatötuovö	mikroprosessori	microprocessor
fosikdavö	mikrotietokone	microcomputer
fosikipsähda	mikroelektroniikka	microelectronics
fosikkart	mikrokortti	microfiche
fosikkavö	mikroskooppi	microscope
fosikkavöda	mikroskopia	microscopy
fosikkavöva	mikroskooppinen	microscopic
fosikkitilvao	mikrokosmos	microcosm
fosikpe	mikrobi-; mikrobi	microbial; microbe
fosikpebes	mikrobikanta	microbial strain
fosikpesiem	prebiootti	prebiotic
fosikroemmo	mikroravinne	micronutrient
fosikrostava	mikrotaloudellinen	microeconomic
