Tunniste	Englanti	Suomi	Vosa
894	Both girls are from Kiev?	Kumpikin tyttö on Kiovasta?	Dutaj nossi oo ut Kiov.
895	Can I have your address?	Saanko teidän osoitteenne?	Aafko aj jasiof tukasa?
896	Sorry to ask you a personal question.	Anteeksi, että esitän sinulle henkilökohtaisen kysymyksen.	Ahhafali, syt aj edtukaa le jasi hojoiplova koote.
897	WISH, REQUEST	TOIVE, PYYNTÖ	NERAO, TEAF
898	Would you help me!	Auttaisitteko minua!	Vyyko jasi aj?
899	Dear Maija Virtanen, could you help me?	Rakas Maija Virtanen, voisitteko auttaa minua?	Rava Maija Virtanen, vooifko ja vyy aj?
900	Hear, do you have time to help me?	Kuules, onko sinulla aikaa auttaa minua?	Vohöö ja a, oofko ja no vyy aj?
901	I would have a small request for you.	Minulla olisi Teille pieni pyyntö.	Aj oofif tu Jasi ipva teaf.
902	Can I borrow your book? You can.	Saanko lainata kirjaasi? Saat.	Aafko aj lonroaaf jaof kirto? Ja aaf.
903	Can I come in / look / ask?	Saanko tulla sisään / katsoa / kysyä?	Aafko ja intuu / kaa / koo?
904	Do you want me to take a look / skip / sit down?	Sallitteko vilkaista / mennä ohi / istuutua?	Pöfaako jasi iskaa / tuu sidut / autsiit?
905	Give me / say / give ahead, please!	Antakaa minulle / sanokaa / antakaa eteenpäin, olkaa hyvä!	Faa jasi aj / saa jasi / faa jasi eddir, oo jasi hava!
906	Please repeat / show / translate / help.	Olkaa hyvä ja toistakaa / näyttäkää / kääntäkää / auttakaa.	Oo jasi hava a dutee jasi / tekaa jasi / vosmuu jasi / vyy jasi.
907	Please wait for me / take me / wake up / escort me / stop here.	Olkaa hyvä ja odottakaa minua / viekää / herättäkää / saattakaa minut / pysähtykää tässä.	Oo jasi hava a obnoo jasi aj / gaa jasi / teönnuuk jasi / vigaa jasi aj / autstoop jasi täin.
908	After all, have you nothing against it if I smoke / open a window / open a radio.	Eihän teillä ole mitään sitä vastaan, jos tupakoin / avaan ikkunan / avaan radion.	Ejko a jasi oof ö ög it, if aj tobeep / ouup kauv / ouup hödavö.
909	I would like to smoke / shut down my computer.	Haluaisin tupakoida / sulkea tietokoneen.	Aj ofraaif tobeep / puoo davö.
910	It would be nice to go swimming / be a little outdoor.	Olisi mukava mennä uimaan / vähän ulkoilla.	Ooif hamiva tuu vuu / ipri sinituu.
911	THANK YOU	KIITOS	HAFORSA
912	Thank you! No thanks!	Kiitos! Kiitos ei!	Haforsa! Haforsa ej!
913	Thanks a lot!	Kiitoksia paljon!	Haforsasi piri!
914	Thank you very much!	Paljon kiitoksia Teille!	Piri haforsasi le jasi
915	Thank you very much.	Suuret kiitokset sinulle.	Piva haforsasi le ja.
916	Thank you for the gift / help / invitation / advice / attention / congratulations.	Kiitoksia lahjasta / avusta / kutsusta / neuvosta / huomionosoituksesta / onnittelusta.	Haforsasi ob vyo / tukoote / lisa / obtarktukaate / saksa.
917	I thank you!	Kiitän sinua!	Aj haforsaa ja!
918	Thank you for the warm welcome / service / hospitality.	Kiitän lämpimästä vastaanotosta / palveluksesta / vieraanvaraisuudesta.	Aj haforsaa ob lakva ögap / ser / vifarjoresvao.
919	I am very grateful to you.	Olen teille hyvin kiitollinen.	Aj oo tu jasi hali haforsava.
920	Let me thank you for everything.	Sallikaa kiittää teitä kaikesta.	Pöfaa jasi haforsaa jasi ob ki.
921	You're welcome!	Olkaa hyvä!	Oo jasi hava!
922	You're welcome!	Ei kestä!	Ej ögvoo!
923	No problem.	Ei hätää.	Ej ahnid.
924	APOLOGY	ANTEEKSIPYYNTÖ	AHHAFATEAF
925	Sorry, I didn't notice you!	Anteeksi, en huomannut Teitä!	Ahhafali, aj ej satvokaaen Jasi!
926	Excuse me! Forgive me!	Suokaa anteeksi! Antakaa anteeksi!	Pöfaa jasi ahhafali! Faa jasi ahhafali!
927	I apologize.	Pyydän anteeksi.	Aj teaaf ahhafali.
928	Sorry to bother / to be too late.	Anteeksi, että häiritsen / myöhästyin.	Ahhafali, syt aj cuyyv / ylnaaen.
929	Excuse me for not being able to come / I did not call / interfering with the conversation.	Anteeksi, että en voinut tulla / en soittanut / sekaannun keskusteluun.	Ahhafali, syt aj ej vooen uut / aj ej visavööen / aj vicutee visasa.
930	Don't be angry / get hurt.	Älkää olko vihainen / loukkaantuko.	Ej oo jasi arva / autmireek.
931	Dear, forgive me!	Rakas, anna anteeksi!	Rava, faa ahhafali!
932	The reason is not mine.	Syy ei ole minun.	Sy ej oo ajof.
933	It is okay.	Ei se mitään.	Ejö it oo.
934	Never mind / not serious.	Ei se haittaa / ei vakavaa.	It ej ögroo / ej greva
935	SORRY, PARTICIPATION	PAHOITTELU, OSANOTTO	AHKLIRSAATE, IKAP
936	Unfortunately I don't have time / I can't come.	Valitettavasti minulla ei ole aikaa / en voi tulla.	Ongsali aj ej oof no / aj ej voo uut.
937	I am sorry. Too bad that...	Olen pahoillani. Vahinko, että...	Aj oo ahmili. Tekas, syt...
938	Oh how sad! Damage!	Voi miten harmillista! Vahinko!	Voi koli miahcuva! Tekas!
939	What a pity!	Voi harmi!	Voi miahcu!
940	Oh, how sad!	Voi miten ikävää!	Voi koli cusorva!
941	Don't worry / be restless!	Älkää olko huolissanne / levoton!	Ej oo jasi in mike / etejva!
942	Calm down, all is going well!	Rauhoitu, kaikki menee hyvin!	Autuooh ja, ki tuu hali!
943	How terrible! My condolences!	Miten kauheaa! Otan osaa (suruun)!	Koli hirva! Aj sorikaap!
944	I am very sorry / sad about what happened.	Olen hyvin pahoillani / murheellinen tapahtuneesta.	Aj oo hali ahmili / sorva ob hääpen.
945	I feel very sorry for you!	Minun käy teitä kovasti sääli!	Aj uttuu jasi kamli hagöah
946	Allow us to express our condolences.	Sallikaa meidän lausua surunvalittelumme / osanottomme.	Pöfaa jasi ajsi kausaa ajsiof sorongsasi / sorikap.
947	PROPOSAL AND INVITATION	EHDOTUS JA KUTSU	TAJSA A TUKOOTE
948	You allow me to invite you.	Sallinette kutsua teidät.	Pöfaa mejli jasi tukoo jasi.
949	May I invite you?	Saanko kutsua teidät?	Aafko aj tukoo jasi?
950	I want to invite you to an exhibition / to visit me.	Haluan kutsua teidät näyttelyyn / luokseni vierailulle, kylään.	Aj ofraa tukoo jasi tu tekahäp / tu aj le vifaroote.
951	Wouldn't you like to get to know the city a bit / walking around the city / going somewhere.	Ettekö haluaisi vähän tutustua kaupunkiin / kävellä kaupungilla / mennä jonnekin.	Ejko jasi ofraaif ipri vikadaa taun / vetuu la taun / tuu ötu.
952	I invite you to tea / coffee / birthdays.	Kutsun sinut teelle / kahville / syntymäpäiville.	Aj tukoo ja tu teavem / kofvem / nöetansi.
953	Come and visit by driving / by walking.	Tule käymään ajaen / jalan.	Uut ja uttuu katuuli / tuveli.
954	Deviate! Pay a visit to us!	Poikkea! Vieraile meillä!	Ertuut ja! Vifaroo ja la ajsi.
955	Wouldn't like to go shopping / go to the cottage.	Etkö haluaisi käydä kaupassa / lähteä mökille.	Ejko ja ofraaif uttuu fäflo / urtuu le iptol.
956	What are you going to do, are you free tonight?	Mitä aiotte tehdä, oletteko vapaa tänä iltana?	Ko jasi nesoo tee, ooko jasi friva na tä ennat.
957	Come and visit Finland!	Tulkaa käymään Suomessa!	Uut jasi uttuu Finlo!
958	Let's go to them.	Mennään heidän luokseen.	Tuuta häsi.
959	Drop by us after dinner!	Poiketkaa meille päivällisen jälkeen!	Ertuut jasi tu ajsi ne tanem!
960	I invite you to dinner.	Kutsun teidät illalliselle.	Aj tukoo jasi tu ennatem.
961	VISITS	VIERAILUT	VIFAROOTESI
962	We invited guests.	Kutsuimme luoksemme vieraita.	Ajsi tukooen tu ajsi vifarjosi.
963	Tomorrow we will have a familiarization visit to the museum.	Huomenna meillä on tutustumiskäynti museoon.	Detanna ajsi oof vikadaate uttuo tu undatol.
964	The tour starts at 11am.	Käynti alkaa kello 11.	Uttuo nöö na novo 11. (basis)
965	It's a pity you can't come.	Sääli, ettette voi tulla.	Hagöah, syt jasi ej voo uut.
966	I simply couldn't come.	En yksinkertaisesti pystynyt tulemaan.	Aj ej isgnoli vooen uut.
967	Are you coming with a child?	Tuletteko lapsen kanssa?	Uutko jasi vi ipmäm?
968	He had to stay home.	Hänen täytyi jäädä kotiin.	Hä piiten jää in bal.
969	He's leaving for the visit.	Hän on lähdössä kylään.	Hä oo urtuunen tu vifaroote.
970	Give her flowers, she loves tulips!	Anna hänelle kukkia, hän pitää kovasti tulppaaneista!	Faa le hä kuksi, hä öbraa hali tulpkuksi!
971	Did someone knock or did I just feel like that?	Koputtiko joku vai tuntuiko minusta vain siltä?	Pokliikenko öjo taj autvofiienko aj erisli it.
972	Open the door, the doorbell is ringing!	Avatkaa ovi, ovikello soi!	Ouup ouv, ouvbel hööv!
973	Can I enter?	Saako astua sisään?	Aafko vetuu intu?
974	Someone is calling you.	Joku kutsuu teitä.	Öjo tukoo jasi.
975	Come in.	Astu sisään.	Vetuu ja intu.
976	Discard (take off) your jacket and go further!	Heittäkää (riisuutukaa) takkinne pois ja käykää peremmälle!	Heii jasi (auttaav jasi) ylluvat yr a uut jasi intupir!
977	Sit down!	Istukaa!	Siit jasi!
978	Guests went to the balcony.	Vieraat menivät parvekkeelle.	Vifarjosi tuuen le bälk.
979	I feel at home.	Tunnen olevani kuin kotona.	Aj fii oova li in bal.
980	Everyone received a gift item (keepsake) to remember.	Jokainen sai muistoksi lahjaesineen.	Ki aafen for söob tofaos.
981	Come and visit us again!	Tule toistekin taas käymään!	Uut ja na tua ipno uttuu.
982	I felt very well / I had a great time.	Viihdyin oikein hyvin.	Aj nohamiien ratli hali.
983	She often visits grandmother on vacation.	Lomalla hän käy usein isoäidin luona.	Na urtöno hä uttuu sina tut piam.
984	He visited his brother.	Hän oli kylässä veljensä luona.	Hä tutoote häof bajson.
985	GETTING AROUND	KULKEMINEN	TUUTTE
986	Could you explain how we get there?	Voisitteko selittää, miten sinne mennään?	Vooifko jasi klirsaa, koli itle tuuta?
987	Do you know?	Tiedättekö?	Daako jasi?
988	Would you say?	Sanoisitteko?	Saaifko jasi?
989	Sorry, could you tell me how to get to the national museum / railway station?	Anteeksi, voisitteko sanoa, miten pääsisi kansallismuseon luo / rutatieasemalle?	Ahhafali, vooifko jasi saa, koli aftuuif tut hyjundatol / tu fetultol?
990	How do I get near the church?	Miten pääsen kirkon luo (lähelle)?	Koli aj aftuu tut (raf) ustol?
991	How to get to the stadium?	Miten pääsee stadionille?	Koli aftuu le rouleilo?
992	Where have you come from?	Mistä te olette tulleet?	Kout jasi oo uuten?
993	How did you get here?	Miten te tänne jouduitte?	Koli jasi täle auttuuen?
994	When will you come back?	Milloin te palaatte?	Kona jasi reuut?
995	Why did you come back?	Miksi te palasitte takaisin?	Kosy jasi reuuten?
996	Are you leaving?	Oletteko poislähdössä?	Ooko jasi urtuunen?
997	She left already last night.	Hän lähti jo eilen illalla.	Hä urtuuen ripnen na edennat.
998	So he's already leaving.	Hän on siis jo lähdössä.	Hä oo syklirli ripnen urtuunen.
999	Some left and others stayed in the museum.	Toiset lähtivät ja toiset jäivät museoon.	Tuasi urtuuen a tuasi jääen in undatol.
1000	Yesterday we didn't go anywhere.	Eilen emme käyneet missään.	Edtanna ajsi uttuuen ejkolo.
1001	Still have to go down.	Täytyy vielä käydä alhaalla.	Piit pirnen uttuu lyla.
1002	The guide went ahead.	Opas kulki edellä.	Tudaavjo tuuten ed.
1003	Now go!	Nyt mentiin!	Nen tuuenta!
1004	Get out of here!	Menkää pois täältä!	Tuu jasi yr täut!
1005	He went somewhere, coming soon.	Hän meni jonnekin, tulee kohta.	Hä tuuen kotu a, uut ipne.
1006	Everyone has already come.	Kaikki ovat jo tulleet.	Ki oo ripnen uuten.
1007	I don't know if he will come.	En tiedä, tuleeko hän.	Aj ej daa, uutko hä?
1008	EXERCISE	LIIKUNTA	UUTE
1009	Do you do sports (exercise)?	Harrastatko urheilua (liikuntaa)?	Miteeko ja rou (uute)?
1010	He does gymnastics.	Hän harrastaa voimistelua.	Hä mitee pou.
1011	You have to do more sports.	Sinun on harrastettava enemmän urheilua.	Ja piit mitee pir rou.
1012	Which sport do you like?	Mistä urheilulajista Te pidätte?	Ko rou vaik Jasi öbraa?
1013	Are you going to the stadium today?	Menettekö tänään stadionille?	Tuuko jasi tätanna le rouleilo?
1014	Do you play football?	Pelaatko jalkapalloa?	Pleeko ja tuvebol?
1015	Wouldn't watch the match!	Eikö katseltaisi ottelu!	Ejko sikaaif ögtra!
1016	Yesterday was an interesting hockey match.	Eilen oli mielenkiintoinen jääkiekko-ottelu.	Edtanna ooen ruhamiva kalmraunit ögtra.
1017	In the first half, the Finns scored two goals.	Ensimmäisellä puoliajalla suomalaiset ampuivat kaksi maalia.	Na isva duikno finjosi suuten du oblosi.
1018	You have good male and female athletes.	Teillä on hyviä mies- ja naisurheilijoita.	Jasi oof hava mä- a ämroujosi.
1019	Can you swim?	Osaatteko Te uida?	Davooko Jasi vuu?
1020	He teaches the boy to swim.	Hän opettaa poikaa uimaan.	Hä padaav son vuu.
1021	She swims well.	Hän ui mainiosti.	Hä vuu erhali.
1022	Do not swim here!	Tässä ei saa uida!	Täin ej aaf vuu!
1023	It is pleasant to swim in.	Siinä on miellyttävä uida.	Itin oo mihava vuu.
1024	We were swimming in the ocean every day.	Olimme joka päivä meressä uimassa.	Ajsi ooen na ki tansi vuunen in fovamlo.
1025	I swim in the sea in summer and in the swimming pool in winter.	Uin kesällä meressä ja talvella uimahallissa.	Aj vuuen lakna in fovamlo a kalna in vuleitol.
1026	Swim to the beach already!	Uidaan jo rantaan!	Vuuta ripnen tu vamdim.
1027	I'm not going to watch competitions!	En mene katsomaan kilpailuja!	Aj ej tuu kaa vintrasi!
1028	I can't ski, my ski was broken.	En voi hiihtää, sukseni menivät poikki.	Aj ej voo lumtuvoo, ajof lumtuvosi dureeken.
1029	You can rent skis from there.	Sieltä voi vuokrata suksia.	Itel voo lonääf lumtuvosi.
1030	ground hockey, grass ball	maahockey, nurmipallo	heplo bol
1031	canoeing in Canadian canoes	melonta kanadalaiskanooteilla	vamdirvoote vy kanadva ipvuvosi
1032	TRANSPORT	KULJETUS	GAG
1033	Can I send a parcel here to Finland?	Voiko täältä lähettää paketin Suomeen?	Vooko täut pagaa päk tu Finlo?
1034	What do you carry?	Mitä te kuljetatte?	Ko jasi gaag?
1035	Where do you take those books?	Minne sinä viet noita kirjoja?	Kotu ja gaa ätsi kirtosi?
1036	Where do you carry the goods?	Minne te kannatte tavaroita?	Kotu jasi pogaa fätosi?
1037	What kind of souvenirs did you bring?	Millaisia matkamuistoja te toitte?	Kova rotuo sötosi jasi aagen?
1038	Flight attendants bring drinks.	Lentoemännät tuovat juomia.	Huemämsi aag vemsi.
1039	I am taking into the storage.	Vien säilytykseen.	Aj gaa tu palo.
1040	The mother takes the children to the kindergarten every morning.	Äiti vie joka aamu lapset lastentarhaan.	Am aag ki entanna ipmämsi tu ipmämlo.
1041	Hold me by the hand!	Pitäkää minua kädestä kiinni!	Paoo jasi aj ru pave!
1042	I'm going to pick you up in the morning.	Käyn hakemassa teidät aamulla.	Aj uttuu aag jasi entanna.
1043	He went to get tickets.	Hän meni hakemaan lippuja.	Hä tuuen aag tupaprsi.
1044	PACKAGING, LUGGAGE	PAKKAUS, MATKATAVARA	PÄKTO, ROTUO OFTO
1045	It is best to leave the goods in storage.	On parasta jättää tavarat säilytykseen.	Oo hastli tejää oftosi tu palo.
1046	I put the suitcase in the luggage compartment.	Pistän matkalaukun tavarasäilöön.	Ja paa rotuobäg intu oftopalo.
1047	The goods can be sent in bulk.	Tavarat voi lähettää pakaasina.	Oftosi voo pagaa li fetuvö oftosi.
1048	Have you already left your luggage?	Oletteko te jo jättäneet matkatavarat pakaasiin?	Ooko jasi ripnen tejääen rotuo oftosi intu fetuvö oftosi.
1049	How many kilograms of luggage can I take on an airplane?	Montako kiloa matkatavaroita voi viedä lentokoneella?	Kori disgramsi rotuo oftosi voo aag in huvö.
1050	Extra baggage has to be paid for.	Ylimääräisestä matkatavarasta on maksettava lisää.	Ob ylriva rotuo oftosi piit rovfaa pir.
1051	Don't forget your belongings on the train!	Älkää unohtako tavaroitanne junaan!	Ej öös jasiof oftosi in fetuvö.
1052	Just don't forget your bag!	Älkää vain unohtako laukkuanne!	Ej jasi erisli öös jasiof bäg.
1053	Where's my suitcase?	Missä matkalaukkuni on?	Koin oo ajof rotuobäg?
1054	You haven't mixed your suitcases, have you?	Ette kai ole sekoittaneet matkalaukkuja?	Ejko jasi oo usmejli parääjen rotuobägsi?
1055	I can't lift my suitcase.	En pysty nostamaan matkalaukkua.	Aj ej voo payyl rotuobäg.
1056	Do you need a carrier?	Tarvitsetteko kantajaa?	Niidko jasi pogaajo?
1057	How many packages do you have?	Montako kollia teillä on?	Siko päkri ja oof?
1058	What do you have in your portfolio in package?	Mitä Teillä on salkussanne / paketissa?	Ko Jasi oof in kirbäg / in päk?
1059	MAIL	POSTI	PAGAT
1060	The main post office is located on Gorky Street.	Pääposti sijaitsee Gorkin kadulla.	Päpagatlö loo la Gork tauntul.
1061	I'll go on my way to the main post office.	Minä poikkean matkalla pääpostiin.	Aj ertuut na rotuo tu päpagatlö
1062	You can send it by mail.	Voit lähettää sen postitse.	Ja voo pagaa it vy pagat.
1063	You can send a letter as collection mail (Poste restante).	Voit lähettää kirjeen poste restantena (noutopostina).	Ja voo pagaa kirgao li utagpagat.
1064	Poste restante letters are received at hatch one.	Poste restante -kirjeet saa luukulta yksi.	Utagpagat -kirgaosi aaf el ipouv is.
1065	Letters arrive quickly.	Kirjeet menevät perille nopeasti.	Kirgaosi tuu oble nopli.
1066	Drop the letter into your mailbox!	Pudota kirje postilaatikkoon!	Palyy ja kirgao intu pagatboks!
1067	You can send him a letter through me.	Voitte toimittaa hänelle kirjeen minun kauttani.	Jasi voo tuapagaa tu hä kirgao intuni ja.
1068	May I have / Buy me two envelopes, one standard	Saisinko / Osta minulle kaksi kirjekuorta, yhden tavallisen	Aafifko aj / ääf ja le aj du kirgaoseftosi, is resiva
1069	and one for air mail	ja yhden lentopostia varten	a is for hupagat
1070	one ten kopeck stamps	yhden kymmenen kopeekan merkin	is bas rusrov cesiksi mark
1071	stamped envelope	merkillä varustettu kuori	vi mark kirgaosefto
1072	postcard with stamp	postimerkillä varustetun kortin	vi pagat mark kart
1073	Make sure to write the address exactly on the envelope, do not forget the postal code.	Kirjoittakaa osoite kuoreen tarkasti, älkää unohtako postinumeroa.	Kiir jasi tukasa le kirgaosefto tarkli, ej öös jasi pagat kasiö.
1074	Did you receive a reply to the letter?	Saitteko kirjeeseen vastauksen?	Aafenko jasi ookte for kirgao?
1075	I look forward to letters from you.	Odotan kirjeitä teiltä.	Aj obnoo kirgaosi ut jasi.
1076	Who did you get the letter from?	Keneltä sinä sait kirjeen?	Kojout ja aafen kirgao.
1077	He often sends letters.	Hän lähettelee usein kirjeitä.	Hä sipagaa sina kirgaosi.
1078	TELEGRAM	SÄHKE	SÄHTUSA
1079	Perhaps I have to send a telegram.	Täytyy kai lähettää sähke.	Piit usmejli pagaa sähtusa.
1080	You can send a telegram at the telegraph.	Sähkeen voit lähettää lennättimessä.	Sähtusa ja voo pagaa in sähtusalo.
1081	May I have an international telegram form!	Saisinko kansainvälisten sähkeiden lomakkeen!	Aafifko aj hyjsicuva sähtusasi kaupapr!
1082	I would like to send a telegram, where are the forms?	Haluaisin lähettää sähkeen, missä on lomakkeita?	Aj ofraaif pagaa sähtusa, koin oo kaupaprsi.
1083	Do not use a pencil to write a telegram!	Sähkettä ei saa kirjoittaa lyijykynällä!	Sähtusa ej aaf kiir vy moCkirvo!
1084	I couldn't get my mother on the phone and so I sent a telegram.	En saanut äitiä puhelimella käsiini ja siksi lähetin sähkeen.	Aj ej tuaafen am vy visavö a itsy aj pagaaen sähtusa.
1085	I received a telegram from my parents.	Sain vanhemmiltani sähkeen.	Aj aafen ut ajof mamsi sähtusa.
1086	TRAVEL	MATKUSTAMINEN	ROTUUTE
1087	He often goes abroad.	Hän käy usein ulkomailla.	Hä sina uttuu la nihylsi.
1088	Many are interested in traveling to Russia.	Monet ovat kiinnostuneita Venäjän matkoista.	Si oo ruhamiien ob Ruslo rotuosi.
1089	Last year we traveled a whole month across Finland.	Viime vuonna me matkustelimme kokonaisen kuukauden pitkin Suomea.	Edva jän ajsi sirotuuen kiova hyn luvi Finlo.
1090	We are already counting the number of days to leave.	Me laskemme jo, montako päivää on lähtöön.	Ajsi risoo ripnen, siko tansi tu urtuo.
1091	The journey begins in March.	Matka alkaa maaliskuussa.	Rotuo nöö na trehyn.
1092	I'm already collecting stuff for the trip.	Kokoan jo tavaroita matkaa varten.	Aj viaap ripnen oftosi for rotuo.
1093	We're already in travel fever.	Olemme jo matkakuumeessa.	Ajsi oo ripnen vi rotuo läkret.
1094	Is he traveling with us?	Matkustaako hän meidän kanssamme?	Rotuuko hä vi ajsi?
1095	Do you take the train or do you fly?	Menetkö junalla vai lennätkö?	Tuuko ja vy fetuvö taj huuko ja?
1096	Going by car or on foot?	Mennäänkö autolla vai jalkaisin?	Tuutako vy tuvö taj tuveli?
1097	Where do we travel back?	Millä matkustamme takaisin?	Kovy rotuu ajsi retu?
1098	You can get there either by bus or metro.	Sinne voi mennä joko bussilla tai metrolla.	Itle voo tuu tajko vy siotuvö taj vy almoltuvö.
1099	The most convenient way is to take the subway	Kaikkein kätevintä on mennä metrolla	Kiob hapavest oo tuu vy almoltuvö.
1100	The metro is convenient especially during peak hours.	Metro on kätevä erityisesti ruuhka-aikana.	Almoltuvö oo hapaveva eröli na littustano.
1101	The route taxi is a relatively comfortable means of transport.	Reittitaksi on suhteellisen mukava kulkuväline.	Lalitul tiftuvö oo curili hamiva tuutvo.
1102	There is a direct metro line.	Sinne on suora metrolinja.	Itle oo reiva almoltuvö reituo.
1103	Comrade militia, would you say where the nearest metro station would be?	Toveri miliisi, sanoisitteko, missä täällä olisi lähin metroasema?	Vijo pöjärjo, saaifko jasi, Koin täla ooif rafst almoltuvölo?
1104	How to get to the subway?	Miten pääsee metrolle?	Koli aftuu almoltuvö?
1105	The stop is across the street.	Pysäkki on kadun toisella puolella.	Stoplo oo la tua sid tauntul.
1106	Take the trolley bus number 8 at the subway!	Metron luona nouskaa johdinautoon numero 8!	Tut almoltuvö yyl jasi tu sähsiotuvö kasiö 8!
1107	From there you can get to the subway by any means of transport.	Sieltä voi ajaa metrolle millä kulkuneuvolla tahansa.	Itel voo katuu tu almoltuvö kovy tuutvo sattaj.
1108	You can get there by subway so that you have to change.	Sinne voi mennä metrolla niin, että joutuu vaihtamaan.	Itle voo tuu vy almoltuvö itli, syt autpiit ermutuu.
1109	You can get there by bus without transfer.	Sinne voi mennä bussilla ilman siirtoa.	Itle voo tuu vy siotuvö ejli telouute.
1110	Did you go by bus or tram?	Menittekö bussilla vai raitiovaunulla?	Tuuenko ja vy siotuvö taj vy taunfetuvö?
1111	Did you come by plane or train?	Tulitteko lentokoneella vai junalla?	Uutenko ja vy huvö taj fetuvö?
1112	We went there by train but came back by boat.	Menimme sinne junalla, mutta takaisin tulimme laivalla.	Ajsi tuuen itle vy fetuvö, mut retu uuten jasi vy vuvö.
1113	Can I get a round trip ticket to Moscow!	Saanko meno-paluulipun Moskovaan!	Aafko ja tu-utpapr tu Moskov.
1114	I have a travel ticket and a seat ticket.	Minulla on matkalippu ja paikkalippu.	Aj oof rotuopapr a lotupapr.
1115	Dear travelers, move to your seats!	Hyvät matkustajat, siirtykää paikoillenne!	Hava rotuujosi, louu jasi le jasiof losi!
1116	PLACES WITH CHILDREN AND THE DISABLED	LASTEN KANSSA KULKEVIEN JA INVALIDIEN PAIKAT	VI IPMÄMSI TUUTVA A EJVOEVJOSI LOSI
1117	Is the place reserved?	Onko paikka varattu?	Ooko lo reesen?
1118	Is this place free?	Onko tämä paikka vapaa?	Ooko tä lo friva?
1119	Where are you going? Home.	Minne sinä olet matkalla? Kotiin.	Kotu ja tuu? Tu bal.
1120	He's on his way to town.	Hän on matkalla kaupunkiin.	Hä oo na rotuo tu taunlo.
1121	We have the same journey.	Meillä on sama matka.	Ajsi oof re rotuo.
1122	We traveled the same route.	Matkustimme samaa reittiä.	Ajsi rotuuen re lalitul.
1123	We're here!	Perillä ollaan!	Obla oota!
1124	Did you come with the group or alone?	Tulitteko ryhmän mukana vai yksin?	Uutko jasi vi iksio taj isvi?
1125	RAILWAY	RAUTATIE	FETUL
1126	How do I get to the station the fastest?	Miten pääsisin nopeimmin asemalle?	Koli aj aftuuif nopstli tu fetultol?
1127	Did you ask about the train schedule?	Kysyittekö junien aikataulua?	Kooenko jasi ob fetuvösi notukato?
1128	Do you have a train schedule?	Onko sinulla junien aikataulua?	Oofko ja fetuvösi notukato?
1129	The train arrives from Helsinki at 8.55.	Juna Helsingistä saapuu kello 8.55.	Fetuvö ut Helsink uut na 8.55.
1130	Express train Moscow-Kiev leaves at 14.40.	Pikajuna Moskova-Kiova lähtee kello 14.40.	Ipnafetuvö Moskov-Kiov urtuu na 14.40.
1131	Did you order a train ticket?	Tilasitko junalipun?	Tiifenko ja fetuvö tupapr?
1132	The high-speed train has soft and hard wagons.	Pikajunassa on pehmeitä ja kovia vaunuja.	In ipnafetuvö oo makva a kamva tutoliksi.
1133	Is there a restaurant car on the train?	Onko junassa ravintolavaunua?	Oofko fetuvö roemlo tutolik?
1134	He also travels there by the same train.	Hän matkustaa myös sinne samalla junalla.	Hä rotuu ali itle vy re fetuvö.
1135	Could you tell me what station the train leaves from?	Sanoisitteko, miltä asemalta juna lähtee?	Saaifko jasi, kout fetultol fetuvö urtuu?
1136	CORRIDOR TO TRAINS GOING	KÄYTÄVÄ JUNILLE, JOTKA MENEVÄT	TUOTOLIK FOR FETUVÖSI, KOSI TUU
1137	Could you tell me where is the second track?	Sanoisitteko, missä on toinen raide?	Saaifko jasi, koin oo duva fetulik?
1138	The train arrives at fifth platform.	Juna saapuu viidennelle laiturille.	Fetuvö uut le fivva fetuvölo.
1139	The train leaves from the second platform.	Juna lähtee toiselta laiturilta.	Fetuvö urtuu el duva fetuvölo.
1140	Has the train already left?	Onko juna jo lähtenyt?	Ooko fetuvö ripnen urtuuen?
1141	No, it will leave after ten minutes.	Ei, se lähtee kymmenen minuutin kuluttua.	Ej, it urtuu ne bas censi.
1142	Attention! Train 32 Moscow-Helsinki departs.	Huomio! Juna 32 Moskova-Helsinki lähtee.	Obtark! Fetuvö 32 Moskov-Helsinki urtuu.
1143	From Helsinki to Moscow it is convenient to go by train.	Helsingistä Moskovaan on kätevä mennä junalla.	Ut Helsink tu Moskov oo hapaveva tuu vy fetuvö.
1144	The wagon servant collects tickets.	Vaunupalvelija kerää lippuja.	Tutolik seerjo kaap tupaprsi.
1145	The train is approaching Moscow.	Juna lähestyy Moskovaa.	Fetuvö autrafpiir Moskov.
1146	We sat in the carriage and looked out the window.	Istuimme vaunussa ja katsoimme ikkunasta.	Ajsi siiten in tutolik a kaaen ut kauv.
1147	The wagon was completely empty.	Vaunu oli aivan tyhjä.	Tutolik ooen fulli lufva.
1148	In our wagon section there were only Finns.	Meidän vaunuosastossamme oli vain suomalaisia.	In ajsiof tutolik iklo ooen erisli finjosi.
1149	How many of you were in the wagon compartment?	Montako teitä oli vaunuosastossa?	Siko jasi ooen in tutolik iklo?
1150	He's a passenger from the same train compartment as me.	Hän on matkustaja samasta vaunuosastosta kuin minä.	Hä oo rotuujo ut re tutolik iklo li aj.
1151	We traveled in different wagons.	Matkustimme eri vaunuissa.	Ajsi rotuuen in er tutoliksi.
1152	I slept on the upper bed and my wife on the lower bed.	Minä nukuin yläpaikalla ja vaimoni alapetillä.	Aj nuuken la ylva lo a ajof viäm la alnukos.
