English	Finnish	Vosa
Bad LDL cholesterol is partially converted into good HDL cholesterol with plenty of exercise.	Huono LDL-kolesteroli muuttuu runsaalla liikunnalla osittain hyväksi HDL-kolesteroliksi.	Ahvova LDL-kolesterolmo autmuu vy siri uuteo ikli mu hava HDL-kolesterolmo.
Natural medicines are heavily advertised, presented by experts, which are claimed to cleanse the arteries of hardening.	Mainostetaan kovasti luontaislääkkeitä asiantuntijoiden esitteleminä, joiden väitetään puhdistavan verisuonet kovettumista.	Käädta kamli biototermosi na sovodajosi siedtukaaen, kosi lijesaata kliin hemogagev yr kampiirobsi.
If the claims are true, couldn't the pharmaceutical industry develop similar medicines in addition to cholesterol medicines, that would be good business for them.	Jos väitteet pitävät paikkansa, eikö lääketeollisuus voisi kehittää vastaavia lääkkeitä kolesterolilääkkeiden lisäksi, sehän olisi heille hyvä bisnes.	If lijesasi dariloo, ejko termotolövao vooif deev lireobva termosi pirobli kolesterolmo termosi, it a ooif for häsi hava fäfote.
Both medicines and natural medicines may be over-advertised.	Niin lääkkeitä kuin luontaislääkkeitä saatetaan ylimainostaa.	Itli termosi li biolotermosi meejta ylkääd.
A person with mild dementia often receives many different supplements in the mail, even the same ones from seven different companies.	Eräälle lievästi muistisairaalle tulee postista melko usein monia eri lisäravinteita jopa seitsemästä eri firmasta samojakin.	Tu ö leppoli söretjo uut ut pagat rafri sina si er pirroemmosi jea ut sev er tralösi ali reva.
Once a person has agreed to buy supplements over the phone, there is no way to stop them from coming in the mail, even though they have been sent a written cease and desist letter many times and the packages have been returned to the mail.	Kun henkilö on kerran puhelimessa suostunut ostamaan lisäravinteita, niiden tuloa postista ei saada millään loppumaan, vaikka monta kertaa on lähetetty kirjallisesti lopetus ja palautettu lähetyksiä postiin.	Na hojo oo isna in visavö hafatuuen ääf pirroemmosi, itsi uutte ut pagat aafta ejvyli öön, tajli si isnosi oota pagaaen kirli öönte a retupaaen pagasi intu pagat.
The marketing of supplements by phone should be banned by law, because it has become immoral, especially for the elderly.	Pitäisi lailla kieltää lisäravinteiden markkinointi puhelimella, koska se on riistäytynyt moraalittomaksi varsinkin ikääntyneille.	Piitif vy pöso eej pirroemmosi forfääte vy visavö, syfor it oo autofpöaapen mu cuhahejva erobli for jänriien josi.
They may come in the mail even though the person did not want to buy the supplement, messages about the termination of orders have not been received, and the customer's information has not been deleted from the supplier's database.	Saattaa tulla postista, vaikka henkilö ei ole halunnut ostaa lisäravinnetta, viestit tilausten lopetuksista eivät ole menneet perille eikä toimittajan tietokannasta ole poistettu asiakkaan tietoja.	Meej uut ut pagat, tajli hojo ej oo ofraaen ääf pirroemmo, tusavösi öb tifsi öönte ej oo tuuen oble a ej oo ut fätögaajo dabes yraapen sojo öbdasi.
I usually only use a multivitamin and mineral supplement and fish oil containing vitamins A, D, and E.	Itse käytän yleensä vain monivitamiinihivenainevalmistetta ja A-, D-, ja E-vitamiineja sisältävää kalaöljyä.	Aut aj teoo tihna erisli sieogöipipmoto a A-, D-, a E-eogömosi inoofva fisoilmo.
I have noticed how using these has had at least some effect in that I do not have such a desire to overeat, and my immunity is better also due to a varied diet.	Olen huomannut, miten näiden käyttö on ainakin jonkin verran vaikuttanut niin, ettei minulla ole niin ylensyönnin halu ja vastustuskykyni monipuolisen ravinnonkin vuoksi on parempi.	Aj oo satvokaaen, koli täsi teo oo ripstli ö liri yysen itli, syt aj ej oof itli yleemte ofra a ajof ögretvote ali syfor sisidva roemmo oo hapir.
The nutrient density of food also affects nutrient intake, so that you don't get too many calories and gain too much weight.	Ruoan ravinnetiheyskin vaikuttaa raviteiden saantiin, ettei saisi liikaa kaloreita ja lihoisi liikaa.	Em roemmotihri a yys intu roemmosi af, syt ej aafif ylri pori a fätpiirif ylri.
A plant grown with a lot of artificial fertilizers may grow in size, but the density of useful nutrients may be lower than one grown with more natural methods.	Paljon keinolannoitteilla kasvatettu kasvi voi kasvaa kokoa, mutta hyödyllisten ravinteiden tiheys saattaa olla pienempi kuin luonnonmukaisemmilla menetelmillä kasvatettu.	Piri vy te-eppirmosi haeöpiiren ep voo eöpiir pipri, mut görova roemmosi tihri meej oo ippir il vy biolipir culitesi haeöpiiren.
The body needs several different nutrients for proper functioning, not just one specific one that is overly advertised.	Elimistön hyvä toiminta tarvitsee useita eri ravinteita eikä vain jotakin tiettyä, jota ylimainostetaan.	Siev hava oteete niid sirisi er roemmosi a ej erisli ö daö, ko ylkäädta.
The body can react when it gets too much of one trace element, so that the function of another important trace element is inhibited, and excessive intake can cause health problems in long-term use.	Elimistö voi reagoida saadessaan liikaa jotakin hivenainetta, että toisen tärkeän hivenaineen toiminta estyy ja liikasaanti voi aiheuttaa pitkäaikaisessa käytössä terveyshaittoja.	Siev voo ysook na it aaf ylri ö ipipmo, syt tua curova ipipmo oteete autyyv a ylri af voo syy na lunova teo tervao ögrosi.
The ratio of nutrient intake is important; a lack of a single nutrient can prevent the functioning of the entire biochemical reaction chain.	Ravinteiden keskinäisen saannin suhde on tärkeä, jonkin yksittäisen ravinteen puute voi estää koko biokemiallisen reaktioketjun toiminnan.	Roemmosi vigögva af curi oo curova, ö isova roem ejofri voo yyv kio biokemdava ysok siviring oteete.
There are many different perceptions and claims about a diverse, good diet, some of which are individual, but each person's body language is an important indicator of the short- and long-term effects of both medicines, supplements and food on well-being, which is the sum of many factors.	Monipuolisesta hyvästä ruokavaliosta on monia eri käsityksiä ja väitteitä, ne ovat osittain yksilöllisiäkin, mutta kehon kieli itse kullakin on tärkeä indikoija niin lääkkeiden, lisäravinteiden kuin ruoankin lyhyt- ja pitkäaikaisista vaikutuksista hyvinvointiin, mikä on monen tekijän summa.	Öb sisidva hava emvaoto oo si er vosootesi a lijesasi, itsi oo ikli ali isjova, mut bodev vos aut obki oof curova ritukaajö itli öb termosi, pirroemmosi li em ulnova a lunova yssi intu halivoote, ko oo si teejösi sumri.
On the other hand, a person may be developing diseases that are asymptomatic for a long time and are only revealed through special tests.	Toisaalta ihmiseen voi olla kehittymässä sairauksia, jotka pitkään ovat oireettomia ja ne paljastuvat vasta erikoistutkimuksilla.	Tuaelli intu mäm voo oo autdeevnen retsi, kosi luna oo retmarkejva a itsi autkayvaap denen vy erlidakasi.
How could social and health care work more optimally?	Miten sosiaali- ja terveydenhoito voisi toimia optimoidummin?	Koli sos- a terstake vooif otee pirli hastvostaaen?
The elderly, the disabled, young people and children should be able to afford to provide good health care, just like those who are gainfully employed.	Ikääntyneille, vammaisille, nuorille ja lapsille pitää olla varaa antaa hyvä terveydenhoito niin kuin ansiotöissä käyville.	For jänriien josi, retkasjosi, nujosi a ipmämsi piit oo res faa hava terstake itli li in roaftösi uttuuen.
This saves on institutional care costs, which can cost around 5,000 euros per elderly person in a month.	Siinä säästää laitoshoitomenoissa, jotka voivat maksaa noin 5000 euroa vanhusta kohden kuukaudessa.	Itin ropaoo in löhake rovripsi, kosi voo rovrii sujli 5000 (fivdis) eurovsi obri unjo in hyn.
The elderly have a lot of life experience and skills that they can still give to themselves and others through volunteer work and other jobs, also earning additional income.	Ikääntyneillä on paljon elämänkokemusta ja osaamista, joita he voivat vielä antaa sekä itsensä että muiden hyväksi vapaaehtoistyönä ja muissa töissä lisäansioitakin saaden.	Jänriien oof piri eodavofi a davoote, kosi häsi voo pirnen faa a mu hava hä aut ali tuasi li friofratö a in tua tösi ali pirroafsi aafli.
The elderly are often the caregivers of those who are less well-off, which reduces society's need for institutional care, which is why it is worth keeping them in good health from a healthcare perspective.	Ikääntynyt on monesti heikompikuntoisen omaishoitajana, mikä vähentää yhteiskunnan taholta laitoshoidon tarvetta, minkä vuoksi heitä kannattaa pitää hyvässä kunnossa terveydenhoidonkin taholta.	Jänriien oo sina li oppir ofjohakeejo, ko riip ut visoslo dirsid löhake nid, ko syfor häsi rogöö paoo in hava hastana ut terhake dirsid.
More should be invested in disease prevention and screening.	Sairauksien ennaltaehkäisemiseen ja seulontaan pitäisi panostaa enemmän.	Tu retsi ennaedyyvte a pifiiltte piitif rotupaa pir.
I would suggest that people over the age of 50 have a thorough examination of the condition of their cardiovascular system at least every five years, because many people who are otherwise in good health die suddenly from heart attacks or other unexpected circulatory system disorders.	Ehdottaisin sydän- ja verenkiertojärjestelmän kunnon perusteellista tutkimista jo 50 vuotta täyttäneille ainakin viiden vuoden välein, koska paljon tulee äkkikuolemia muuten vielä hyväkuntoisille ihmisille, joille tulee infarkti tai muu verenkiertojärjestelmän yllättävä sairaskohtaus.	Aj tajsaaif hemoev a hemorautuo lijär vosta besliva dakaate ripnen 50 (fivbas) jänsi fuulen ripstli na fiv jänsi välsi, syfor piri uut sadeönsi tuali pirnen tu havostava mämsi, tu kojosi uut hemoyvsad taj tua hemorautuo lijär kasadva retöghäp.
This is how the practice works in my community at the moment.	Tällä hetkellä paikkakunnallani toimii käytäntö näin.	Na tä ipno in ajof lodil otee liote täli.
When a patient experiences chronic oxygen deprivation and more intense heart pain than usual, he goes to the emergency room.	Kun potilas kokee kroonista hapensaannin vajetta ja sydämen kipua tavallista voimakkaampana, hän menee kiirevastaanottoon.	Na retofjo davofii lunova moOaf alfulri a hemoev ahfi resili popir, hä tuu iprino ögap.
When the case is not yet completely acute, he cannot get to a cardiologist's appointment if the ECG, blood tests and other preliminary diagnosis by the general practitioner do not clearly indicate that there is a sign of a heart attack in the heart, even if the general practitioner sends a referral for the patient to a cardiologist.	Kun tapaus ei ole vielä täysin akuutti, niin hän ei pääse kardiologin vastaanotolle, jos EKG, verikokeet ja muu yleislääkärin esidiagnoosi eivät sitä osoita selvästi, että sydämessä olisi merkkiä infarktista, vaikka yleislääkäri lähettää potilaasta lähetteen kardiologille.	Na obhäp ej oo pirnen fulli ipiprinova, itli hä ej aftuu hemoevdajo ögaapte, if hemoevlikato, hemovotrasi a tua tihnaditerjo edretka ej it tukaa soklirli, syt in hemoev ooif mark ob hemoyvsad, tajli tihnaditerjo pagaa ob retofjo pagapapr tu hemoevdajo.
When the symptoms are sometimes stronger and sometimes weaker, that the patient can barely cope with them and if the general practitioner sees the patient in a better state, the patient's condition cannot be properly clarified as to what is causing it.	Kun oireet ovat välillä voimakkaampia välillä heikompia, että niiden kanssa potilas juuri ja juuri pärjää ja jos yleislääkärin käynnillä on potilas juuri paremmassa voinnissa, ei potilaan tila tule kunnolla selvitettyä, mikä sen aiheuttaa.	Na retmarksi oo välna popir välna oppir, syt vi itsi retofjo jusna a jusna stavoo a if na tihnaditerjo uttuo oo retofjo jusna in hapir fivoote, ej retofjo vosta uut hastali sokliraapen, ko it syy.
Of course, the patient has already undergone stress tests, it has been determined that he does not have asthma and the lungs have been X-rayed, which show that they are relatively healthy.	Tosin potilaalle on tehty jo aikaisemmin rasituskokeet, todettu ettei ole astmaa ja keuhkot on röntgenkuvattu, että ne ovat suhteellisen terveet.	Rilsyli for retofjo oo tee-en ripnen lynapir poaapte votrasi, darilkasaaen syt ej oo homevyvret a homevsi oo eks-katikkatooen, syt itsi oo curili terva.
Similarly, the patient has been subjected to non-invasive imaging under the influence of strong nitrous oxide and at least minor ischemias are found in the heart.	Samoin potilaalle on tehty kuvaukset kajoamattomasti voimakkaan nitron vaikutuksen alaisena ja löytyy sydämestä ainakin pieniä iskemioita.	Reli for retofjo oo tee-en katootesi tuintee-ejli alva pova nitrtermo ys a autkees ut hemoev ripstli ipva hemoejvaosi.
But the treatment stops there, there is no access to an angiography of the heart, which would show whether significantly narrowed vessels can be treated with balloon dilations and stents immediately or with bypass surgery later.	Mutta hoito jää siihen, ei pääse sydämen sellaiseen angiografiaan, jossa näkisi voidaanko merkittävästi ahtautuneet suonet hoitaa pallolaajennuksilla ja stenteillä saman tien vai ohitusleikkauksilla myöhemmin.	Mut hake jää tuit, ej aftuu intu itva hemoev hemogagev eks-katikkatoote, koin vokaaif vooiftako curoli teliiten gagevsi hakee vy bolleileipiirtesi a nettorvtosi renali taj vy sidtuoretkutsi nepir.
If a heart attack occurs and is not treated quickly, necrosis can occur in the heart that will never heal and will become a problem for the patient for the rest of his life, as the necrotic areas may sometimes be felt more strongly and sometimes weaker and cause heart failure and arrhythmias due to the narrowed blood vessels, when there are sometimes thicker areas in the blood.	Jos infarkti pääsee tulemaan ja ei pääse nopeasti hoidettavaksi, voi sydämeen tulla kuolioita, jotka eivät parane enää milloinkaan ja niistä tulee potilaalle loppuelämäksi riesa, kun kuoliokohdat ehkä tuntuvat välillä voimakkaammin välillä heikommin ja aiheuttavat sydämen vajaatoimintaa ja rytmihäiriöitä ahtautuneiden verisuonienkin johdosta, kun veressä on välillä sakeampia kohtia.	If hemoyvsad aftuu uut a ej aftuu nopli mu hakeetava, voo intu itva hemoev uut eönvivevsi, kosi ej auttermuu pirnen ejna a ob itsi uut tu retofjo mu öneo obong, na eönvivev iplosi mejli livofii välna popirli välna oppirli a syy hemoev alfulote a rytmcuyvsi syfor ali autliiten hemogagevsi, na in hemo oo välna yytpir iplosi.
Medication, diet and exercise have been able to alleviate symptoms and slow down the progression of coronary artery disease, but not stop it completely.	Lääkityksellä, ruokavaliolla ja liikunnalla on saatu oireita lievitettyä ja sepelvaltimotaudin etenemistä hidastettua, mutta ei pysähdytettyä kokonaan.	Vy termofa, emvaoto a uuteo oo aafen retmarksi leppooen a hemoevgaevret edtuute ponpiiren, mut ej stoopen kioli.
Therefore, acute infarction does not occur so easily, even though treatment of significant narrowing of blood vessels with additional balloon dilations and stents would improve the patient's quality of life and prevent infarction.	Näin ollen akuuttia infarktia ei tule niin helposti, vaikka verisuonien merkittävien ahtaumien hoito lisäpallolaajennuksilla ja stenteillä parantaisi potilaan elämän laatua ja ennaltaehkäisisi infarktia.	Täli ooli ipiprinova hemoyvsad ej uut itli gnoli, tajli hemogagevsi, curova litobretsi hake vy pirbolleileipiirtesi a nettorvtosi hapiirif retofjo eo vao a ennaedyyvif hemoyvsad.
However, the procedures have their risks, they do not always succeed well without complications or the stent becomes blocked too quickly.	Tosin toimenpiteillä on riskinsä, ne eivät onnistu aina hyvin ilman komplikaatioita tai stentti tukkeutuu liian nopeasti.	Rilsyli forotesi oof itof risksi, itsi ej saak kina hali ejli ongongvaosi taj nettorvto autobyyv ylrili nopli.
Even a long-standing stent site can gradually become narrowed and that should also be examined, even if other parts of the blood vessels are still sufficiently open.	Kauan ollut stenttikohtakin voi vähitellen ahtautua ja sekin pitäisi tutkia, vaikka muut verisuonien kohdat olisivatkin vielä riittävästi auki.	Luna ooen nettorvto iplo voo iprili litpiir a it ali piitif dakaa, tajli tuasi hemogagevsi iplosi ooif pirnen hanidrili oup.
As a person gets older, bypass surgery can kill someone, which would have been possible when they were younger.	Kun henkilö vanhenee, ohitusleikkaukseen voi kuolla, jonka nuorempana olisi vielä kestänyt.	Na hojo autvonpiir intu sidtuoretkut voo eöön, koö na nupir ooif pirnen ögvooen.
Also, hardening and bulging of the blood vessels can become so fragile that they suddenly rupture and death occurs if the rupture is in the large blood vessels of the heart and they are not treated in time.	Myös kovettumat, verisuonien pullistumat voivat tulla niin hauraiksi, että ne repeävät äkillisesti ja tulee kuolema, jos repeämä on isoissa sydämen verisuonissa eikä niitä ehditä hoitaa.	Ali kampiirobsi, hemogagev retbanpirobsi voo muu itli ögopva, syt itsi auturreek sadnoli a uut eön, if auturrek oo in piva hemoev hemogagevsi a ej itsi novoo hakee.
Also, a weakened stenosis may not necessarily withstand balloon angioplasty when balloon angioplasty has been postponed until later.	Myös pallolaajennusta ei haurastunut ahtauma välttämättä kestä, kun pallolaajennusta on siirretty aina vain myöhemmäksi.	Ali bolleileipiirte ej ögopmuuen litobret nidli ögvoo, na bolleileipiirte oo telouuen kina erisli nepir.
It is more difficult to place a balloon angioplasty and stent in tortuous areas, and the blood vessel can even burst more easily.	Pallolaajennusta ja stenttiä on vaikeampi laittaa mutkaisiin kohtiin, verisuoni voi helpommin jopa puhjeta.	Bolleileipiirte a nettorvto oo ongpir lopaa intu iersiva iplosi, hemogagev voo gnopir jea autinlireek.
Now that the patient's non-acute ailments are not examined and treated properly, the patient comes to primary care dozens of times again and the same routines are performed over and over again.	Nyt kun potilaan ei-akuutteja vaivoja ei tutkita ja hoideta kunnolla pois, niin potilas tulee yhä uudelleen kymmeniäkin kertoja perusterveydenhoitoon ja samat rutiinit tehdään yhä uudelleen.	Nen na retofjo ejipiprinova tesafsi ej dakaata a hakeeta hastali yr, itli retofjo uut repirnen novli jea bassi isnosi intu besterhake a resi liretösi teeta repirnen novli.
They consume time and money from both society and the patient, and they cannot treat their ailments, and at least have to suffer from them from time to time when they are severe.	Ne kuluttavat aikaa ja rahaa sekä yhteiskunnalta että potilaaltakin, eikä hän saa hoidettua vaivojansa, joutuu hän ainakin ajoittain kärsimään vaivoista, kun ne ovat voimakkaita.	Itsi teroriip no a rov a ut visoslo ali ut retofjo, a ej hä aaf hakee-en häof tesafsi, autpiit hä ripstli ösina saaf ob tesafsi, na itsi oo pova.
I would suggest that all those who complain of shortness of breath and heart problems should go directly to a heart clinic, where they would have a preliminary appointment and a thorough examination of the causes of these health problems would be carried out, and they would be able to access effective treatments as quickly as possible.	Ehdottaisin, että kaikki hengenahdistusta ja sydänvaivoja valittavat pääsisivät suoraan sydänpoliklinikalle, jossa olisi esivastaanotto ja tehtäisiin perusteellinen tutkimus syistä, mitkä aiheuttavat nämä terveysongelmat ja pääsisi mahdollisimman nopeasti vaikuttaviin hoitoihin.	Aj tajsaaif, syt ki hoahstao a hemoev tesafsi öbahsaava aftuuif reili tu hemoev tanretlö, koin ooif edögap a teeifta besliva daka ob sysi, kosi syy täsi terongsi a aftuuif vostli nopli intu yysva hakesi.
Although specialized medical care is more expensive than a general practitioner's appointment, in the long run it would save on multiple general practitioner appointments and laboratory tests.	Vaikka erikoissairaanhoito on kalliimpaa kuin yleislääkärin vastaanotto, niin sillä olisi pitkällä tähtäimellä säästöä monikertaisista yleislääkärin vastaanotoista ja laboratoriokokeista.	Tajli erliretke oo ylrovpir il tihnaditerjo ögap, it ooif lula teobkavo ropao ob sinova tihnaditerjo ögapsi a dakalo votrasi.
If we invested in preventive treatments for heart patients before the patient's health condition worsens, it would be an investment and not an expense for both the patient and society.	Kun panostettaisiin sydänpotilaiden ennaltaehkäiseviin hoitoihin ennen kuin terveydentila vaikeutuu potilaalla, se olisi sijoitus eikä meno sekä potilaan että yhteiskunnan kannalta.	Na rotupaaifta for hemoev retofjosi ennaedyyvva hakesi, en na tersta ongpiir in retofjo, it ooif roforpa a ej rovrip miculi a retofjo ali visoslo.
And if a lot of this were done, the experience of doctors and nurses would increase, and examinations and treatments would become more efficient and more economical in terms of money, time and the patient's health.	Ja kun paljon tehtäisiin tällaista, lääkärien ja hoitajien kokemus lisääntyisi, tutkimuksista ja hoidoista tulisi tehokkaampia ja säästävämpiä rahassa, ajassa ja potilaan terveydessä.	A na piri teeifta täva, diterjosi a hakeejosi davofi sipiirif, ob dakasi a hakesi uutif ysripir a ropaopir in rov, no a retofjo tervao.
When everything could be optimized, expertise and experience would increase, which would increase well-being.	Kun kaikki saataisiin optimoitua, osaaminen ja kokemus lisääntyisivät, ne lisäisivät hyvinvointia.	Na ki aafifta hastvostaaen, davoote a davofi sipiirif, itsi pirpaaif halivoote.
HOW CAN PROBLEMS BE SOLVED?	MITEN ONGELMIA VOIDAAN RATKAISTA?	KOLI ONGSI VOOTA GNOO?
Copyright Veikko J. Pyhtilä, 4-12-2018, Finland.	Copyright Veikko J. Pyhtilä, 4-12-2018, Finland.	Toojorataf Veikko J. Pyhtilä, 4-12-2018, Finlo. 
 MY OLD WRITINGS	VANHOJA KIRJOITUKSIANI 	AJOF VONVA KIRSI 
If you think through these writings, you may gain some insights from them.	Jos käyt näitä kirjoituksia ajatuksella läpi, voit saada niistä jotakin oivalluksia.	If ja tuu täsi kirsi vy sooso inli, ja voo aaf ob itsi ö satvososi. 
This is also material for studying the language.	Tämä on aineistoa kielenkin opiskeluun.	Tä oo simoso ali for vos apdav. 
 Biologically, biotechnically, nanotechnically	Biologisesti, bioteknisesti, nanoteknisesti 	Biodäli, biotekdali, gusiktekdali 
You can take a model from nature, see biomimetics.	Voit ottaa mallia luonnosta, katso biomimetiikka.	Ja voo aap likato ob biolo, kaa ja bioliteda. 
Natural sciences and their methods are developing and a lot of research is being done around the world.	Luonnontieteet ja niiden menetelmät kehittyvät ja maailmalla tehdään paljon tutkimustyötä.	Biolodäsi a itsiof culitesi autdeev a la köl teeta piri dakatö. 
Objects can be developed and studied at the nanoscale level.	Kohteita voidaan kehittää ja tutkia nanokokoisella tasolla.	Obösi voota deev a dakaa la gusik pipriva tal. 
 Chemically, materially, physically	Kemiallisesti, aineellisesti, fysikaalisesti 	Kemdali, movali, bodevli 
With the principles of green chemistry:	Vihreän kemian periaattein:	Vy grinva kemda alidesi:
 1. Waste prevention	1. Jätteen synnyn ehkäisy 	1. Jätsi nöe edyyvte 
 2. Atomic economics	2. Atomiekonomia 	2. Moikrostada 
 3. Safe chemical syntheses	3. Vaarattomat kemialliset synteesit 	3. Ahriskejva kemdava islivotesi 
 4. Designing safe chemicals	4. Turvallisten kemikaalien suunnittelu 	4. Turva kemmosi kasoote 
 5. Use of safe solvents and avoidance of auxiliary compounds	5. Turvallisten liuottimien käyttö ja apuyhdisteiden käytön välttäminen 	5. Turva iktummosi teo a vyovimosi teo urpiitte 
 6. Minimizing energy use	6. Energian käytön minimoiminen 	6. Pori teo riipstte 
 7. Use of renewable raw materials	7. Uudistuvien lähtöaineiden käyttö 	7. Autnoovva urtuomosi teo 
 8. Avoiding unnecessary wiring	8. Tarpeettoman johdosten muodostumisen välttäminen 	8. Nidejva derivsi autkauteete urpiitte 
9. Favoring catalysts	9. Katalyyttien suosiminen 	9. Ysoknopmosi hapircuute 
 10. Degradation of products at the end of their life cycle	10. Tuotteiden hajoaminen elinkaaren lopussa 	10. Tosi silomuute na eokaul ön 
 11. Real-time analytics	11. Reaaliaikaiset analyysit 	11. Rilnova rorikaosi 
12. Avoiding accidents, for example by choosing the right chemicals.	12. Onnettomuuksien välttäminen esimerkiksi oikeilla kemikaalivalinnoilla.	12. Kassi urpiitte edkali vy ratva kemmoapkaosi. 
New phenomena are constantly being discovered in physics. What can they be used for?	Fysiikassa havaitaan yhä uusia ilmiöitä, mihin niitä voidaan hyödyntää?	In fysda obvokaata repirnen novva kauthäpsi, kofor itsi voota tegöroo?
Environmentally friendly	Ympäristöystävällisesti	Biolohaviculi 
 There are already many methods for solving environmental problems.	 Ympäristöongelmien ratkaisuihin on jo paljon menetelmiä.	For raulo-ongsi gnosi oo ripnen piri culitesi. 
You can further develop them and implement them, market them to others.	Voit kehittää niitä edelleen ja ottaa käyttöön, markkinoida muille.	Ja voo deev itsi depirna a aap for teo, forfää tu tuasi. 
Energy-saving, energy-efficient.	Energiaa säästävästi, energiaa tehokkaasti käyttämällä.	Pori ropaoli, vy pori ysrili teoo. 
Many solutions already exist, they can be searched for, improved, evaluated and implemented.	Paljon on olemassa jo ratkaisuja, niitä voidaan etsiä, parannella, arvioida ja ottaa käyttöön.	Piri oo oonen ripnen gnosi, itsi voota seek, sihapiir, rokaa a aap for teo. 
Healthily, medically.	Terveellisesti, lääketieteellisesti.	Forterli, terdäli. 
Better drugs, fewer side effects, targeted drugs.	Paremmat lääkkeet, vähemmän sivuvaikutuksia, täsmälääkkeet.	Hapir termosi, rip sidyssi, justermosi. 
A high-quality, healthy, clean and appropriately dosed and periodized diet.	Laadukas, terveellinen, puhdas ja sopivasti annosteltu ja jaksotettu ruokavalio.	Havaova, forterva, klinva a soopli ikrifaaen a teveivnooen emvaoto. 
With supplements proven to be useful and effective through research and experience.	Tutkimuksin ja kokemuksin hyödyllisiksi ja tehokkaiksi varmistetuin lisäravintein.	Vy dakasi a davofisi vy mu görova a ysriva tevaarmen pirroemmosi. 
Very lifestyle.	Hyvin elämäntavoin.	Vy hava eoliosi. 
With exercise.	Liikunnalla.	Vy uuteo. 
Rest.	Levolla.	Vy et. 
Knowledgeably, scientifically.	Tiedollisesti, tieteellisesti.	Öbdaofli, däli. 
Get information about different options.	Hanki tietoa eri vaihtoehdoista.	Foraaf ja da öb er tajifosi. 
Study.	Opiskele.	Apdaav ja. 
Explore.	Tutki.	Dakaa ja. 
Make use of already researched information and practical experiences.	Hyödynnä jo tutkittua tietoa ja käytännön kokemuksia.	Tegöroo ja ripnen dakaaen öbda a liote davofisi. 
Administratively, politically, fairly, socially, societally.	Hallinnollisesti, poliittisesti, oikeudenmukaisesti, sosiaalisesti, yhteiskunnallisesti.	Pöteli, pögöteli, rataflili, sosli, visosloli. 
You can influence decision-making with your opinions, by actively participating, and by justifying them.	Voit vaikuttaa mielipiteilläsi, aktiivisesti osallistumalla, perustelemalla päätöksentekoon.	Ja voo yys vy jaof micusi, vy siteli ikaap, vy bessyy intu pätte. 
Mentally, spiritually, ethically.	Henkisesti, hengellisesti, eettisesti.	Hosoli, holi, rattarli. 
Because of evil, many problems will arise.	Pahuuden vuoksi tulee paljon ongelmia.	Syfor ahvao uut piri ongsi. 
Nations with good morals are more successful.	Kansakunnat, joilla on hyvä moraali menestyvät paremmin.	Hyjsiosi, kosi oof hava cuhah hasaak hapirli. 
How could morale be improved?	Miten moraalia voisi kohentaa?	Koli cuhah vooif hapiir?
Slowly or quickly, diligently.	Hitaasti tai nopeasti, ahkerasti.	Ponli taj nopli, piriteli. 
Invest time and activity.	Panosta ajassa ja aktiivisuudessa.	Hastpaa ja in no a sitevao. 
Thoroughly or hastily.	Perusteellisesti vai hätiköiden.	Beslili taj ylnopteeli. 
Systematically, logically, thinking, reflecting, simply or complexly, mathematically, structurally, modeling, innovatively.	Järjestelmällisesti, loogisesti, ajatellen, pohtien, yksinkertaisesti tai monimutkaisesti, matemaattisesti, rakenteellisesti, mallintaen, innovatiivisesti.	Lijärli, tuvisdali, sooli, öbsooli, isgnoli taj siongli, risodali, litolli, likatooli, ideanoovli. 
Prioritize.	Laita tärkeysjärjestykseen.	Lopaa ja intu curojär. 
Organize.	Järjestä.	Jäär ja. 
Model.	Mallinna.	Likatoo ja. 
Develop.	Kehitä.	Deev ja. 
Calculate.	Laske.	Risoo ja. 
Evaluate.	Arvioi.	Rokaa ja . 
Programmatically, automatically, digitally, with artificial intelligence.	Ohjelmallisesti, automaattisesti, digitaalisesti, tekoälyllä.	Progli, autteli, kasiöli, vy tevis. 
There are items that should be automated, utilizing digitalization and IT methods.	On kohteita, joita kannattaa automatisoida, hyödyntää digitalisaatiota, tietoteknisiä menetelmiä.	Obösi oo, kosi rogöö auttee, tegöroo kasiööte, datekdava culitesi. 
Practically and theoretically.	Käytännöllisesti ja teoreettisesti.	Liotevoli a omdalioli. 
Conveniently, user-friendly.	Kätevästi, käyttäjäystävällisesti.	Hapaveli, teoojohavijoculi. 
Study the theories and try them in practice.	Opiskele teorioita ja kokeile käytännössä.	Apdaav ja omdaliosi a votraa ja in liote. 
Good practice can also be used to develop a theory and model.	Hyvästä käytännöstä voidaan kehittää myös teoria ja malli.	Ut hava liote voota deev ali omdalio a likato. 
Test, try.	Testaa, kokeile.	Votraa ja, sivotraa ja. 
Technically, industrially, by hand.	Teknisesti, teollisesti, käsityönä.	Tekli, tolöli, li pavetö. 
There are many technical solutions that need to be sought out and developed around the world.	Paljon on olemassa teknisiä ratkaisuja, niitä pitää etsiä maailmalta ja kehittää.	Piri oo oonen tekva gnosi, itsi piit seek el köl a deev. 
Locally and/or globally Local and global issues are relevant.	Paikallisesti ja/tai maailmanlaajuisesti Paikalliset ja maailmanlaajuiset ongelmat koskettavat.	Loli a/taj kölleili Lova a kölleiva ongsi taatva. 
Find out what solutions have already been developed.	Selvitettävä mitä ratkaisuja on jo kehitetty.	Piit sokliraap kosi gnosi oo ripnen deeven. 
